p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
54.0,26.0,Daniel Gimeno-Traver,$1.408,Jeremy Chardy,May 21 2014,French Open Slam,Round of 128,Jeremy Chardy,false,1.0,cluster_6
69.0,38.0,Milos Raonic,$3.555,Milos Raonic,May 12 2014,ATP World Tour Masters 1000 Rome,Q,Jeremy Chardy,false,2.0,cluster_8
52.0,26.0,Ivan Dodig,$2.077,Jeremy Chardy,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Jeremy Chardy,false,3.0,cluster_6
62.0,34.0,Roger Federer,$7.670,Jeremy Chardy,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Jeremy Chardy,false,4.0,cluster_1
57.0,25.0,Robin Haase,$1.884,Jeremy Chardy,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Jeremy Chardy,false,5.0,cluster_6
80.0,40.0,Milos Raonic,$3.693,Milos Raonic,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Jeremy Chardy,false,6.0,cluster_2
63.0,23.0,Lukas Rosol,$2.360,Jeremy Chardy,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Jeremy Chardy,false,7.0,cluster_7
75.0,45.0,Jiri Vesely,$1.853,Jiri Vesely,Apr 21 2014,Bucharest,R32,Jeremy Chardy,false,8.0,cluster_5
65.0,26.0,Ryan Harrison,$1.681,Jeremy Chardy,Jun 24 2013,Wimbledon Slam,Round of 128,Jeremy Chardy,false,9.0,cluster_7
74.0,32.0,Stan Wawrinka,$3.106,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,Q,Jeremy Chardy,false,10.0,cluster_0
56.0,45.0,Igor Sijsling,$1.369,Jeremy Chardy,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Jeremy Chardy,false,11.0,cluster_3
61.0,22.0,Marius Copil,$1.364,Jeremy Chardy,Jun 16 2013,s-Hertogenbosch,R16,Jeremy Chardy,false,12.0,cluster_7
55.0,29.0,Lucas Pouille,$1.283,Jeremy Chardy,Jun 16 2013,s-Hertogenbosch,R32,Jeremy Chardy,false,13.0,cluster_6
64.0,44.0,Novak Djokovic,$20.546,Novak Djokovic,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Jeremy Chardy,false,14.0,cluster_3
62.0,38.0,Juan Monaco,$1.619,Jeremy Chardy,Mar 17 2014,ATP World Tour Masters 1000 Miami,R128,Jeremy Chardy,false,15.0,cluster_3
79.0,39.0,Jo-Wilfried Tsonga,$4.290,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,Jeremy Chardy,false,16.0,cluster_2
67.0,35.0,Tommy Haas,$1.922,Tommy Haas,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Jeremy Chardy,false,17.0,cluster_8
