p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
53.0,29.0,Pablo Andujar,$1.306,Marin Cilic,May 21 2014,French Open Slam,Round of 128,Marin Cilic,false,1.0,cluster_1
68.0,40.0,Jurgen Melzer,$1.233,Jurgen Melzer,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Marin Cilic,false,2.0,cluster_5
50.0,26.0,Santiago Giraldo,$1.845,Marin Cilic,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Marin Cilic,false,3.0,cluster_1
70.0,38.0,Ernests Gulbis,$2.480,Ernests Gulbis,May 5 2014,ATP World Tour Masters 1000 Madrid,R16,Marin Cilic,false,4.0,cluster_5
65.0,31.0,Paul-Henri Mathieu,$1.309,Marin Cilic,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Marin Cilic,false,5.0,cluster_8
68.0,31.0,Tommy Robredo,$2.240,Marin Cilic,Apr 21 2014,Barcelona,R16,Marin Cilic,false,6.0,cluster_8
55.0,29.0,Andrey Kuznetsov,$1.345,Marin Cilic,Apr 21 2014,Barcelona,R32,Marin Cilic,false,7.0,cluster_7
51.0,35.0,Marinko Matosevic,$1.105,Marin Cilic,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Marin Cilic,false,8.0,cluster_0
79.0,41.0,Edouard Roger-Vasselin,$1.189,Edouard Roger-Vasselin,Mar 3 2014,ATP World Tour Masters 1000 Miami,R64,Marin Cilic,false,9.0,cluster_3
65.0,35.0,Novak Djokovic,$5.489,Novak Djokovic,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,Marin Cilic,false,10.0,cluster_5
58.0,26.0,Tommy Robredo,$1.341,Marin Cilic,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Marin Cilic,false,11.0,cluster_7
44.0,29.0,Paolo Lorenzi,$1.126,Marin Cilic,Feb 17 2014,ATP World Tour Masters 1000 Indian Wells,R64,Marin Cilic,false,12.0,cluster_1
61.0,34.0,Kevin Anderson,$1.357,Marin Cilic,Feb 17 2014,Delray Beach,F,Marin Cilic,false,13.0,cluster_4
61.0,25.0,John Isner,$1.470,Marin Cilic,Feb 17 2014,Delray Beach,S,Marin Cilic,false,14.0,cluster_7
64.0,22.0,Ryan Harrison,$1.192,Marin Cilic,Feb 17 2014,Delray Beach,R16,Marin Cilic,false,15.0,cluster_2
45.0,26.0,Benjamin Becker,$1.208,Marin Cilic,Feb 10 2014,Delray Beach,R32,Marin Cilic,false,16.0,cluster_1
76.0,40.0,Tomas Berdych,$2.962,Tomas Berdych,Feb 10 2014,Rotterdam,F,Marin Cilic,false,17.0,cluster_3
59.0,29.0,Igor Sijsling,$1.357,Marin Cilic,Feb 10 2014,Rotterdam,S,Marin Cilic,false,18.0,cluster_7
70.0,27.0,Andy Murray,$2.752,Marin Cilic,Feb 10 2014,Rotterdam,Q,Marin Cilic,false,19.0,cluster_8
66.0,20.0,Jo-Wilfried Tsonga,$2.619,Marin Cilic,Feb 10 2014,Rotterdam,R16,Marin Cilic,false,20.0,cluster_2
48.0,28.0,Lukas Rosol,$1.207,Marin Cilic,Feb 3 2014,Rotterdam,R32,Marin Cilic,false,21.0,cluster_1
58.0,33.0,Tommy Haas,$1.530,Marin Cilic,Feb 3 2014,Zagreb,F,Marin Cilic,false,22.0,cluster_4
51.0,36.0,Bjorn Phau,$1.134,Marin Cilic,Feb 3 2014,Zagreb,S,Marin Cilic,false,23.0,cluster_0
60.0,35.0,Ivan Dodig,$1.598,Marin Cilic,Feb 3 2014,Zagreb,Q,Marin Cilic,false,24.0,cluster_4
56.0,30.0,Dusan Lajovic,$1.103,Marin Cilic,Feb 3 2014,Zagreb,R16,Marin Cilic,false,25.0,cluster_4
62.0,18.0,Mate Delic,$1.041,Marin Cilic,Jan 13 2014,Zagreb,R32,Marin Cilic,false,26.0,cluster_2
59.0,44.0,Gilles Simon,$1.275,Gilles Simon,Jan 13 2014,Australian Open Slam,Round of 64,Marin Cilic,false,27.0,cluster_9
61.0,28.0,Marcel Granollers,$1.209,Marin Cilic,Jan 6 2014,Australian Open Slam,Round of 128,Marin Cilic,false,28.0,cluster_7
71.0,38.0,Denis Istomin,$1.464,Denis Istomin,Jan 6 2014,Sydney,R16,Marin Cilic,false,29.0,cluster_5
62.0,30.0,Jan-Lennard Struff,$1.186,Marin Cilic,Dec 30 2013,Sydney,R32,Marin Cilic,false,30.0,cluster_4
67.0,40.0,Kei Nishikori,$1.816,Kei Nishikori,Dec 30 2013,Brisbane,Q,Marin Cilic,false,31.0,cluster_5
66.0,27.0,Grigor Dimitrov,$2.394,Marin Cilic,Dec 30 2013,Brisbane,R16,Marin Cilic,false,32.0,cluster_8
