p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
68.0,42.0,David Ferrer,$2.915,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 32,Alexandr Dolgopolov,false,1.0,cluster_2
68.0,38.0,Benjamin Becker,$1.780,Benjamin Becker,Jun 10 2013,London / Queen's Club,R16,Alexandr Dolgopolov,false,2.0,cluster_2
59.0,46.0,Florian Mayer,$2.279,Florian Mayer,Jul 15 2013,Hamburg,R32,Alexandr Dolgopolov,false,3.0,cluster_4
72.0,40.0,Fernando Verdasco,$1.182,Fernando Verdasco,Jun 17 2013,Eastbourne,R32,Alexandr Dolgopolov,false,4.0,cluster_2
59.0,45.0,Marcel Granollers,$1.316,Marcel Granollers,May 21 2014,French Open Slam,Round of 64,Alexandr Dolgopolov,false,5.0,cluster_4
54.0,35.0,Daniel Gimeno-Traver,$1.466,Alexandr Dolgopolov,Aug 18 2013,Winston-Salem,R32,Alexandr Dolgopolov,false,6.0,cluster_8
61.0,28.0,Yen-Hsun Lu,$1.633,Alexandr Dolgopolov,Aug 18 2013,Winston-Salem,Q,Alexandr Dolgopolov,false,7.0,cluster_7
55.0,39.0,Juan Monaco,$2.129,Alexandr Dolgopolov,Aug 18 2013,Winston-Salem,R16,Alexandr Dolgopolov,false,8.0,cluster_8
66.0,42.0,Fernando Verdasco,$2.400,Fernando Verdasco,Sep 13 2013,Davis Cup,Singles,Alexandr Dolgopolov,false,9.0,cluster_2
61.0,43.0,Gael Monfils,$2.519,Gael Monfils,Aug 18 2013,Winston-Salem,S,Alexandr Dolgopolov,false,10.0,cluster_4
61.0,22.0,Janko Tipsarevic,$1.806,Alexandr Dolgopolov,Sep 30 2013,Tokyo,R16,Alexandr Dolgopolov,false,11.0,cluster_5
48.0,27.0,Daniel Brands,$1.545,Alexandr Dolgopolov,Sep 30 2013,Tokyo,R32,Alexandr Dolgopolov,false,12.0,cluster_0
62.0,43.0,Juan Martin Del Potro,$4.879,Juan Martin Del Potro,Sep 30 2013,Tokyo,Q,Alexandr Dolgopolov,false,13.0,cluster_4
68.0,20.0,Kenny De Schepper,$1.344,Alexandr Dolgopolov,Oct 21 2013,Basel,R32,Alexandr Dolgopolov,false,14.0,cluster_3
