p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
52.0,28.0,Bernard Tomic,$1.205,Richard Gasquet,May 21 2014,French Open Slam,Round of 128,Richard Gasquet,false,1.0,cluster_3
61.0,30.0,Kevin Anderson,$1.859,Richard Gasquet,Apr 13 2014,ATP World Tour Masters 1000 Miami,R32,Richard Gasquet,false,2.0,cluster_5
59.0,27.0,Alejandro Gonzalez,$1.116,Richard Gasquet,Apr 13 2014,ATP World Tour Masters 1000 Miami,R64,Richard Gasquet,false,3.0,cluster_5
68.0,41.0,Fernando Verdasco,$1.428,Fernando Verdasco,Apr 13 2014,ATP World Tour Masters 1000 Indian Wells,R32,Richard Gasquet,false,4.0,cluster_1
77.0,43.0,Ernests Gulbis,$1.792,Ernests Gulbis,Mar 3 2014,Marseille,S,Richard Gasquet,false,5.0,cluster_0
58.0,33.0,Ivan Dodig,$1.387,Richard Gasquet,Feb 17 2014,Marseille,Q,Richard Gasquet,false,6.0,cluster_5
58.0,23.0,Blaz Kavcic,$1.130,Richard Gasquet,Feb 17 2014,Marseille,R16,Richard Gasquet,false,7.0,cluster_9
65.0,43.0,Philipp Kohlschreiber,$1.827,Philipp Kohlschreiber,Feb 17 2014,Rotterdam,R16,Richard Gasquet,false,8.0,cluster_7
66.0,24.0,Thiemo de Bakker,$1.122,Richard Gasquet,Feb 10 2014,Rotterdam,R32,Richard Gasquet,false,9.0,cluster_8
80.0,38.0,Gael Monfils,$1.852,Gael Monfils,Feb 10 2014,Montpellier,F,Richard Gasquet,false,10.0,cluster_0
67.0,22.0,Jerzy Janowicz,$1.567,Richard Gasquet,Feb 3 2014,Montpellier,S,Richard Gasquet,false,11.0,cluster_8
54.0,16.0,Albano Olivetti,$1.102,Richard Gasquet,Feb 3 2014,Montpellier,Q,Richard Gasquet,false,12.0,cluster_9
52.0,34.0,Paul-Henri Mathieu,$1.183,Richard Gasquet,Feb 3 2014,Montpellier,R16,Richard Gasquet,false,13.0,cluster_3
65.0,36.0,Tommy Robredo,$1.510,Tommy Robredo,Jan 31 2014,Australian Open Slam,Round of 32,Richard Gasquet,false,14.0,cluster_1
55.0,38.0,Nikolay Davydenko,$1.235,Richard Gasquet,Jan 13 2014,Australian Open Slam,Round of 64,Richard Gasquet,false,15.0,cluster_4
50.0,34.0,David Guez,$1.057,Richard Gasquet,Jan 13 2014,Australian Open Slam,Round of 128,Richard Gasquet,false,16.0,cluster_3
75.0,42.0,Gael Monfils,$2.465,Gael Monfils,Jan 7 2014,Doha,R16,Richard Gasquet,false,17.0,cluster_0
46.0,31.0,Karim Hossam,$1.040,Richard Gasquet,Dec 30 2013,Doha,R32,Richard Gasquet,false,18.0,cluster_6
71.0,51.0,Rafael Nadal,$5.407,Rafael Nadal,Nov 4 2013,ATP World Tour Masters 1000 Paris,Q,Richard Gasquet,false,19.0,cluster_7
55.0,28.0,Kei Nishikori,$1.479,Richard Gasquet,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,Richard Gasquet,false,20.0,cluster_3
58.0,30.0,Fernando Verdasco,$1.345,Richard Gasquet,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,Richard Gasquet,false,21.0,cluster_5
72.0,42.0,Michael Llodra,$1.340,Michael Llodra,Oct 28 2013,Basel,R32,Richard Gasquet,false,22.0,cluster_0
59.0,38.0,Mikhail Kukushkin,$1.231,Richard Gasquet,Oct 21 2013,Moscow,F,Richard Gasquet,false,23.0,cluster_4
70.0,22.0,Ivo Karlovic,$1.287,Richard Gasquet,Oct 14 2013,Moscow,S,Richard Gasquet,false,24.0,cluster_8
53.0,27.0,Teymuraz Gabashvili,$1.113,Richard Gasquet,Oct 14 2013,Moscow,Q,Richard Gasquet,false,25.0,cluster_3
56.0,32.0,Evgeny Donskoy,$1.256,Richard Gasquet,Oct 14 2013,Moscow,R16,Richard Gasquet,false,26.0,cluster_5
71.0,32.0,Vasek Pospisil,$1.204,Vasek Pospisil,Oct 14 2013,ATP World Tour Masters 1000 Shanghai,R64,Richard Gasquet,false,27.0,cluster_2
71.0,46.0,Novak Djokovic,$8.672,Novak Djokovic,Oct 6 2013,Beijing,S,Richard Gasquet,false,28.0,cluster_7
58.0,33.0,David Ferrer,$1.958,Richard Gasquet,Sep 30 2013,Beijing,Q,Richard Gasquet,false,29.0,cluster_5
55.0,33.0,Bernard Tomic,$1.364,Richard Gasquet,Sep 30 2013,Beijing,R16,Richard Gasquet,false,30.0,cluster_3
61.0,35.0,Florian Mayer,$1.367,Richard Gasquet,Sep 30 2013,Beijing,R32,Richard Gasquet,false,31.0,cluster_5
67.0,21.0,Milos Raonic,$1.875,Milos Raonic,Sep 30 2013,Bangkok,S,Richard Gasquet,false,32.0,cluster_8
