p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
58.0,35.0,James Ward,$1.081,Tommy Robredo,May 21 2014,French Open Slam,Round of 128,Tommy Robredo,false,1.0,cluster_2
65.0,46.0,Philipp Kohlschreiber,$1.636,Philipp Kohlschreiber,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Tommy Robredo,false,2.0,cluster_0
53.0,38.0,Juan Monaco,$1.443,Tommy Robredo,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Tommy Robredo,false,3.0,cluster_2
67.0,34.0,Roberto Bautista Agut,$1.711,Roberto Bautista Agut,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Tommy Robredo,false,4.0,cluster_7
68.0,31.0,Marin Cilic,$1.752,Marin Cilic,Apr 21 2014,Barcelona,R16,Tommy Robredo,false,5.0,cluster_7
52.0,37.0,Marinko Matosevic,$1.142,Tommy Robredo,Apr 21 2014,Barcelona,R32,Tommy Robredo,false,6.0,cluster_2
77.0,34.0,Milos Raonic,$1.837,Milos Raonic,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R16,Tommy Robredo,false,7.0,cluster_4
48.0,29.0,Julien Benneteau,$1.241,Tommy Robredo,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Tommy Robredo,false,8.0,cluster_5
51.0,35.0,David Goffin,$1.329,Tommy Robredo,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Tommy Robredo,false,9.0,cluster_5
69.0,41.0,Santiago Giraldo,$1.391,Santiago Giraldo,Apr 7 2014,Houston,R16,Tommy Robredo,false,10.0,cluster_8
76.0,36.0,Novak Djokovic,$14.508,Novak Djokovic,Mar 17 2014,ATP World Tour Masters 1000 Miami,R16,Tommy Robredo,false,11.0,cluster_4
58.0,36.0,Julien Benneteau,$1.661,Tommy Robredo,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Tommy Robredo,false,12.0,cluster_2
60.0,34.0,Dominic Thiem,$1.786,Tommy Robredo,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Tommy Robredo,false,13.0,cluster_7
73.0,41.0,Marin Cilic,$3.689,Marin Cilic,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Tommy Robredo,false,14.0,cluster_8
67.0,33.0,Marinko Matosevic,$1.550,Tommy Robredo,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Tommy Robredo,false,15.0,cluster_7
66.0,58.0,Pablo Andujar,$1.343,Pablo Andujar,Feb 17 2014,Rio de Janeiro,Q,Tommy Robredo,false,16.0,cluster_0
43.0,23.0,Dusan Lajovic,$1.165,Tommy Robredo,Feb 17 2014,Rio de Janeiro,R16,Tommy Robredo,false,17.0,cluster_1
65.0,25.0,Pablo Carreno Busta,$1.292,Tommy Robredo,Feb 17 2014,Rio de Janeiro,R32,Tommy Robredo,false,18.0,cluster_9
59.0,40.0,Fabio Fognini,$2.289,Fabio Fognini,Feb 10 2014,Buenos Aires,S,Tommy Robredo,false,19.0,cluster_2
62.0,23.0,Guido Pella,$1.268,Tommy Robredo,Feb 10 2014,Buenos Aires,R16,Tommy Robredo,false,20.0,cluster_9
55.0,36.0,Pablo Carreno Busta,$1.333,Tommy Robredo,Feb 10 2014,Buenos Aires,R32,Tommy Robredo,false,21.0,cluster_2
76.0,32.0,Leonardo Mayer,$1.439,Leonardo Mayer,Feb 3 2014,Vina del Mar,R16,Tommy Robredo,false,22.0,cluster_4
73.0,37.0,Stan Wawrinka,$3.191,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Round of 16,Tommy Robredo,false,23.0,cluster_4
