p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
54.0,31.0,Santiago Giraldo,$2.894,Andreas Seppi,May 21 2014,French Open Slam,Round of 128,Andreas Seppi,false,1.0,cluster_0
64.0,43.0,Tommy Haas,$1.930,Tommy Haas,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Andreas Seppi,false,2.0,cluster_9
67.0,41.0,Fernando Verdasco,$3.151,Fernando Verdasco,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Andreas Seppi,false,3.0,cluster_9
65.0,37.0,Tommy Haas,$3.075,Tommy Haas,Apr 28 2014,Munich,Q,Andreas Seppi,false,4.0,cluster_9
43.0,43.0,Albert Ramos,$2.221,Andreas Seppi,Apr 28 2014,Munich,R16,Andreas Seppi,false,5.0,cluster_5
55.0,29.0,Michael Berrer,$1.272,Andreas Seppi,Apr 28 2014,Munich,R32,Andreas Seppi,false,6.0,cluster_0
54.0,47.0,Carlos Berlocq,$2.263,Carlos Berlocq,Apr 21 2014,Bucharest,R32,Andreas Seppi,false,7.0,cluster_1
68.0,55.0,Rafael Nadal,$32.211,Rafael Nadal,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R16,Andreas Seppi,false,8.0,cluster_8
61.0,37.0,Pablo Andujar,$1.900,Andreas Seppi,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Andreas Seppi,false,9.0,cluster_6
58.0,31.0,Mikhail Youzhny,$1.948,Andreas Seppi,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Andreas Seppi,false,10.0,cluster_0
50.0,36.0,James Ward,$1.138,Andreas Seppi,Apr 4 2014,Davis Cup,Reverse Singles,Andreas Seppi,false,11.0,cluster_5
64.0,46.0,Andy Murray,$5.201,Andy Murray,Apr 4 2014,Davis Cup,Singles,Andreas Seppi,false,12.0,cluster_9
72.0,50.0,David Ferrer,$7.365,David Ferrer,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Andreas Seppi,false,13.0,cluster_8
