p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
62.0,27.0,Edouard Roger-Vasselin,$1.344,Jo-Wilfried Tsonga,Sep 16 2013,Metz,R16,Jo-Wilfried Tsonga,false,1.0,cluster_7
67.0,37.0,Ernests Gulbis,$1.256,Ernests Gulbis,Jun 24 2013,Wimbledon Slam,Round of 64,Jo-Wilfried Tsonga,false,2.0,cluster_4
66.0,25.0,David Goffin,$1.046,Jo-Wilfried Tsonga,Jun 24 2013,Wimbledon Slam,Round of 128,Jo-Wilfried Tsonga,false,3.0,cluster_5
69.0,38.0,Andy Murray,$3.075,Andy Murray,Jun 10 2013,London / Queen's Club,S,Jo-Wilfried Tsonga,false,4.0,cluster_4
60.0,23.0,Denis Kudla,$1.091,Jo-Wilfried Tsonga,Jun 10 2013,London / Queen's Club,Q,Jo-Wilfried Tsonga,false,5.0,cluster_0
70.0,27.0,Igor Sijsling,$1.223,Jo-Wilfried Tsonga,Jun 10 2013,London / Queen's Club,R16,Jo-Wilfried Tsonga,false,6.0,cluster_5
58.0,26.0,Edouard Roger-Vasselin,$1.176,Jo-Wilfried Tsonga,May 21 2014,French Open Slam,Round of 128,Jo-Wilfried Tsonga,false,7.0,cluster_7
67.0,26.0,Edouard Roger-Vasselin,$1.114,Jo-Wilfried Tsonga,Jun 10 2013,London / Queen's Club,R32,Jo-Wilfried Tsonga,false,8.0,cluster_5
66.0,48.0,David Ferrer,$2.367,David Ferrer,May 27 2013,French Open Slam,Semi Final,Jo-Wilfried Tsonga,false,9.0,cluster_9
71.0,26.0,Milos Raonic,$1.967,Milos Raonic,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Jo-Wilfried Tsonga,false,10.0,cluster_5
53.0,26.0,Roger Federer,$2.480,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Quarter Final,Jo-Wilfried Tsonga,false,11.0,cluster_3
73.0,27.0,Kevin Anderson,$1.397,Jo-Wilfried Tsonga,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Jo-Wilfried Tsonga,false,12.0,cluster_5
56.0,26.0,Viktor Troicki,$1.097,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 16,Jo-Wilfried Tsonga,false,13.0,cluster_3
65.0,31.0,Alexandr Dolgopolov,$2.014,Jo-Wilfried Tsonga,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Jo-Wilfried Tsonga,false,14.0,cluster_8
75.0,36.0,Santiago Giraldo,$1.479,Santiago Giraldo,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Jo-Wilfried Tsonga,false,15.0,cluster_1
61.0,21.0,Jeremy Chardy,$1.276,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,Jo-Wilfried Tsonga,false,16.0,cluster_0
