p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
55.0,44.0,Pablo Carreno Busta,$1.479,Mikhail Youzhny,May 21 2014,French Open Slam,Round of 128,Mikhail Youzhny,false,1.0,cluster_5
62.0,48.0,Rafael Nadal,$11.442,Rafael Nadal,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Mikhail Youzhny,false,2.0,cluster_7
51.0,38.0,Andrey Golubev,$1.724,Mikhail Youzhny,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Mikhail Youzhny,false,3.0,cluster_8
61.0,16.0,Nicolas Mahut,$1.241,Mikhail Youzhny,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Mikhail Youzhny,false,4.0,cluster_6
68.0,36.0,Feliciano Lopez,$1.827,Feliciano Lopez,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Mikhail Youzhny,false,5.0,cluster_2
55.0,29.0,Benjamin Becker,$1.314,Mikhail Youzhny,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Mikhail Youzhny,false,6.0,cluster_4
66.0,41.0,Martin Klizan,$2.628,Martin Klizan,Apr 28 2014,Munich,R16,Mikhail Youzhny,false,7.0,cluster_2
73.0,46.0,Robin Haase,$1.706,Robin Haase,Apr 21 2014,Bucharest,R16,Mikhail Youzhny,false,8.0,cluster_3
68.0,41.0,Andreas Seppi,$1.985,Andreas Seppi,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Mikhail Youzhny,false,9.0,cluster_2
56.0,31.0,James Ward,$1.134,Mikhail Youzhny,Mar 3 2014,Dubai,R16,Mikhail Youzhny,false,10.0,cluster_4
54.0,27.0,Michal Przysiezny,$1.280,Mikhail Youzhny,Mar 3 2014,Dubai,R32,Mikhail Youzhny,false,11.0,cluster_4
71.0,49.0,Igor Sijsling,$1.663,Igor Sijsling,Mar 3 2014,Rotterdam,R32,Mikhail Youzhny,false,12.0,cluster_3
61.0,44.0,Bjorn Phau,$1.178,Bjorn Phau,Feb 10 2014,Zagreb,R16,Mikhail Youzhny,false,13.0,cluster_7
72.0,33.0,Florian Mayer,$1.611,Florian Mayer,Feb 3 2014,Australian Open Slam,Round of 64,Mikhail Youzhny,false,14.0,cluster_2
48.0,35.0,Jan-Lennard Struff,$1.292,Mikhail Youzhny,Jan 13 2014,Australian Open Slam,Round of 128,Mikhail Youzhny,false,15.0,cluster_8
67.0,40.0,Kevin Anderson,$1.538,Kevin Anderson,Jan 7 2014,ATP World Tour Masters 1000 Paris,R64,Mikhail Youzhny,false,16.0,cluster_2
57.0,35.0,David Ferrer,$3.945,Mikhail Youzhny,Oct 28 2013,Valencia,F,Mikhail Youzhny,false,17.0,cluster_1
50.0,30.0,Dmitry Tursunov,$1.698,Mikhail Youzhny,Oct 21 2013,Valencia,S,Mikhail Youzhny,false,18.0,cluster_8
66.0,29.0,Jarkko Nieminen,$1.531,Mikhail Youzhny,Oct 21 2013,Valencia,Q,Mikhail Youzhny,false,19.0,cluster_9
66.0,30.0,Philipp Kohlschreiber,$2.057,Mikhail Youzhny,Oct 21 2013,Valencia,R16,Mikhail Youzhny,false,20.0,cluster_9
56.0,39.0,Bernard Tomic,$1.447,Mikhail Youzhny,Oct 21 2013,Valencia,R32,Mikhail Youzhny,false,21.0,cluster_1
70.0,50.0,Pablo Andujar,$1.205,Pablo Andujar,Oct 21 2013,ATP World Tour Masters 1000 Shanghai,R64,Mikhail Youzhny,false,22.0,cluster_3
59.0,48.0,Sam Querrey,$1.532,Sam Querrey,Oct 6 2013,Beijing,R32,Mikhail Youzhny,false,23.0,cluster_5
70.0,48.0,Richard Gasquet,$2.370,Richard Gasquet,Sep 30 2013,Bangkok,Q,Mikhail Youzhny,false,24.0,cluster_3
