p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
54.0,50.0,Gael Monfils,$1.939,Gael Monfils,May 21 2014,French Open Slam,Round of 32,Fabio Fognini,false,1.0,cluster_1
51.0,36.0,Andreas Beck,$1.138,Fabio Fognini,May 21 2014,French Open Slam,Round of 128,Fabio Fognini,false,2.0,cluster_4
71.0,43.0,Alexandr Dolgopolov,$2.752,Alexandr Dolgopolov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,Fabio Fognini,false,3.0,cluster_0
56.0,41.0,Joao Sousa,$1.158,Fabio Fognini,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Fabio Fognini,false,4.0,cluster_4
74.0,43.0,Lukas Rosol,$1.200,Lukas Rosol,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Fabio Fognini,false,5.0,cluster_0
58.0,34.0,Roberto Bautista Agut,$2.270,Fabio Fognini,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Fabio Fognini,false,6.0,cluster_2
64.0,21.0,Lukas Lacko,$1.424,Fabio Fognini,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Fabio Fognini,false,7.0,cluster_6
38.0,39.0,Lleyton Hewitt,$2.880,Fabio Fognini,Sep 30 2013,Beijing,R16,Fabio Fognini,false,8.0,cluster_8
83.0,51.0,Novak Djokovic,$15.802,Novak Djokovic,Jan 13 2014,Australian Open Slam,Round of 16,Fabio Fognini,false,9.0,cluster_7
61.0,37.0,Jarkko Nieminen,$1.868,Fabio Fognini,Jan 13 2014,Australian Open Slam,Round of 64,Fabio Fognini,false,10.0,cluster_2
62.0,32.0,Thomaz Bellucci,$1.228,Fabio Fognini,May 21 2014,French Open Slam,Round of 64,Fabio Fognini,false,11.0,cluster_2
70.0,54.0,Rajeev Ram,$1.178,Rajeev Ram,Aug 26 2013,US Open Slam,Round of 128,Fabio Fognini,false,12.0,cluster_9
56.0,28.0,Andy Murray,$3.212,Fabio Fognini,Apr 4 2014,Davis Cup,Reverse Singles,Fabio Fognini,false,13.0,cluster_11
46.0,40.0,Alex Bogomolov Jr.,$1.759,Fabio Fognini,Jan 13 2014,Australian Open Slam,Round of 128,Fabio Fognini,false,14.0,cluster_10
53.0,39.0,Aljaz Bedene,$1.876,Fabio Fognini,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R128,Fabio Fognini,false,15.0,cluster_4
62.0,35.0,Aljaz Bedene,$1.700,Fabio Fognini,Feb 25 2013,Acapulco,R16,Fabio Fognini,false,16.0,cluster_2
