p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
66.0,48.0,Martin Klizan,$1.158,Martin Klizan,May 21 2014,French Open Slam,Round of 128,Kei Nishikori,false,1.0,cluster_10
69.0,41.0,Rafael Nadal,$7.533,Rafael Nadal,May 12 2014,ATP World Tour Masters 1000 Madrid,F,Kei Nishikori,false,2.0,cluster_10
67.0,37.0,David Ferrer,$2.538,Kei Nishikori,May 12 2014,ATP World Tour Masters 1000 Madrid,S,Kei Nishikori,false,3.0,cluster_5
58.0,27.0,Feliciano Lopez,$1.162,Kei Nishikori,May 12 2014,ATP World Tour Masters 1000 Madrid,Q,Kei Nishikori,false,4.0,cluster_7
69.0,29.0,Milos Raonic,$1.506,Kei Nishikori,May 12 2014,ATP World Tour Masters 1000 Madrid,R16,Kei Nishikori,false,5.0,cluster_5
46.0,34.0,Guillermo Garcia-Lopez,$1.268,Kei Nishikori,May 12 2014,ATP World Tour Masters 1000 Madrid,R32,Kei Nishikori,false,6.0,cluster_0
55.0,32.0,Ivan Dodig,$1.147,Kei Nishikori,May 12 2014,ATP World Tour Masters 1000 Madrid,R64,Kei Nishikori,false,7.0,cluster_8
63.0,48.0,Daniel Evans,$1.096,Daniel Evans,Aug 26 2013,US Open Slam,Round of 128,Kei Nishikori,false,8.0,cluster_10
70.0,35.0,Feliciano Lopez,$1.429,Feliciano Lopez,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Kei Nishikori,false,9.0,cluster_5
45.0,35.0,Santiago Giraldo,$1.264,Kei Nishikori,May 12 2014,Barcelona,F,Kei Nishikori,false,10.0,cluster_0
56.0,26.0,Ernests Gulbis,$1.708,Kei Nishikori,Apr 21 2014,Barcelona,S,Kei Nishikori,false,11.0,cluster_7
45.0,34.0,Marin Cilic,$1.625,Kei Nishikori,Apr 21 2014,Barcelona,Q,Kei Nishikori,false,12.0,cluster_0
59.0,40.0,Richard Gasquet,$2.457,Richard Gasquet,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Kei Nishikori,false,13.0,cluster_6
57.0,32.0,Andreas Seppi,$1.535,Kei Nishikori,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Kei Nishikori,false,14.0,cluster_8
41.0,42.0,Andrey Golubev,$1.201,Kei Nishikori,Apr 21 2014,Barcelona,R16,Kei Nishikori,false,15.0,cluster_2
