p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
46.0,37.0,Joao Sousa,$1.006,Novak Djokovic,May 21 2014,French Open Slam,Round of 128,Novak Djokovic,false,1.0,cluster_2
51.0,34.0,Rafael Nadal,$2.236,Novak Djokovic,May 12 2014,ATP World Tour Masters 1000 Rome,F,Novak Djokovic,false,2.0,cluster_2
65.0,30.0,Milos Raonic,$1.160,Novak Djokovic,May 12 2014,ATP World Tour Masters 1000 Rome,S,Novak Djokovic,false,3.0,cluster_0
59.0,37.0,David Ferrer,$1.370,Novak Djokovic,May 12 2014,ATP World Tour Masters 1000 Rome,Q,Novak Djokovic,false,4.0,cluster_0
50.0,34.0,Philipp Kohlschreiber,$1.135,Novak Djokovic,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Novak Djokovic,false,5.0,cluster_2
50.0,34.0,Radek Stepanek,$1.057,Novak Djokovic,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Novak Djokovic,false,6.0,cluster_2
75.0,38.0,Roger Federer,$1.334,Roger Federer,May 5 2014,ATP World Tour Masters 1000 Monte Carlo,S,Novak Djokovic,false,7.0,cluster_0
54.0,34.0,Guillermo Garcia-Lopez,$1.028,Novak Djokovic,May 5 2014,ATP World Tour Masters 1000 Monte Carlo,Q,Novak Djokovic,false,8.0,cluster_2
42.0,31.0,Marcel Granollers,$1.018,Novak Djokovic,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Novak Djokovic,false,9.0,cluster_2
36.0,17.0,Pablo Carreno Busta,$1.018,Novak Djokovic,May 5 2014,ATP World Tour Masters 1000 Monte Carlo,R16,Novak Djokovic,false,10.0,cluster_1
35.0,24.0,Albert Montanes,$1.019,Novak Djokovic,May 5 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Novak Djokovic,false,11.0,cluster_1
63.0,13.0,Rafael Nadal,$1.806,Novak Djokovic,Sep 30 2013,Beijing,F,Novak Djokovic,false,12.0,cluster_1
53.0,28.0,Richard Gasquet,$1.109,Novak Djokovic,Sep 30 2013,Beijing,S,Novak Djokovic,false,13.0,cluster_2
55.0,22.0,Rafael Nadal,$1.729,Novak Djokovic,May 5 2014,ATP World Tour Masters 1000 Miami,F,Novak Djokovic,false,14.0,cluster_1
58.0,31.0,Andy Murray,$1.315,Novak Djokovic,Mar 17 2014,ATP World Tour Masters 1000 Miami,Q,Novak Djokovic,false,15.0,cluster_0
63.0,23.0,Tommy Robredo,$1.055,Novak Djokovic,Mar 17 2014,ATP World Tour Masters 1000 Miami,R16,Novak Djokovic,false,16.0,cluster_0
46.0,13.0,Sam Querrey,$1.082,Novak Djokovic,Sep 30 2013,Beijing,Q,Novak Djokovic,false,17.0,cluster_1
60.0,32.0,Fernando Verdasco,$1.054,Novak Djokovic,Sep 30 2013,Beijing,R16,Novak Djokovic,false,18.0,cluster_0
48.0,15.0,Lukas Rosol,$1.020,Novak Djokovic,Sep 30 2013,Beijing,R32,Novak Djokovic,false,19.0,cluster_1
54.0,28.0,Milos Raonic,$1.059,Novak Djokovic,Sep 13 2013,Davis Cup,Reverse Singles,Novak Djokovic,false,20.0,cluster_2
52.0,17.0,Vasek Pospisil,$1.021,Novak Djokovic,Sep 13 2013,Davis Cup,Singles,Novak Djokovic,false,21.0,cluster_1
62.0,45.0,Rafael Nadal,$2.236,Rafael Nadal,Aug 26 2013,US Open Slam,Final,Novak Djokovic,false,22.0,cluster_0
