p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
80.0,31.0,Nicolas Almagro,$1.190,Nicolas Almagro,Jan 14 2013,Australian Open Slam,Round of 32,Jerzy Janowicz,false,1.0,cluster_0
62.0,22.0,Nicolas Almagro,$1.799,Jerzy Janowicz,Jun 24 2013,Wimbledon Slam,Round of 32,Jerzy Janowicz,false,2.0,cluster_1
69.0,30.0,Jurgen Melzer,$1.284,Jerzy Janowicz,Jun 24 2013,Wimbledon Slam,Round of 16,Jerzy Janowicz,false,3.0,cluster_1
61.0,22.0,Gilles Simon,$2.482,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,S,Jerzy Janowicz,false,4.0,cluster_1
55.0,26.0,Janko Tipsarevic,$2.685,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,Q,Jerzy Janowicz,false,5.0,cluster_1
56.0,34.0,Simone Bolelli,$1.370,Jerzy Janowicz,Jan 7 2013,Australian Open Slam,Round of 128,Jerzy Janowicz,false,6.0,cluster_2
73.0,36.0,Brian Baker,$1.705,Brian Baker,Oct 29 2012,Auckland,R32,Jerzy Janowicz,false,7.0,cluster_0
71.0,41.0,David Ferrer,$3.172,David Ferrer,Oct 29 2012,ATP World Tour Masters 1000 Paris,F,Jerzy Janowicz,false,8.0,cluster_0
63.0,33.0,Santiago Giraldo,$1.845,Jerzy Janowicz,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Jerzy Janowicz,false,9.0,cluster_2
67.0,36.0,Victor Hanescu,$1.308,Victor Hanescu,Feb 1 2013,Rotterdam,R32,Jerzy Janowicz,false,10.0,cluster_2
64.0,32.0,Andy Murray,$11.658,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,R16,Jerzy Janowicz,false,11.0,cluster_2
64.0,18.0,Marin Cilic,$3.598,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,Jerzy Janowicz,false,12.0,cluster_1
68.0,32.0,Dennis Novikov,$1.056,Dennis Novikov,Aug 20 2012,US Open Slam,Round of 128,Jerzy Janowicz,false,13.0,cluster_2
