p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
63.0,46.0,Guillermo Garcia-Lopez,$1.116,Guillermo Garcia-Lopez,May 21 2014,French Open Slam,Round of 128,Stan Wawrinka,false,1.0,cluster_0
70.0,45.0,Tommy Haas,$1.183,Tommy Haas,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Stan Wawrinka,false,2.0,cluster_0
48.0,19.0,Pere Riba,$1.072,Stan Wawrinka,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Stan Wawrinka,false,3.0,cluster_1
63.0,35.0,Dominic Thiem,$1.170,Dominic Thiem,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Stan Wawrinka,false,4.0,cluster_0
64.0,30.0,Roger Federer,$2.357,Stan Wawrinka,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,F,Stan Wawrinka,false,5.0,cluster_2
61.0,28.0,David Ferrer,$2.347,Stan Wawrinka,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,S,Stan Wawrinka,false,6.0,cluster_2
67.0,26.0,Milos Raonic,$1.391,Stan Wawrinka,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,Q,Stan Wawrinka,false,7.0,cluster_2
54.0,25.0,Andy Murray,$4.080,Stan Wawrinka,Aug 26 2013,US Open Slam,Quarter Final,Stan Wawrinka,false,8.0,cluster_1
61.0,33.0,Tomas Berdych,$3.467,Stan Wawrinka,Aug 26 2013,US Open Slam,Round of 16,Stan Wawrinka,false,9.0,cluster_2
63.0,21.0,Mikhail Kukushkin,$1.192,Stan Wawrinka,Apr 4 2014,Davis Cup,Reverse Singles,Stan Wawrinka,false,10.0,cluster_2
69.0,36.0,Andrey Golubev,$1.057,Andrey Golubev,Apr 4 2014,Davis Cup,Singles,Stan Wawrinka,false,11.0,cluster_0
61.0,30.0,Marcos Baghdatis,$1.407,Stan Wawrinka,Aug 26 2013,US Open Slam,Round of 32,Stan Wawrinka,false,12.0,cluster_2
68.0,25.0,Ivo Karlovic,$1.213,Stan Wawrinka,Aug 26 2013,US Open Slam,Round of 64,Stan Wawrinka,false,13.0,cluster_2
69.0,42.0,Alexandr Dolgopolov,$1.381,Alexandr Dolgopolov,Mar 17 2014,ATP World Tour Masters 1000 Miami,R16,Stan Wawrinka,false,14.0,cluster_0
58.0,31.0,Edouard Roger-Vasselin,$1.205,Stan Wawrinka,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Stan Wawrinka,false,15.0,cluster_1
52.0,33.0,Daniel Gimeno-Traver,$1.057,Stan Wawrinka,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Stan Wawrinka,false,16.0,cluster_1
55.0,37.0,Radek Stepanek,$1.498,Stan Wawrinka,Aug 26 2013,US Open Slam,Round of 128,Stan Wawrinka,false,17.0,cluster_1
62.0,41.0,Tommy Robredo,$1.424,Tommy Robredo,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,Stan Wawrinka,false,18.0,cluster_0
56.0,21.0,Andreas Seppi,$1.416,Stan Wawrinka,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Stan Wawrinka,false,19.0,cluster_2
60.0,42.0,Kevin Anderson,$1.264,Kevin Anderson,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,Stan Wawrinka,false,20.0,cluster_0
40.0,23.0,Andreas Seppi,$1.127,Stan Wawrinka,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Stan Wawrinka,false,21.0,cluster_1
60.0,43.0,Benoit Paire,$1.430,Benoit Paire,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Stan Wawrinka,false,22.0,cluster_0
62.0,40.0,Feliciano Lopez,$1.256,Feliciano Lopez,Jul 22 2013,Gstaad,Q,Stan Wawrinka,false,23.0,cluster_0
59.0,26.0,Daniel Gimeno-Traver,$1.161,Stan Wawrinka,Jul 22 2013,Gstaad,R16,Stan Wawrinka,false,24.0,cluster_2
73.0,19.0,Ivo Karlovic,$1.249,Stan Wawrinka,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Stan Wawrinka,false,25.0,cluster_2
60.0,32.0,Dusan Lajovic,$1.036,Stan Wawrinka,Jan 31 2014,Davis Cup,Singles,Stan Wawrinka,false,26.0,cluster_2
56.0,29.0,Rafael Nadal,$6.025,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Final,Stan Wawrinka,false,27.0,cluster_1
64.0,42.0,Lleyton Hewitt,$1.676,Lleyton Hewitt,Jun 24 2013,Wimbledon Slam,Round of 128,Stan Wawrinka,false,28.0,cluster_0
73.0,35.0,Nicolas Mahut,$1.384,Nicolas Mahut,Jun 16 2013,s-Hertogenbosch,F,Stan Wawrinka,false,29.0,cluster_0
72.0,28.0,Tomas Berdych,$1.815,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Semi Final,Stan Wawrinka,false,30.0,cluster_2
55.0,34.0,Guillermo Garcia-Lopez,$1.276,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,S,Stan Wawrinka,false,31.0,cluster_1
67.0,25.0,Jeremy Chardy,$1.439,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,Q,Stan Wawrinka,false,32.0,cluster_2
68.0,37.0,Novak Djokovic,$7.979,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Quarter Final,Stan Wawrinka,false,33.0,cluster_0
63.0,27.0,Tommy Robredo,$1.358,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Round of 16,Stan Wawrinka,false,34.0,cluster_2
60.0,29.0,Alejandro Falla,$1.096,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Round of 64,Stan Wawrinka,false,35.0,cluster_2
66.0,27.0,Paolo Lorenzi,$1.124,Stan Wawrinka,Jun 16 2013,s-Hertogenbosch,R16,Stan Wawrinka,false,36.0,cluster_2
50.0,26.0,Andrey Golubev,$1.052,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Round of 128,Stan Wawrinka,false,37.0,cluster_1
