p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
63.0,37.0,Andy Murray,$2.014,Andy Murray,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Nicolas Almagro,false,1.0,cluster_0
66.0,28.0,Andrey Golubev,$1.165,Nicolas Almagro,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Nicolas Almagro,false,2.0,cluster_6
68.0,37.0,Santiago Giraldo,$1.244,Santiago Giraldo,Apr 21 2014,Barcelona,S,Nicolas Almagro,false,3.0,cluster_0
62.0,43.0,Rafael Nadal,$7.041,Nicolas Almagro,Apr 21 2014,Barcelona,Q,Nicolas Almagro,false,4.0,cluster_7
53.0,27.0,Fernando Verdasco,$1.957,Nicolas Almagro,Apr 21 2014,Barcelona,R16,Nicolas Almagro,false,5.0,cluster_2
59.0,28.0,Martin Klizan,$1.261,Nicolas Almagro,Apr 21 2014,Barcelona,R32,Nicolas Almagro,false,6.0,cluster_4
66.0,27.0,Guillaume Rufin,$1.185,Nicolas Almagro,Jun 24 2013,Wimbledon Slam,Round of 64,Nicolas Almagro,false,7.0,cluster_6
63.0,13.0,Jurgen Zopp,$1.070,Nicolas Almagro,Jun 24 2013,Wimbledon Slam,Round of 128,Nicolas Almagro,false,8.0,cluster_5
63.0,31.0,Nicolas Mahut,$1.128,Nicolas Almagro,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Nicolas Almagro,false,9.0,cluster_4
62.0,39.0,Tommy Robredo,$1.221,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,Nicolas Almagro,false,10.0,cluster_0
54.0,26.0,Andreas Seppi,$1.219,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,Nicolas Almagro,false,11.0,cluster_2
52.0,28.0,Paul-Henri Mathieu,$1.351,Nicolas Almagro,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Nicolas Almagro,false,12.0,cluster_2
62.0,36.0,Fernando Verdasco,$1.540,Fernando Verdasco,Apr 7 2014,Houston,F,Nicolas Almagro,false,13.0,cluster_0
61.0,35.0,Edouard Roger-Vasselin,$1.207,Nicolas Almagro,May 27 2013,French Open Slam,Round of 64,Nicolas Almagro,false,14.0,cluster_1
67.0,27.0,Andreas Haider-Maurer,$1.064,Nicolas Almagro,May 27 2013,French Open Slam,Round of 128,Nicolas Almagro,false,15.0,cluster_6
72.0,31.0,Julien Benneteau,$0,Julien Benneteau,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Nicolas Almagro,false,16.0,cluster_6
59.0,34.0,Mikhail Youzhny,$1.238,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Madrid,R32,Nicolas Almagro,false,17.0,cluster_1
57.0,20.0,Tobias Kamke,$1.068,Nicolas Almagro,May 12 2013,ATP World Tour Masters 1000 Madrid,R64,Nicolas Almagro,false,18.0,cluster_5
57.0,12.0,Jack Sock,$1.258,Nicolas Almagro,Apr 7 2014,Houston,Q,Nicolas Almagro,false,19.0,cluster_5
51.0,30.0,Michael Russell,$1.096,Nicolas Almagro,Apr 7 2014,Houston,R16,Nicolas Almagro,false,20.0,cluster_2
73.0,31.0,John Isner,$2.317,John Isner,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Nicolas Almagro,false,21.0,cluster_6
64.0,44.0,Rafael Nadal,$8.289,Rafael Nadal,Apr 22 2013,Barcelona,F,Nicolas Almagro,false,22.0,cluster_7
45.0,23.0,Philipp Kohlschreiber,$1.255,Nicolas Almagro,Apr 22 2013,Barcelona,S,Nicolas Almagro,false,23.0,cluster_2
64.0,20.0,Sam Querrey,$1.780,Nicolas Almagro,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Nicolas Almagro,false,24.0,cluster_5
64.0,35.0,Juan Monaco,$1.639,Nicolas Almagro,Apr 22 2013,Barcelona,Q,Nicolas Almagro,false,25.0,cluster_0
58.0,38.0,Marcel Granollers,$1.209,Nicolas Almagro,Apr 22 2013,Barcelona,R16,Nicolas Almagro,false,26.0,cluster_1
68.0,34.0,Federico Delbonis,$1.388,Federico Delbonis,Feb 24 2014,Sao Paulo,R16,Nicolas Almagro,false,27.0,cluster_0
64.0,44.0,Alexandr Dolgopolov,$1.334,Alexandr Dolgopolov,Feb 17 2014,Rio de Janeiro,R32,Nicolas Almagro,false,28.0,cluster_7
55.0,29.0,Ivan Dodig,$1.116,Nicolas Almagro,Apr 22 2013,Barcelona,R32,Nicolas Almagro,false,29.0,cluster_4
67.0,35.0,Jurgen Melzer,$1.166,Jurgen Melzer,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Nicolas Almagro,false,30.0,cluster_0
54.0,33.0,David Goffin,$1.183,Nicolas Almagro,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Nicolas Almagro,false,31.0,cluster_1
68.0,37.0,John Isner,$1.279,John Isner,Apr 8 2013,Houston,F,Nicolas Almagro,false,32.0,cluster_0
63.0,45.0,David Ferrer,$3.571,David Ferrer,Feb 10 2014,Buenos Aires,S,Nicolas Almagro,false,33.0,cluster_7
59.0,35.0,Jeremy Chardy,$1.424,Nicolas Almagro,Feb 10 2014,Buenos Aires,Q,Nicolas Almagro,false,34.0,cluster_1
59.0,30.0,Paolo Lorenzi,$1.119,Nicolas Almagro,Apr 8 2013,Houston,Q,Nicolas Almagro,false,35.0,cluster_4
66.0,39.0,Daniel Gimeno-Traver,$1.199,Nicolas Almagro,Feb 10 2014,Buenos Aires,R16,Nicolas Almagro,false,36.0,cluster_0
57.0,29.0,Horacio Zeballos,$1.183,Nicolas Almagro,Feb 10 2014,Buenos Aires,R32,Nicolas Almagro,false,37.0,cluster_4
58.0,34.0,Fabio Fognini,$2.159,Fabio Fognini,Feb 3 2014,Vina del Mar,S,Nicolas Almagro,false,38.0,cluster_1
54.0,32.0,Gael Monfils,$1.228,Nicolas Almagro,Apr 8 2013,Houston,R16,Nicolas Almagro,false,39.0,cluster_1
69.0,40.0,Richard Gasquet,$2.106,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Nicolas Almagro,false,40.0,cluster_0
54.0,19.0,Taro Daniel,$1.113,Nicolas Almagro,Feb 3 2014,Vina del Mar,Q,Nicolas Almagro,false,41.0,cluster_2
65.0,18.0,Martin Alund,$1.217,Nicolas Almagro,Feb 3 2014,Vina del Mar,R16,Nicolas Almagro,false,42.0,cluster_5
58.0,35.0,David Goffin,$1.192,Nicolas Almagro,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Nicolas Almagro,false,43.0,cluster_1
48.0,20.0,Guido Pella,$1.089,Nicolas Almagro,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Nicolas Almagro,false,44.0,cluster_2
66.0,51.0,Stan Wawrinka,$2.528,Stan Wawrinka,Jan 13 2014,ATP World Tour Masters 1000 Paris,R16,Nicolas Almagro,false,45.0,cluster_7
62.0,27.0,Ivan Dodig,$1.845,Nicolas Almagro,Jan 13 2014,ATP World Tour Masters 1000 Paris,R32,Nicolas Almagro,false,46.0,cluster_4
68.0,36.0,Tommy Haas,$1.653,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Nicolas Almagro,false,47.0,cluster_0
56.0,31.0,Daniel Gimeno-Traver,$1.123,Nicolas Almagro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Nicolas Almagro,false,48.0,cluster_4
53.0,34.0,Fabio Fognini,$1.445,Nicolas Almagro,Oct 21 2013,Valencia,Q,Nicolas Almagro,false,49.0,cluster_1
65.0,35.0,Rafael Nadal,$5.047,Rafael Nadal,Feb 25 2013,Acapulco,S,Nicolas Almagro,false,50.0,cluster_0
60.0,25.0,Michal Przysiezny,$1.216,Nicolas Almagro,Oct 21 2013,Valencia,R16,Nicolas Almagro,false,51.0,cluster_4
48.0,23.0,Pablo Andujar,$1.095,Nicolas Almagro,Oct 21 2013,Valencia,R32,Nicolas Almagro,false,52.0,cluster_2
61.0,16.0,Horacio Zeballos,$1.255,Nicolas Almagro,Feb 25 2013,Acapulco,Q,Nicolas Almagro,false,53.0,cluster_5
58.0,31.0,Tommy Robredo,$1.160,Nicolas Almagro,Feb 25 2013,Acapulco,R16,Nicolas Almagro,false,54.0,cluster_4
78.0,32.0,Stan Wawrinka,$1.755,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,Nicolas Almagro,false,55.0,cluster_3
76.0,40.0,Juan Martin Del Potro,$3.014,Juan Martin Del Potro,Oct 21 2013,ATP World Tour Masters 1000 Shanghai,Q,Nicolas Almagro,false,56.0,cluster_3
70.0,26.0,Tomas Berdych,$3.334,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R16,Nicolas Almagro,false,57.0,cluster_6
65.0,15.0,Federico Delbonis,$1.244,Nicolas Almagro,Feb 18 2013,Buenos Aires,Q,Nicolas Almagro,false,58.0,cluster_5
