p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
80.0,31.0,Ivo Karlovic,$1.077,Ivo Karlovic,May 21 2014,French Open Slam,Round of 128,Grigor Dimitrov,false,1.0,cluster_2
50.0,20.0,Tommy Haas,$1.467,Grigor Dimitrov,May 12 2014,ATP World Tour Masters 1000 Rome,Q,Grigor Dimitrov,false,2.0,cluster_1
59.0,29.0,Tomas Berdych,$2.409,Grigor Dimitrov,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Grigor Dimitrov,false,3.0,cluster_4
61.0,34.0,Edouard Roger-Vasselin,$1.190,Grigor Dimitrov,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Grigor Dimitrov,false,4.0,cluster_4
67.0,33.0,Tomas Berdych,$2.308,Tomas Berdych,May 5 2014,ATP World Tour Masters 1000 Madrid,R16,Grigor Dimitrov,false,5.0,cluster_4
67.0,27.0,Marius Copil,$1.077,Grigor Dimitrov,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Grigor Dimitrov,false,6.0,cluster_4
52.0,31.0,Pablo Carreno Busta,$1.238,Grigor Dimitrov,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Grigor Dimitrov,false,7.0,cluster_7
51.0,28.0,Lukas Rosol,$1.333,Grigor Dimitrov,Apr 21 2014,Bucharest,F,Grigor Dimitrov,false,8.0,cluster_7
57.0,27.0,Sergiy Stakhovsky,$1.144,Grigor Dimitrov,Apr 21 2014,Bucharest,Q,Grigor Dimitrov,false,9.0,cluster_7
67.0,25.0,Jiri Vesely,$1.327,Grigor Dimitrov,Apr 21 2014,Bucharest,R16,Grigor Dimitrov,false,10.0,cluster_5
60.0,48.0,David Ferrer,$3.378,David Ferrer,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R16,Grigor Dimitrov,false,11.0,cluster_6
65.0,22.0,Albert Ramos,$1.316,Grigor Dimitrov,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Grigor Dimitrov,false,12.0,cluster_5
53.0,30.0,Marcel Granollers,$1.351,Grigor Dimitrov,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Grigor Dimitrov,false,13.0,cluster_7
72.0,34.0,Kei Nishikori,$1.883,Kei Nishikori,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Grigor Dimitrov,false,14.0,cluster_2
64.0,19.0,Albert Montanes,$1.065,Grigor Dimitrov,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Grigor Dimitrov,false,15.0,cluster_5
67.0,39.0,Ernests Gulbis,$2.058,Ernests Gulbis,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Grigor Dimitrov,false,16.0,cluster_6
55.0,23.0,Robin Haase,$1.158,Grigor Dimitrov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Grigor Dimitrov,false,17.0,cluster_1
65.0,30.0,Kevin Anderson,$1.484,Grigor Dimitrov,Feb 24 2014,Acapulco,F,Grigor Dimitrov,false,18.0,cluster_4
70.0,29.0,Andy Murray,$2.861,Grigor Dimitrov,Feb 24 2014,Acapulco,S,Grigor Dimitrov,false,19.0,cluster_2
56.0,40.0,Ernests Gulbis,$1.830,Grigor Dimitrov,Feb 24 2014,Acapulco,Q,Grigor Dimitrov,false,20.0,cluster_0
50.0,32.0,Marcos Baghdatis,$1.252,Grigor Dimitrov,Feb 24 2014,Acapulco,R16,Grigor Dimitrov,false,21.0,cluster_7
51.0,34.0,Marinko Matosevic,$1.323,Grigor Dimitrov,Feb 24 2014,Acapulco,R32,Grigor Dimitrov,false,22.0,cluster_7
74.0,30.0,Ernests Gulbis,$1.591,Ernests Gulbis,Feb 10 2014,Rotterdam,R16,Grigor Dimitrov,false,23.0,cluster_2
57.0,40.0,Dmitry Tursunov,$1.287,Grigor Dimitrov,Feb 10 2014,Rotterdam,R32,Grigor Dimitrov,false,24.0,cluster_0
71.0,38.0,Rafael Nadal,$6.575,Rafael Nadal,Jan 13 2014,Australian Open Slam,Quarter Final,Grigor Dimitrov,false,25.0,cluster_3
65.0,30.0,Roberto Bautista Agut,$1.630,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 16,Grigor Dimitrov,false,26.0,cluster_4
68.0,20.0,Milos Raonic,$2.125,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 32,Grigor Dimitrov,false,27.0,cluster_5
57.0,30.0,Yen-Hsun Lu,$1.598,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 64,Grigor Dimitrov,false,28.0,cluster_7
63.0,21.0,Bradley Klahn,$1.200,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 128,Grigor Dimitrov,false,29.0,cluster_5
72.0,33.0,Marin Cilic,$1.669,Marin Cilic,Dec 30 2013,Brisbane,R16,Grigor Dimitrov,false,30.0,cluster_2
57.0,16.0,Robin Haase,$1.310,Grigor Dimitrov,Dec 30 2013,Brisbane,R32,Grigor Dimitrov,false,31.0,cluster_1
73.0,30.0,Juan Martin Del Potro,$3.538,Juan Martin Del Potro,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,Grigor Dimitrov,false,32.0,cluster_2
62.0,23.0,Michael Llodra,$1.636,Grigor Dimitrov,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,Grigor Dimitrov,false,33.0,cluster_5
70.0,40.0,Roger Federer,$2.996,Roger Federer,Oct 21 2013,Basel,Q,Grigor Dimitrov,false,34.0,cluster_3
