p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
62.0,11.0,Jurgen Zopp,$1.096,Jurgen Zopp,May 21 2014,French Open Slam,Round of 128,Tommy Haas,false,1.0,cluster_1
79.0,50.0,Grigor Dimitrov,$2.980,Grigor Dimitrov,May 12 2014,ATP World Tour Masters 1000 Rome,Q,Tommy Haas,false,2.0,cluster_2
54.0,29.0,Stan Wawrinka,$5.821,Tommy Haas,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Tommy Haas,false,3.0,cluster_7
57.0,22.0,Igor Sijsling,$1.527,Tommy Haas,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Tommy Haas,false,4.0,cluster_1
56.0,36.0,Andreas Seppi,$2.004,Tommy Haas,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Tommy Haas,false,5.0,cluster_4
62.0,44.0,Igor Sijsling,$1.651,Igor Sijsling,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Tommy Haas,false,6.0,cluster_0
69.0,54.0,Martin Klizan,$1.530,Martin Klizan,Apr 28 2014,Munich,S,Tommy Haas,false,7.0,cluster_2
62.0,34.0,Andreas Seppi,$1.445,Tommy Haas,Apr 28 2014,Munich,Q,Tommy Haas,false,8.0,cluster_6
50.0,36.0,Alejandro Falla,$1.495,Tommy Haas,Apr 28 2014,Munich,R16,Tommy Haas,false,9.0,cluster_4
69.0,40.0,Roger Federer,$5.170,Roger Federer,Mar 17 2014,ATP World Tour Masters 1000 Indian Wells,R16,Tommy Haas,false,10.0,cluster_5
52.0,39.0,Kei Nishikori,$2.828,Tommy Haas,Mar 17 2014,ATP World Tour Masters 1000 Indian Wells,R32,Tommy Haas,false,11.0,cluster_4
64.0,32.0,Jeremy Chardy,$2.014,Tommy Haas,Mar 17 2014,ATP World Tour Masters 1000 Indian Wells,R64,Tommy Haas,false,12.0,cluster_6
69.0,41.0,Paolo Lorenzi,$1.366,Paolo Lorenzi,Mar 17 2014,Sao Paulo,S,Tommy Haas,false,13.0,cluster_5
63.0,23.0,Horacio Zeballos,$1.268,Tommy Haas,Feb 24 2014,Sao Paulo,Q,Tommy Haas,false,14.0,cluster_1
62.0,29.0,Potito Starace,$1.408,Tommy Haas,Feb 24 2014,Sao Paulo,R16,Tommy Haas,false,15.0,cluster_6
60.0,37.0,Steve Johnson,$1.345,Steve Johnson,Feb 24 2014,Delray Beach,R16,Tommy Haas,false,16.0,cluster_6
47.0,20.0,Wayne Odesnik,$1.245,Tommy Haas,Feb 17 2014,Delray Beach,R32,Tommy Haas,false,17.0,cluster_7
77.0,40.0,Jerzy Janowicz,$2.288,Jerzy Janowicz,Feb 17 2014,Rotterdam,R16,Tommy Haas,false,18.0,cluster_5
62.0,31.0,Fernando Verdasco,$1.853,Tommy Haas,Feb 10 2014,Rotterdam,R32,Tommy Haas,false,19.0,cluster_6
66.0,41.0,Marin Cilic,$2.752,Marin Cilic,Feb 10 2014,Zagreb,F,Tommy Haas,false,20.0,cluster_0
62.0,29.0,Daniel Evans,$1.365,Tommy Haas,Feb 3 2014,Zagreb,S,Tommy Haas,false,21.0,cluster_6
70.0,28.0,Andrey Kuznetsov,$1.252,Tommy Haas,Feb 3 2014,Zagreb,Q,Tommy Haas,false,22.0,cluster_3
62.0,31.0,Benjamin Becker,$1.443,Tommy Haas,Feb 3 2014,Zagreb,R16,Tommy Haas,false,23.0,cluster_6
63.0,45.0,Guillermo Garcia-Lopez,$1.504,Guillermo Garcia-Lopez,Feb 3 2014,Australian Open Slam,Round of 128,Tommy Haas,false,24.0,cluster_0
