p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
74.0,34.0,John Isner,$2.289,John Isner,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Milos Raonic,false,1.0,cluster_5
66.0,22.0,Janko Tipsarevic,$1.591,Milos Raonic,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,Milos Raonic,false,2.0,cluster_4
67.0,26.0,Jack Sock,$1.424,Milos Raonic,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Milos Raonic,false,3.0,cluster_4
69.0,36.0,Vasek Pospisil,$1.359,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,S,Milos Raonic,false,4.0,cluster_3
67.0,32.0,Ernests Gulbis,$1.687,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,Q,Milos Raonic,false,5.0,cluster_2
50.0,35.0,Juan Martin Del Potro,$2.418,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Milos Raonic,false,6.0,cluster_7
66.0,16.0,Mikhail Youzhny,$1.700,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Milos Raonic,false,7.0,cluster_1
60.0,31.0,Nick Kyrgios,$1.100,Milos Raonic,May 21 2014,French Open Slam,Round of 128,Milos Raonic,false,8.0,cluster_2
69.0,34.0,Novak Djokovic,$6.453,Novak Djokovic,May 12 2014,ATP World Tour Masters 1000 Rome,S,Milos Raonic,false,9.0,cluster_2
61.0,30.0,Jeremy Chardy,$1.359,Milos Raonic,May 12 2014,ATP World Tour Masters 1000 Rome,Q,Milos Raonic,false,10.0,cluster_2
63.0,28.0,Jeremy Chardy,$1.272,Milos Raonic,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Milos Raonic,false,11.0,cluster_2
78.0,31.0,Marinko Matosevic,$1.246,Marinko Matosevic,Jul 29 2013,Washington,R16,Milos Raonic,false,12.0,cluster_5
73.0,28.0,Jo-Wilfried Tsonga,$1.967,Milos Raonic,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Milos Raonic,false,13.0,cluster_4
71.0,29.0,Simone Bolelli,$1.314,Milos Raonic,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Milos Raonic,false,14.0,cluster_4
70.0,30.0,Kei Nishikori,$2.834,Kei Nishikori,May 5 2014,ATP World Tour Masters 1000 Madrid,R16,Milos Raonic,false,15.0,cluster_2
61.0,16.0,Samuel Groth,$1.170,Milos Raonic,Jul 29 2013,Washington,R32,Milos Raonic,false,16.0,cluster_1
80.0,32.0,Igor Sijsling,$1.364,Igor Sijsling,Jun 24 2013,Wimbledon Slam,Round of 64,Milos Raonic,false,17.0,cluster_5
58.0,19.0,Carlos Berlocq,$1.121,Milos Raonic,Jun 24 2013,Wimbledon Slam,Round of 128,Milos Raonic,false,18.0,cluster_0
60.0,20.0,Jeremy Chardy,$1.340,Milos Raonic,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Milos Raonic,false,19.0,cluster_0
