p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
66,48,Tomas Berdych,$3.156,Tomas Berdych,May 21 2014,French Open Slam,Round of 32,Roberto Bautista Agut
65,48,David Ferrer,$5.965,David Ferrer,Aug 26 2013,US Open Slam,Round of 64,Roberto Bautista Agut
48,32,Benoit Paire,$1.500,Roberto Bautista Agut,Jan 13 2014,Australian Open Slam,Round of 32,Roberto Bautista Agut
56,40,Tomas Berdych,$6.888,Roberto Bautista Agut,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Roberto Bautista Agut
61,36,Jarkko Nieminen,$1.445,Roberto Bautista Agut,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Roberto Bautista Agut
70,35,Grigor Dimitrov,$2.510,Grigor Dimitrov,Feb 3 2014,Australian Open Slam,Round of 16,Roberto Bautista Agut
55,33,Thomaz Bellucci,$1.524,Roberto Bautista Agut,Aug 26 2013,US Open Slam,Round of 128,Roberto Bautista Agut
62,44,Ernests Gulbis,$3.378,Ernests Gulbis,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,Roberto Bautista Agut
68,54,Novak Djokovic,$24.813,Novak Djokovic,Feb 24 2014,Dubai,R16,Roberto Bautista Agut
64,48,Dmitry Tursunov,$1.180,Dmitry Tursunov,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Roberto Bautista Agut
68,40,Ricardas Berankis,$1.538,Ricardas Berankis,Aug 18 2013,Winston-Salem,R16,Roberto Bautista Agut
44,33,Adrian Ungur,$1.164,Roberto Bautista Agut,Feb 24 2014,Dubai,R32,Roberto Bautista Agut
55,28,Steve Johnson,$1.424,Roberto Bautista Agut,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R128,Roberto Bautista Agut
66,33,Juan Martin del Potro,$13.033,Roberto Bautista Agut,Jan 13 2014,Australian Open Slam,Round of 64,Roberto Bautista Agut
50,39,David Goffin,$1.739,Roberto Bautista Agut,Mar 6 2013,Dubai,R32,Roberto Bautista Agut
56,31,Paolo Lorenzi,$1.408,Roberto Bautista Agut,May 21 2014,French Open Slam,Round of 128,Roberto Bautista Agut
50,36,Benoit Paire,$1.214,Roberto Bautista Agut,May 21 2014,French Open Slam,Round of 64,Roberto Bautista Agut
55,25,Daniel Brands,$1.750,Roberto Bautista Agut,Sep 24 2012,Orleans,R16,Roberto Bautista Agut
64,31,Ernests Gulbis,$2.530,Roberto Bautista Agut,Oct 15 2012,Orleans,Q,Roberto Bautista Agut
55,47,Tatsuma Ito,$1.470,Tatsuma Ito,Oct 21 2012,Moscow,R32,Roberto Bautista Agut
43,28,Tim Smyczek,$1.287,Roberto Bautista Agut,Jan 13 2014,Australian Open Slam,Round of 128,Roberto Bautista Agut
63,42,Ruben Bemelmans,$1.700,Ruben Bemelmans,Oct 21 2012,Orleans,S,Roberto Bautista Agut
49,43,Blaz Kavcic,$1.534,Roberto Bautista Agut,Dec 31 2012,Chennai,R32,Roberto Bautista Agut
59,48,Paul-Henri Mathieu,$2.979,Paul-Henri Mathieu,Dec 31 2012,ATP World Tour Masters 1000 Paris,R64,Roberto Bautista Agut
56,32,Matthias Bachinger,$1.914,Roberto Bautista Agut,Dec 31 2012,Chennai,R16,Roberto Bautista Agut
60,40,Benoit Paire,$2.380,Roberto Bautista Agut,Jan 7 2013,Chennai,S,Roberto Bautista Agut
58,41,Tomas Berdych,$11.404,Roberto Bautista Agut,Dec 31 2012,Chennai,Q,Roberto Bautista Agut
69,41,Janko Tipsarevic,$4.695,Janko Tipsarevic,Jan 14 2013,Chennai,F,Roberto Bautista Agut
65,41,Marc Gicquel,$1.525,Marc Gicquel,Feb 18 2013,Quimper,Q,Roberto Bautista Agut
62,34,Filip Krajinovic,$1.283,Roberto Bautista Agut,Feb 25 2013,Marseille,R32,Roberto Bautista Agut
61,16,Romain Jouan,$1.256,Roberto Bautista Agut,Feb 18 2013,Quimper,R16,Roberto Bautista Agut
54,32,Maxime Authom,$1.503,Roberto Bautista Agut,Feb 11 2013,Quimper,R32,Roberto Bautista Agut
61,61,Gilles Simon,$4.580,Gilles Simon,Feb 25 2013,Marseille,R16,Roberto Bautista Agut
71,50,Novak Djokovic,$31.619,Novak Djokovic,Mar 18 2013,Dubai,R16,Roberto Bautista Agut
69,38,Wayne Odesnik,$1.504,Wayne Odesnik,Apr 8 2013,ATP World Tour Masters 1000 Indian Wells,R128,Roberto Bautista Agut
46,36,Grega Zemlja,$1.747,Grega Zemlja,Apr 22 2013,ATP World Tour Masters 1000 Miami,R128,Roberto Bautista Agut
59,43,Florian Mayer,$1.827,Florian Mayer,May 19 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Roberto Bautista Agut
61,40,Robin Haase,$1.967,Robin Haase,Apr 22 2013,Casablanca,R32,Roberto Bautista Agut
55,47,Jarkko Nieminen,$2.832,Jarkko Nieminen,May 27 2013,Dusseldorf,R16,Roberto Bautista Agut
70,28,Stephane Bohli,$1.876,Roberto Bautista Agut,Jun 16 2013,s-Hertogenbosch,R32,Roberto Bautista Agut
61,59,Fabio Fognini,$3.194,Fabio Fognini,Jul 15 2013,Stuttgart,S,Roberto Bautista Agut
56,39,Gilles Muller,$1.310,Roberto Bautista Agut,May 19 2013,Dusseldorf,R32,Roberto Bautista Agut
49,32,Carlos Berlocq,$1.912,Roberto Bautista Agut,Jun 16 2013,s-Hertogenbosch,R16,Roberto Bautista Agut
67,38,Xavier Malisse,$3.375,Xavier Malisse,Jun 24 2013,s-Hertogenbosch,Q,Roberto Bautista Agut
56,32,Tobias Kamke,$1.868,Roberto Bautista Agut,Jul 8 2013,Stuttgart,R32,Roberto Bautista Agut
61,32,Martin Klizan,$2.494,Roberto Bautista Agut,Jul 8 2013,Stuttgart,R16,Roberto Bautista Agut
43,41,Michael Berrer,$1.357,Roberto Bautista Agut,Jul 8 2013,Stuttgart,Q,Roberto Bautista Agut
54,39,Fabio Fognini,$2.076,Roberto Bautista Agut,Feb 11 2013,Australian Open Slam,Round of 128,Roberto Bautista Agut
52,23,Henri Laaksonen,$1.279,Roberto Bautista Agut,Jul 28 2013,Gstaad,R32,Roberto Bautista Agut
79,32,Victor Hanescu,$1.827,Victor Hanescu,Jul 28 2013,Gstaad,R16,Roberto Bautista Agut
56,27,Gilles Muller,$1.279,Roberto Bautista Agut,May 27 2013,French Open Slam,Round of 128,Roberto Bautista Agut
47,34,Martin Klizan,$1.813,Roberto Bautista Agut,Aug 18 2013,Winston-Salem,R32,Roberto Bautista Agut
70,43,Tomas Berdych,$5.448,Tomas Berdych,Sep 23 2013,Bangkok,R16,Roberto Bautista Agut
