p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
62.0,39.0,Tommy Robredo,false,$1.221,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,1.0,cluster_1
54.0,26.0,Andreas Seppi,false,$1.219,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,2.0,cluster_4
52.0,28.0,Paul-Henri Mathieu,false,$1.351,Nicolas Almagro,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,3.0,cluster_4
62.0,36.0,Fernando Verdasco,false,$1.540,Fernando Verdasco,Apr 7 2014,Houston,F,4.0,cluster_1
61.0,35.0,Edouard Roger-Vasselin,false,$1.207,Nicolas Almagro,May 27 2013,French Open Slam,Round of 64,5.0,cluster_1
67.0,27.0,Andreas Haider-Maurer,false,$1.064,Nicolas Almagro,May 27 2013,French Open Slam,Round of 128,6.0,cluster_0
72.0,31.0,Julien Benneteau,false,$0,Julien Benneteau,May 12 2013,ATP World Tour Masters 1000 Rome,R64,7.0,cluster_0
59.0,34.0,Mikhail Youzhny,false,$1.238,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Madrid,R32,8.0,cluster_4
57.0,20.0,Tobias Kamke,false,$1.068,Nicolas Almagro,May 12 2013,ATP World Tour Masters 1000 Madrid,R64,9.0,cluster_3
57.0,12.0,Jack Sock,false,$1.258,Nicolas Almagro,Apr 7 2014,Houston,Q,10.0,cluster_3
51.0,30.0,Michael Russell,false,$1.096,Nicolas Almagro,Apr 7 2014,Houston,R16,11.0,cluster_4
73.0,31.0,John Isner,false,$2.317,John Isner,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,12.0,cluster_0
64.0,44.0,Rafael Nadal,false,$8.289,Rafael Nadal,Apr 22 2013,Barcelona,F,13.0,cluster_1
45.0,23.0,Philipp Kohlschreiber,false,$1.255,Nicolas Almagro,Apr 22 2013,Barcelona,S,14.0,cluster_2
64.0,20.0,Sam Querrey,false,$1.780,Nicolas Almagro,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,15.0,cluster_3
64.0,35.0,Juan Monaco,false,$1.639,Nicolas Almagro,Apr 22 2013,Barcelona,Q,16.0,cluster_1
58.0,38.0,Marcel Granollers,false,$1.209,Nicolas Almagro,Apr 22 2013,Barcelona,R16,17.0,cluster_1
68.0,34.0,Federico Delbonis,false,$1.388,Federico Delbonis,Feb 24 2014,Sao Paulo,R16,18.0,cluster_0
