p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
66.0,24.0,Thiemo de Bakker,false,$1.122,Richard Gasquet,Feb 10 2014,Rotterdam,R32,1.0,cluster_1
80.0,38.0,Gael Monfils,false,$1.852,Gael Monfils,Feb 10 2014,Montpellier,F,2.0,cluster_3
67.0,22.0,Jerzy Janowicz,false,$1.567,Richard Gasquet,Feb 3 2014,Montpellier,S,3.0,cluster_1
54.0,16.0,Albano Olivetti,false,$1.102,Richard Gasquet,Feb 3 2014,Montpellier,Q,4.0,cluster_1
52.0,34.0,Paul-Henri Mathieu,false,$1.183,Richard Gasquet,Feb 3 2014,Montpellier,R16,5.0,cluster_2
65.0,36.0,Tommy Robredo,false,$1.510,Tommy Robredo,Jan 31 2014,Australian Open Slam,Round of 32,6.0,cluster_4
55.0,38.0,Nikolay Davydenko,false,$1.235,Richard Gasquet,Jan 13 2014,Australian Open Slam,Round of 64,7.0,cluster_4
50.0,34.0,David Guez,false,$1.057,Richard Gasquet,Jan 13 2014,Australian Open Slam,Round of 128,8.0,cluster_2
75.0,42.0,Gael Monfils,false,$2.465,Gael Monfils,Jan 7 2014,Doha,R16,9.0,cluster_3
46.0,31.0,Karim Hossam,false,$1.040,Richard Gasquet,Dec 30 2013,Doha,R32,10.0,cluster_2
71.0,51.0,Rafael Nadal,false,$5.407,Rafael Nadal,Nov 4 2013,ATP World Tour Masters 1000 Paris,Q,11.0,cluster_0
55.0,28.0,Kei Nishikori,false,$1.479,Richard Gasquet,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,12.0,cluster_2
58.0,30.0,Fernando Verdasco,false,$1.345,Richard Gasquet,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,13.0,cluster_4
72.0,42.0,Michael Llodra,false,$1.340,Michael Llodra,Oct 28 2013,Basel,R32,14.0,cluster_3
59.0,38.0,Mikhail Kukushkin,false,$1.231,Richard Gasquet,Oct 21 2013,Moscow,F,15.0,cluster_4
70.0,22.0,Ivo Karlovic,false,$1.287,Richard Gasquet,Oct 14 2013,Moscow,S,16.0,cluster_1
53.0,27.0,Teymuraz Gabashvili,false,$1.113,Richard Gasquet,Oct 14 2013,Moscow,Q,17.0,cluster_2
56.0,32.0,Evgeny Donskoy,false,$1.256,Richard Gasquet,Oct 14 2013,Moscow,R16,18.0,cluster_4
71.0,32.0,Vasek Pospisil,false,$1.204,Vasek Pospisil,Oct 14 2013,ATP World Tour Masters 1000 Shanghai,R64,19.0,cluster_3
71.0,46.0,Novak Djokovic,false,$8.672,Novak Djokovic,Oct 6 2013,Beijing,S,20.0,cluster_0
58.0,33.0,David Ferrer,false,$1.958,Richard Gasquet,Sep 30 2013,Beijing,Q,21.0,cluster_4
55.0,33.0,Bernard Tomic,false,$1.364,Richard Gasquet,Sep 30 2013,Beijing,R16,22.0,cluster_4
61.0,35.0,Florian Mayer,false,$1.367,Richard Gasquet,Sep 30 2013,Beijing,R32,23.0,cluster_4
67.0,21.0,Milos Raonic,false,$1.875,Milos Raonic,Sep 30 2013,Bangkok,S,24.0,cluster_1
51.0,29.0,Mikhail Youzhny,false,$1.680,Richard Gasquet,Sep 23 2013,Bangkok,Q,25.0,cluster_2
53.0,27.0,Lukas Lacko,false,$1.209,Richard Gasquet,Sep 23 2013,Bangkok,R16,26.0,cluster_2
71.0,38.0,Rafael Nadal,false,$12.500,Rafael Nadal,Sep 23 2013,US Open Slam,Semi Final,27.0,cluster_3
60.0,38.0,David Ferrer,false,$3.194,Richard Gasquet,Aug 26 2013,US Open Slam,Quarter Final,28.0,cluster_4
65.0,38.0,Milos Raonic,false,$2.197,Richard Gasquet,Aug 26 2013,US Open Slam,Round of 16,29.0,cluster_4
59.0,32.0,Dmitry Tursunov,false,$1.357,Richard Gasquet,Aug 26 2013,US Open Slam,Round of 32,30.0,cluster_4
57.0,37.0,Stephane Robert,false,$1.057,Richard Gasquet,Aug 26 2013,US Open Slam,Round of 64,31.0,cluster_4
55.0,32.0,Michael Russell,false,$1.099,Richard Gasquet,Aug 26 2013,US Open Slam,Round of 128,32.0,cluster_4
74.0,32.0,John Isner,false,$1.884,John Isner,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R32,33.0,cluster_3
79.0,51.0,Novak Djokovic,false,$6.791,Novak Djokovic,Aug 12 2013,ATP World Tour Masters 1000 Canada,Q,34.0,cluster_0
60.0,40.0,Kei Nishikori,false,$1.639,Richard Gasquet,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,35.0,cluster_4
55.0,30.0,Martin Klizan,false,$1.238,Richard Gasquet,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,36.0,cluster_2
62.0,44.0,Albert Montanes,false,$1.203,Albert Montanes,Jul 22 2013,Umag,R16,37.0,cluster_0
70.0,22.0,Bernard Tomic,false,$1.412,Bernard Tomic,Jun 24 2013,Wimbledon Slam,Round of 32,38.0,cluster_1
52.0,35.0,Go Soeda,false,$1.037,Richard Gasquet,Jun 24 2013,Wimbledon Slam,Round of 64,39.0,cluster_2
60.0,33.0,Marcel Granollers,false,$1.061,Richard Gasquet,Jun 24 2013,Wimbledon Slam,Round of 128,40.0,cluster_4
