p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
52.0,39.0,Kei Nishikori,false,$2.828,Tommy Haas,Mar 17 2014,ATP World Tour Masters 1000 Indian Wells,R32,1.0,cluster_2
64.0,32.0,Jeremy Chardy,false,$2.014,Tommy Haas,Mar 17 2014,ATP World Tour Masters 1000 Indian Wells,R64,2.0,cluster_3
69.0,41.0,Paolo Lorenzi,false,$1.366,Paolo Lorenzi,Mar 17 2014,Sao Paulo,S,3.0,cluster_0
63.0,23.0,Horacio Zeballos,false,$1.268,Tommy Haas,Feb 24 2014,Sao Paulo,Q,4.0,cluster_3
62.0,29.0,Potito Starace,false,$1.408,Tommy Haas,Feb 24 2014,Sao Paulo,R16,5.0,cluster_3
60.0,37.0,Steve Johnson,false,$1.345,Steve Johnson,Feb 24 2014,Delray Beach,R16,6.0,cluster_2
47.0,20.0,Wayne Odesnik,false,$1.245,Tommy Haas,Feb 17 2014,Delray Beach,R32,7.0,cluster_4
77.0,40.0,Jerzy Janowicz,false,$2.288,Jerzy Janowicz,Feb 17 2014,Rotterdam,R16,8.0,cluster_0
62.0,31.0,Fernando Verdasco,false,$1.853,Tommy Haas,Feb 10 2014,Rotterdam,R32,9.0,cluster_3
66.0,41.0,Marin Cilic,false,$2.752,Marin Cilic,Feb 10 2014,Zagreb,F,10.0,cluster_2
62.0,29.0,Daniel Evans,false,$1.365,Tommy Haas,Feb 3 2014,Zagreb,S,11.0,cluster_3
70.0,28.0,Andrey Kuznetsov,false,$1.252,Tommy Haas,Feb 3 2014,Zagreb,Q,12.0,cluster_3
62.0,31.0,Benjamin Becker,false,$1.443,Tommy Haas,Feb 3 2014,Zagreb,R16,13.0,cluster_3
63.0,45.0,Guillermo Garcia-Lopez,false,$1.504,Guillermo Garcia-Lopez,Feb 3 2014,Australian Open Slam,Round of 128,14.0,cluster_2
68.0,35.0,Jack Sock,false,$1.377,Jack Sock,Jan 13 2014,Auckland,R16,15.0,cluster_0
64.0,47.0,Philipp Kohlschreiber,false,$1.706,Philipp Kohlschreiber,Jan 6 2014,ATP World Tour Masters 1000 Paris,R32,16.0,cluster_2
64.0,41.0,Philipp Kohlschreiber,false,$1.683,Philipp Kohlschreiber,Oct 28 2013,Valencia,R32,17.0,cluster_2
58.0,42.0,Tommy Haas,false,$1.365,Tommy Haas,Oct 21 2013,Vienna,F,18.0,cluster_2
73.0,25.0,Lukas Rosol,false,$1.224,Tommy Haas,Oct 14 2013,Vienna,S,19.0,cluster_3
68.0,33.0,Radek Stepanek,false,$1.755,Tommy Haas,Oct 14 2013,Vienna,Q,20.0,cluster_3
