p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
46.0,36.0,Bradley Klahn,false,$1.733,Lleyton Hewitt,Feb 17 2014,Delray Beach,R32,1.0,cluster_3
55.0,46.0,Michael Russell,false,$1.252,Michael Russell,Feb 10 2014,Memphis,Q,2.0,cluster_3
50.0,39.0,Marcos Baghdatis,false,$1.568,Lleyton Hewitt,Feb 10 2014,Memphis,R16,3.0,cluster_3
64.0,36.0,Andreas Seppi,false,$1.283,Andreas Seppi,Jan 13 2014,Australian Open Slam,Round of 128,4.0,cluster_2
60.0,34.0,Roger Federer,false,$6.053,Lleyton Hewitt,Dec 30 2013,Brisbane,F,5.0,cluster_0
63.0,31.0,Kei Nishikori,false,$2.437,Lleyton Hewitt,Dec 30 2013,Brisbane,S,6.0,cluster_0
52.0,25.0,Marius Copil,false,$1.325,Lleyton Hewitt,Dec 30 2013,Brisbane,Q,7.0,cluster_0
61.0,33.0,Feliciano Lopez,false,$1.550,Lleyton Hewitt,Dec 30 2013,Brisbane,R16,8.0,cluster_0
57.0,30.0,Thanasi Kokkinakis,false,$1.368,Lleyton Hewitt,Dec 30 2013,Brisbane,R32,9.0,cluster_0
72.0,32.0,Vasek Pospisil,false,$1.940,Vasek Pospisil,Oct 14 2013,Vienna,R32,10.0,cluster_2
72.0,47.0,Andreas Seppi,false,$1.636,Andreas Seppi,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,11.0,cluster_4
60.0,61.0,Fabio Fognini,false,$1.493,Fabio Fognini,Sep 30 2013,Beijing,R16,12.0,cluster_4
54.0,41.0,Tommy Haas,false,$2.579,Lleyton Hewitt,Sep 30 2013,Beijing,R32,13.0,cluster_3
49.0,29.0,Lukasz Kubot,false,$1.400,Lleyton Hewitt,Sep 13 2013,Davis Cup,Singles,14.0,cluster_0
58.0,42.0,Mikhail Youzhny,false,$2.567,Mikhail Youzhny,Aug 26 2013,US Open Slam,Round of 16,15.0,cluster_3
63.0,31.0,Evgeny Donskoy,false,$1.306,Lleyton Hewitt,Aug 26 2013,US Open Slam,Round of 32,16.0,cluster_0
59.0,37.0,Juan Martin del Potro,false,$8.377,Lleyton Hewitt,Aug 26 2013,US Open Slam,Round of 64,17.0,cluster_0
49.0,43.0,Brian Baker,false,$1.370,Lleyton Hewitt,Aug 26 2013,US Open Slam,Round of 128,18.0,cluster_3
