p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
64.0,27.0,Donald Young,false,$1.176,John Isner,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,1.0,cluster_4
67.0,42.0,Novak Djokovic,false,$5.085,Novak Djokovic,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,S,2.0,cluster_1
65.0,28.0,Ernests Gulbis,false,$2.270,John Isner,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,Q,3.0,cluster_4
70.0,26.0,Fernando Verdasco,false,$1.629,John Isner,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,4.0,cluster_4
64.0,23.0,Yen-Hsun Lu,false,$1.300,John Isner,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,5.0,cluster_0
67.0,14.0,Nikolay Davydenko,false,$1.443,John Isner,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,6.0,cluster_0
83.0,25.0,Ivo Karlovic,false,$1.522,Ivo Karlovic,Feb 24 2014,Acapulco,R32,7.0,cluster_3
75.0,38.0,Marin Cilic,false,$2.971,Marin Cilic,Feb 17 2014,Delray Beach,S,8.0,cluster_3
61.0,22.0,Rhyne Williams,false,$1.279,John Isner,Feb 17 2014,Delray Beach,Q,9.0,cluster_0
58.0,36.0,Dudi Sela,false,$1.321,John Isner,Feb 17 2014,Delray Beach,R16,10.0,cluster_1
70.0,26.0,Michael Russell,false,$1.247,John Isner,Feb 17 2014,Delray Beach,R32,11.0,cluster_4
82.0,37.0,Martin Klizan,false,$1.141,Martin Klizan,Jan 13 2014,Australian Open Slam,Round of 128,12.0,cluster_3
68.0,22.0,Yen-Hsun Lu,false,$1.493,John Isner,Jan 6 2014,Auckland,F,13.0,cluster_4
66.0,29.0,Roberto Bautista Agut,false,$1.530,John Isner,Jan 6 2014,Auckland,S,14.0,cluster_4
72.0,18.0,Philipp Kohlschreiber,false,$2.245,John Isner,Jan 6 2014,Auckland,Q,15.0,cluster_0
62.0,29.0,Lukas Lacko,false,$1.471,John Isner,Jan 6 2014,Auckland,R16,16.0,cluster_4
80.0,43.0,Novak Djokovic,false,$6.134,Novak Djokovic,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,17.0,cluster_3
67.0,19.0,Michal Przysiezny,false,$1.351,John Isner,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,18.0,cluster_0
75.0,30.0,Jeremy Chardy,false,$1.429,Jeremy Chardy,Oct 21 2013,Valencia,R16,19.0,cluster_3
63.0,29.0,Ernests Gulbis,false,$2.364,John Isner,Oct 21 2013,Valencia,R32,20.0,cluster_4
90.0,27.0,Carlos Berlocq,false,$1.287,Carlos Berlocq,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,21.0,cluster_3
66.0,21.0,Santiago Giraldo,false,$1.384,John Isner,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,22.0,cluster_0
59.0,47.0,Tomas Berdych,false,$2.980,Tomas Berdych,Sep 30 2013,Beijing,Q,23.0,cluster_1
62.0,20.0,Roberto Bautista Agut,false,$1.521,John Isner,Sep 30 2013,Beijing,R16,24.0,cluster_0
69.0,21.0,Di Wu,false,$1.169,John Isner,Sep 30 2013,Beijing,R32,25.0,cluster_0
72.0,26.0,Philipp Kohlschreiber,false,$1.353,Philipp Kohlschreiber,Aug 26 2013,US Open Slam,Round of 32,26.0,cluster_4
69.0,28.0,Gael Monfils,false,$1.424,John Isner,Aug 26 2013,US Open Slam,Round of 64,27.0,cluster_4
45.0,24.0,Filippo Volandri,false,$1.030,John Isner,Aug 26 2013,US Open Slam,Round of 128,28.0,cluster_2
80.0,27.0,Rafael Nadal,false,$4.835,Rafael Nadal,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,F,29.0,cluster_3
66.0,32.0,Juan Martin Del Potro,false,$2.962,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,S,30.0,cluster_4
67.0,24.0,Novak Djokovic,false,$7.668,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,Q,31.0,cluster_4
65.0,25.0,Milos Raonic,false,$1.724,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R16,32.0,cluster_4
67.0,25.0,Richard Gasquet,false,$2.057,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R32,33.0,cluster_4
59.0,19.0,Florian Mayer,false,$1.484,John Isner,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R64,34.0,cluster_0
67.0,26.0,Vasek Pospisil,false,$1.558,Vasek Pospisil,Aug 18 2013,ATP World Tour Masters 1000 Canada,R64,35.0,cluster_4
72.0,41.0,Juan Martin Del Potro,false,$3.974,Juan Martin Del Potro,Aug 5 2013,Washington,F,36.0,cluster_1
65.0,19.0,Dmitry Tursunov,false,$1.276,John Isner,Jul 29 2013,Washington,S,37.0,cluster_0
66.0,15.0,Marcos Baghdatis,false,$1.472,John Isner,Jul 29 2013,Washington,Q,38.0,cluster_0
64.0,15.0,Somdev Devvarman,false,$1.283,John Isner,Jul 29 2013,Washington,R16,39.0,cluster_0
69.0,30.0,Alex Kuznetsov,false,$1.216,John Isner,Jul 29 2013,Washington,R32,40.0,cluster_4
75.0,28.0,Kevin Anderson,false,$1.995,John Isner,Jul 22 2013,Atlanta,F,41.0,cluster_3
67.0,29.0,Lleyton Hewitt,false,$1.816,John Isner,Jul 22 2013,Atlanta,S,42.0,cluster_4
70.0,24.0,James Blake,false,$1.401,John Isner,Jul 22 2013,Atlanta,Q,43.0,cluster_4
73.0,25.0,Christian Harrison,false,$1.105,John Isner,Jul 22 2013,Atlanta,R16,44.0,cluster_4
67.0,43.0,Lleyton Hewitt,false,$1.786,Lleyton Hewitt,Jul 8 2013,Newport,S,45.0,cluster_1
72.0,22.0,Ivo Karlovic,false,$1.276,John Isner,Jul 8 2013,Newport,Q,46.0,cluster_4
60.0,12.0,Adrian Mannarino,false,$1.283,John Isner,Jul 8 2013,Newport,R16,47.0,cluster_0
57.0,17.0,Ryan Harrison,false,$1.535,John Isner,Jul 8 2013,Newport,R32,48.0,cluster_0
65.0,22.0,Evgeny Donskoy,false,$1.300,John Isner,Jun 24 2013,Wimbledon Slam,Round of 128,49.0,cluster_0
77.0,27.0,Evgeny Donskoy,false,$1.182,Evgeny Donskoy,Jun 16 2013,s-Hertogenbosch,R32,50.0,cluster_3
73.0,32.0,Tommy Haas,false,$3.467,Tommy Haas,May 27 2013,French Open Slam,Round of 32,51.0,cluster_3
65.0,25.0,Ryan Harrison,false,$1.351,John Isner,May 27 2013,French Open Slam,Round of 64,52.0,cluster_4
60.0,31.0,Carlos Berlocq,false,$2.422,John Isner,May 27 2013,French Open Slam,Round of 128,53.0,cluster_4
60.0,37.0,Robin Haase,false,$1.827,Robin Haase,May 19 2013,Nice,R16,54.0,cluster_1
69.0,25.0,Denis Istomin,false,$1.484,Denis Istomin,May 12 2013,ATP World Tour Masters 1000 Rome,R64,55.0,cluster_4
75.0,34.0,Pablo Andujar,false,$1.576,Pablo Andujar,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,56.0,cluster_3
71.0,16.0,Guillermo Garcia-Lopez,false,$1.706,John Isner,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,57.0,cluster_0
72.0,46.0,Ernests Gulbis,false,$3.026,Ernests Gulbis,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,58.0,cluster_1
62.0,31.0,Nicolas Almagro,false,$4.247,John Isner,Apr 8 2013,Houston,F,59.0,cluster_4
64.0,38.0,Juan Monaco,false,$2.681,John Isner,Apr 8 2013,Houston,S,60.0,cluster_1
74.0,22.0,Ricardas Berankis,false,$1.503,John Isner,Apr 8 2013,Houston,Q,61.0,cluster_4
70.0,28.0,Jack Sock,false,$1.296,John Isner,Apr 8 2013,Houston,R16,62.0,cluster_4
62.0,28.0,Ryan Harrison,false,$1.402,John Isner,Apr 8 2013,Houston,R32,63.0,cluster_4
77.0,38.0,Marin Cilic,false,$2.557,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,64.0,cluster_3
66.0,29.0,Ivan Dodig,false,$1.571,John Isner,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,65.0,cluster_4
69.0,33.0,Lleyton Hewitt,false,$1.479,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,66.0,cluster_4
66.0,41.0,Edouard Roger-Vasselin,false,$1.237,Edouard Roger-Vasselin,Feb 25 2013,Delray Beach,S,67.0,cluster_1
60.0,23.0,Kevin Anderson,false,$1.985,John Isner,Feb 25 2013,Delray Beach,Q,68.0,cluster_0
63.0,14.0,Go Soeda,false,$1.294,John Isner,Feb 25 2013,Delray Beach,R16,69.0,cluster_0
68.0,33.0,Jesse Levine,false,$1.447,John Isner,Feb 25 2013,Delray Beach,R32,70.0,cluster_4
86.0,39.0,Denis Istomin,false,$1.570,Denis Istomin,Feb 18 2013,Memphis,R32,71.0,cluster_3
80.0,35.0,Tommy Haas,false,$2.207,Tommy Haas,Feb 11 2013,San Jose,S,72.0,cluster_3
70.0,22.0,Xavier Malisse,false,$1.426,John Isner,Feb 11 2013,San Jose,Q,73.0,cluster_4
69.0,27.0,Vasek Pospisil,false,$1.367,John Isner,Feb 11 2013,San Jose,R16,74.0,cluster_4
74.0,34.0,Ryan Harrison,false,$1.720,Ryan Harrison,Jan 14 2013,Sydney,R16,75.0,cluster_3
77.0,33.0,Michael Llodra,false,$1.634,Michael Llodra,Dec 31 2012,ATP World Tour Masters 1000 Paris,R32,76.0,cluster_3
70.0,31.0,David Goffin,false,$1.369,David Goffin,Oct 29 2012,Valencia,R16,77.0,cluster_4
61.0,24.0,Fabio Fognini,false,$1.199,John Isner,Oct 21 2012,Valencia,R32,78.0,cluster_0
75.0,33.0,Radek Stepanek,false,$1.611,Radek Stepanek,Oct 21 2012,ATP World Tour Masters 1000 Shanghai,R16,79.0,cluster_3
76.0,20.0,Kevin Anderson,false,$1.577,John Isner,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,80.0,cluster_4
