p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
61.0,20.0,Richard Gasquet,false,$2.096,Gael Monfils,Feb 10 2014,Montpellier,F,1.0,cluster_0
57.0,28.0,Jarkko Nieminen,false,$1.213,Gael Monfils,Feb 3 2014,Montpellier,S,2.0,cluster_0
59.0,30.0,Denis Istomin,false,$1.409,Gael Monfils,Feb 3 2014,Montpellier,Q,3.0,cluster_0
54.0,28.0,Joao Sousa,false,$1.196,Gael Monfils,Feb 3 2014,Montpellier,R16,4.0,cluster_0
65.0,29.0,Lukasz Kubot,false,$1.133,Gael Monfils,Feb 3 2014,Montpellier,R32,5.0,cluster_0
73.0,50.0,Rafael Nadal,false,$7.098,Rafael Nadal,Jan 31 2014,Australian Open Slam,Round of 32,6.0,cluster_3
60.0,23.0,Jack Sock,false,$1.126,Gael Monfils,Jan 13 2014,Australian Open Slam,Round of 64,7.0,cluster_0
63.0,22.0,Ryan Harrison,false,$1.147,Gael Monfils,Jan 13 2014,Australian Open Slam,Round of 128,8.0,cluster_0
75.0,39.0,Rafael Nadal,false,$3.245,Rafael Nadal,Jan 13 2014,Doha,F,9.0,cluster_2
50.0,32.0,Florian Mayer,false,$1.325,Gael Monfils,Jan 6 2014,Doha,S,10.0,cluster_4
45.0,23.0,Daniel Brands,false,$1.543,Gael Monfils,Jan 6 2014,Doha,Q,11.0,cluster_4
57.0,24.0,Richard Gasquet,false,$1.636,Gael Monfils,Jan 6 2014,Doha,R16,12.0,cluster_0
58.0,20.0,Santiago Giraldo,false,$1.390,Gael Monfils,Jan 6 2014,Doha,R32,13.0,cluster_0
74.0,51.0,David Ferrer,false,$2.717,David Ferrer,Jan 6 2014,Valencia,R32,14.0,cluster_3
69.0,40.0,Novak Djokovic,false,$9.817,Novak Djokovic,Oct 28 2013,ATP World Tour Masters 1000 Shanghai,Q,15.0,cluster_2
65.0,29.0,Roger Federer,false,$3.814,Gael Monfils,Oct 28 2013,ATP World Tour Masters 1000 Shanghai,R16,16.0,cluster_0
64.0,30.0,Vasek Pospisil,false,$1.506,Gael Monfils,Oct 14 2013,ATP World Tour Masters 1000 Shanghai,R32,17.0,cluster_0
57.0,25.0,Tatsuma Ito,false,$1.192,Gael Monfils,Oct 14 2013,ATP World Tour Masters 1000 Shanghai,R64,18.0,cluster_0
69.0,36.0,Jo-Wilfried Tsonga,false,$2.712,Jo-Wilfried Tsonga,Oct 14 2013,Tokyo,R32,19.0,cluster_2
72.0,31.0,John Isner,false,$3.178,John Isner,Oct 14 2013,US Open Slam,Round of 64,20.0,cluster_2
37.0,24.0,Adrian Ungur,false,$1.171,Gael Monfils,Oct 14 2013,US Open Slam,Round of 128,21.0,cluster_4
71.0,42.0,Jurgen Melzer,false,$1.462,Jurgen Melzer,Sep 30 2013,Winston-Salem,F,22.0,cluster_2
