p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
61.0,23.0,Stephane Robert,$1.388,Kevin Anderson,May 21 2014,French Open Slam,Round of 128,Kevin Anderson,false,1.0,cluster_2
72.0,26.0,Jo-Wilfried Tsonga,$3.323,Jo-Wilfried Tsonga,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Kevin Anderson,false,2.0,cluster_3
72.0,21.0,Vasek Pospisil,$1.209,Kevin Anderson,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Kevin Anderson,false,3.0,cluster_3
80.0,46.0,Tomas Berdych,$5.459,Tomas Berdych,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Kevin Anderson,false,4.0,cluster_4
66.0,32.0,Radek Stepanek,$1.681,Kevin Anderson,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Kevin Anderson,false,5.0,cluster_1
80.0,35.0,Gael Monfils,$2.760,Gael Monfils,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Kevin Anderson,false,6.0,cluster_4
67.0,32.0,Victor Hanescu,$1.351,Victor Hanescu,Apr 7 2014,Casablanca,R16,Kevin Anderson,false,7.0,cluster_1
64.0,21.0,Michal Przysiezny,$1.149,Kevin Anderson,Jun 24 2013,Wimbledon Slam,Round of 64,Kevin Anderson,false,8.0,cluster_2
69.0,38.0,Richard Gasquet,$2.087,Richard Gasquet,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Kevin Anderson,false,9.0,cluster_1
60.0,13.0,Horacio Zeballos,$1.135,Kevin Anderson,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Kevin Anderson,false,10.0,cluster_2
73.0,47.0,Julien Benneteau,$1.634,Julien Benneteau,Jun 17 2013,Eastbourne,R32,Kevin Anderson,false,11.0,cluster_4
73.0,52.0,David Ferrer,$6.153,David Ferrer,Jun 10 2013,French Open Slam,Round of 16,Kevin Anderson,false,12.0,cluster_4
82.0,44.0,Roger Federer,$5.209,Roger Federer,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,Q,Kevin Anderson,false,13.0,cluster_4
57.0,39.0,Stan Wawrinka,$4.426,Kevin Anderson,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,Kevin Anderson,false,14.0,cluster_0
54.0,36.0,Evgeny Donskoy,$1.226,Kevin Anderson,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Kevin Anderson,false,15.0,cluster_0
60.0,25.0,Milos Raonic,$2.337,Kevin Anderson,Jun 10 2013,French Open Slam,Round of 32,Kevin Anderson,false,16.0,cluster_2
61.0,28.0,Evgeny Donskoy,$1.107,Kevin Anderson,Jun 10 2013,French Open Slam,Round of 64,Kevin Anderson,false,17.0,cluster_2
66.0,30.0,Lleyton Hewitt,$1.376,Kevin Anderson,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Kevin Anderson,false,18.0,cluster_1
56.0,28.0,Illya Marchenko,$1.061,Kevin Anderson,Jun 10 2013,French Open Slam,Round of 128,Kevin Anderson,false,19.0,cluster_2
69.0,41.0,Tomas Berdych,$3.814,Tomas Berdych,Jun 10 2013,ATP World Tour Masters 1000 Rome,R16,Kevin Anderson,false,20.0,cluster_4
69.0,34.0,Grigor Dimitrov,$2.915,Grigor Dimitrov,Feb 24 2014,Acapulco,F,Kevin Anderson,false,21.0,cluster_1
63.0,22.0,Alexandr Dolgopolov,$2.752,Kevin Anderson,Feb 24 2014,Acapulco,S,Kevin Anderson,false,22.0,cluster_2
63.0,29.0,Marin Cilic,$2.757,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Kevin Anderson,false,23.0,cluster_1
59.0,42.0,David Ferrer,$3.555,Kevin Anderson,Feb 24 2014,Acapulco,Q,Kevin Anderson,false,24.0,cluster_0
64.0,16.0,Sam Querrey,$1.527,Kevin Anderson,Feb 24 2014,Acapulco,R16,Kevin Anderson,false,25.0,cluster_2
63.0,39.0,Tomas Berdych,$3.510,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Madrid,R16,Kevin Anderson,false,26.0,cluster_0
60.0,36.0,Juan Monaco,$2.760,Kevin Anderson,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Kevin Anderson,false,27.0,cluster_0
68.0,22.0,Stephane Robert,$1.313,Kevin Anderson,Feb 24 2014,Acapulco,R32,Kevin Anderson,false,28.0,cluster_3
65.0,38.0,Marin Cilic,$3.571,Marin Cilic,Feb 17 2014,Delray Beach,F,Kevin Anderson,false,29.0,cluster_1
60.0,28.0,Steve Johnson,$1.621,Kevin Anderson,Feb 17 2014,Delray Beach,S,Kevin Anderson,false,30.0,cluster_2
59.0,27.0,Marinko Matosevic,$1.521,Kevin Anderson,Feb 17 2014,Delray Beach,Q,Kevin Anderson,false,31.0,cluster_2
72.0,48.0,Marin Cilic,$3.487,Marin Cilic,May 5 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Kevin Anderson,false,32.0,cluster_4
64.0,32.0,Jerzy Janowicz,$1.752,Kevin Anderson,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Kevin Anderson,false,33.0,cluster_1
68.0,32.0,Tommy Robredo,$1.761,Tommy Robredo,Apr 15 2013,Casablanca,F,Kevin Anderson,false,34.0,cluster_1
58.0,29.0,Tim Smyczek,$1.372,Kevin Anderson,Feb 17 2014,Delray Beach,R32,Kevin Anderson,false,35.0,cluster_2
56.0,36.0,Martin Klizan,$1.743,Kevin Anderson,Apr 8 2013,Casablanca,S,Kevin Anderson,false,36.0,cluster_0
76.0,44.0,Tomas Berdych,$6.753,Tomas Berdych,Jan 13 2014,Australian Open Slam,Round of 16,Kevin Anderson,false,37.0,cluster_4
62.0,35.0,Grega Zemlja,$1.276,Kevin Anderson,Apr 8 2013,Casablanca,Q,Kevin Anderson,false,38.0,cluster_0
52.0,23.0,Pablo Carreno Busta,$1.544,Kevin Anderson,Apr 8 2013,Casablanca,R16,Kevin Anderson,false,39.0,cluster_2
65.0,32.0,Edouard Roger-Vasselin,$1.564,Kevin Anderson,Jan 13 2014,Australian Open Slam,Round of 32,Kevin Anderson,false,40.0,cluster_1
66.0,24.0,Dominic Thiem,$1.452,Kevin Anderson,Jan 13 2014,Australian Open Slam,Round of 64,Kevin Anderson,false,41.0,cluster_3
69.0,29.0,Jiri Vesely,$1.340,Kevin Anderson,Jan 13 2014,Australian Open Slam,Round of 128,Kevin Anderson,false,42.0,cluster_3
63.0,42.0,Janko Tipsarevic,$1.883,Janko Tipsarevic,Apr 8 2013,ATP World Tour Masters 1000 Miami,R32,Kevin Anderson,false,43.0,cluster_0
70.0,29.0,Steve Johnson,$1.384,Steve Johnson,Jan 6 2014,Auckland,R16,Kevin Anderson,false,44.0,cluster_3
67.0,41.0,Roger Federer,$5.989,Roger Federer,Dec 30 2013,ATP World Tour Masters 1000 Paris,R32,Kevin Anderson,false,45.0,cluster_1
59.0,19.0,Horacio Zeballos,$1.201,Kevin Anderson,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Kevin Anderson,false,46.0,cluster_2
69.0,37.0,Tomas Berdych,$4.915,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Kevin Anderson,false,47.0,cluster_1
59.0,32.0,Mikhail Youzhny,$2.727,Kevin Anderson,Dec 30 2013,ATP World Tour Masters 1000 Paris,R64,Kevin Anderson,false,48.0,cluster_0
65.0,32.0,Roberto Bautista Agut,$1.759,Roberto Bautista Agut,Dec 30 2013,Valencia,R32,Kevin Anderson,false,49.0,cluster_1
