p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
62.0,40.0,Lleyton Hewitt,$1.431,Lleyton Hewitt,Jun 10 2013,London / Queen's Club,Q,Juan Martin Del Potro,false,1.0,cluster_1
48.0,29.0,Daniel Evans,$1.107,Juan Martin Del Potro,Jun 10 2013,London / Queen's Club,R16,Juan Martin Del Potro,false,2.0,cluster_0
67.0,38.0,Xavier Malisse,$1.329,Juan Martin Del Potro,Jun 10 2013,London / Queen's Club,R32,Juan Martin Del Potro,false,3.0,cluster_4
76.0,37.0,Benoit Paire,$1.180,Benoit Paire,May 21 2013,ATP World Tour Masters 1000 Rome,R16,Juan Martin Del Potro,false,4.0,cluster_4
54.0,24.0,Andrey Kuznetsov,$1.190,Juan Martin Del Potro,May 21 2013,ATP World Tour Masters 1000 Rome,R32,Juan Martin Del Potro,false,5.0,cluster_2
59.0,45.0,Jarkko Nieminen,$1.177,Jarkko Nieminen,May 21 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Juan Martin Del Potro,false,6.0,cluster_1
53.0,46.0,Alexandr Dolgopolov,$1.205,Juan Martin Del Potro,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Juan Martin Del Potro,false,7.0,cluster_1
62.0,40.0,Tobias Kamke,$1.046,Tobias Kamke,Apr 15 2013,ATP World Tour Masters 1000 Miami,R64,Juan Martin Del Potro,false,8.0,cluster_1
65.0,33.0,Somdev Devvarman,$1.073,Somdev Devvarman,Feb 24 2014,Dubai,R32,Juan Martin Del Potro,false,9.0,cluster_3
77.0,40.0,Ernests Gulbis,$1.376,Ernests Gulbis,Feb 10 2014,Rotterdam,Q,Juan Martin Del Potro,false,10.0,cluster_4
69.0,41.0,Rafael Nadal,$2.834,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,F,Juan Martin Del Potro,false,11.0,cluster_4
58.0,41.0,Novak Djokovic,$5.821,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,S,Juan Martin Del Potro,false,12.0,cluster_1
63.0,18.0,Paul-Henri Mathieu,$1.078,Juan Martin Del Potro,Feb 10 2014,Rotterdam,R16,Juan Martin Del Potro,false,13.0,cluster_2
63.0,33.0,Gael Monfils,$1.584,Juan Martin Del Potro,Feb 10 2014,Rotterdam,R32,Juan Martin Del Potro,false,14.0,cluster_3
59.0,32.0,Andy Murray,$2.710,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,Q,Juan Martin Del Potro,false,15.0,cluster_3
43.0,27.0,Tommy Haas,$1.272,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Juan Martin Del Potro,false,16.0,cluster_0
52.0,29.0,Bjorn Phau,$1.033,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Juan Martin Del Potro,false,17.0,cluster_0
53.0,31.0,Nikolay Davydenko,$1.305,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Juan Martin Del Potro,false,18.0,cluster_0
