p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
53.0,29.0,Igor Sijsling,$1.030,David Ferrer,May 21 2014,French Open Slam,Round of 128,David Ferrer,false,1.0,cluster_0
62.0,40.0,Novak Djokovic,$3.486,Novak Djokovic,May 12 2014,ATP World Tour Masters 1000 Rome,Q,David Ferrer,false,2.0,cluster_1
46.0,31.0,Ernests Gulbis,$1.387,David Ferrer,May 12 2014,ATP World Tour Masters 1000 Rome,R16,David Ferrer,false,3.0,cluster_0
62.0,32.0,Kei Nishikori,$1.605,Kei Nishikori,May 5 2014,ATP World Tour Masters 1000 Madrid,S,David Ferrer,false,4.0,cluster_2
63.0,30.0,Ernests Gulbis,$1.428,David Ferrer,May 5 2014,ATP World Tour Masters 1000 Madrid,Q,David Ferrer,false,5.0,cluster_2
60.0,19.0,John Isner,$1.319,David Ferrer,May 5 2014,ATP World Tour Masters 1000 Madrid,R16,David Ferrer,false,6.0,cluster_2
56.0,39.0,Albert Ramos,$1.124,David Ferrer,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,David Ferrer,false,7.0,cluster_3
57.0,22.0,Nicolas Almagro,$1.366,David Ferrer,Oct 21 2013,Valencia,S,David Ferrer,false,8.0,cluster_2
62.0,20.0,Jerzy Janowicz,$1.287,David Ferrer,Oct 21 2013,Valencia,Q,David Ferrer,false,9.0,cluster_2
63.0,50.0,Teymuraz Gabashvili,$1.046,Teymuraz Gabashvili,Apr 21 2014,Barcelona,R32,David Ferrer,false,10.0,cluster_1
71.0,38.0,Stan Wawrinka,$1.692,Stan Wawrinka,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,S,David Ferrer,false,11.0,cluster_1
49.0,28.0,Julien Benneteau,$1.321,David Ferrer,Oct 21 2013,Valencia,R16,David Ferrer,false,12.0,cluster_0
48.0,25.0,Gael Monfils,$1.541,David Ferrer,Oct 21 2013,Valencia,R32,David Ferrer,false,13.0,cluster_0
59.0,39.0,Grigor Dimitrov,$1.629,Grigor Dimitrov,Oct 14 2013,Stockholm,F,David Ferrer,false,14.0,cluster_3
