p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
67.0,38.0,Thiemo de Bakker,false,$1.377,Thiemo de Bakker,Apr 13 2014,ATP World Tour Masters 1000 Miami,R64,1.0,cluster_3
73.0,29.0,John Isner,false,$2.480,John Isner,Mar 17 2014,ATP World Tour Masters 1000 Indian Wells,R16,2.0,cluster_3
58.0,31.0,Richard Gasquet,false,$3.156,Fernando Verdasco,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,3.0,cluster_0
52.0,38.0,Horacio Zeballos,false,$1.218,Fernando Verdasco,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,4.0,cluster_2
68.0,37.0,Tommy Haas,false,$2.095,Tommy Haas,Mar 3 2014,Rotterdam,R32,5.0,cluster_3
62.0,36.0,Teymuraz Gabashvili,false,$1.152,Teymuraz Gabashvili,Feb 10 2014,Australian Open Slam,Round of 64,6.0,cluster_1
62.0,28.0,Ze Zhang,false,$1.112,Fernando Verdasco,Jan 13 2014,Australian Open Slam,Round of 128,7.0,cluster_0
70.0,31.0,Victor Hanescu,false,$1.245,Victor Hanescu,Jan 7 2014,Doha,R16,8.0,cluster_3
50.0,31.0,Filippo Volandri,false,$1.104,Fernando Verdasco,Dec 30 2013,Doha,R32,9.0,cluster_2
69.0,41.0,Richard Gasquet,false,$3.654,Richard Gasquet,Dec 30 2013,ATP World Tour Masters 1000 Paris,R32,10.0,cluster_3
60.0,29.0,Ernests Gulbis,false,$2.690,Fernando Verdasco,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,11.0,cluster_0
77.0,32.0,Michal Przysiezny,false,$1.273,Michal Przysiezny,Oct 28 2013,Valencia,R32,12.0,cluster_3
56.0,40.0,Jarkko Nieminen,false,$1.651,Fernando Verdasco,Oct 14 2013,Stockholm,R16,13.0,cluster_1
64.0,29.0,Ivan Dodig,false,$2.407,Fernando Verdasco,Oct 14 2013,Stockholm,R32,14.0,cluster_0
72.0,27.0,Milos Raonic,false,$2.985,Milos Raonic,Oct 14 2013,ATP World Tour Masters 1000 Shanghai,R32,15.0,cluster_3
56.0,18.0,Ze Zhang,false,$1.228,Fernando Verdasco,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,16.0,cluster_0
67.0,39.0,Novak Djokovic,false,$14.612,Novak Djokovic,Oct 6 2013,Beijing,R16,17.0,cluster_3
59.0,28.0,Somdev Devvarman,false,$1.409,Fernando Verdasco,Sep 30 2013,Beijing,R32,18.0,cluster_0
71.0,36.0,Sergiy Stakhovsky,false,$1.469,Sergiy Stakhovsky,Sep 30 2013,St. Petersburg,R32,19.0,cluster_3
