p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
68,42,David Ferrer,$2.915,David Ferrer,Jun 24 2013,Wimbledon Slam,Round of 32,Alexandr Dolgopolov
68,38,Benjamin Becker,$1.780,Benjamin Becker,Jun 10 2013,London / Queen's Club,R16,Alexandr Dolgopolov
59,46,Florian Mayer,$2.279,Florian Mayer,Jul 15 2013,Hamburg,R32,Alexandr Dolgopolov
72,40,Fernando Verdasco,$1.182,Fernando Verdasco,Jun 17 2013,Eastbourne,R32,Alexandr Dolgopolov
59,45,Marcel Granollers,$1.316,Marcel Granollers,May 21 2014,French Open Slam,Round of 64,Alexandr Dolgopolov
75,59,Aljaz Bedene,$1.598,Aljaz Bedene,Jul 22 2013,Umag,R16,Alexandr Dolgopolov
54,35,Daniel Gimeno-Traver,$1.466,Alexandr Dolgopolov,Aug 18 2013,Winston-Salem,R32,Alexandr Dolgopolov
61,28,Yen-Hsun Lu,$1.633,Alexandr Dolgopolov,Aug 18 2013,Winston-Salem,Q,Alexandr Dolgopolov
55,39,Juan Monaco,$2.129,Alexandr Dolgopolov,Aug 18 2013,Winston-Salem,R16,Alexandr Dolgopolov
66,42,Fernando Verdasco,$2.400,Fernando Verdasco,Sep 13 2013,Davis Cup,Singles,Alexandr Dolgopolov
61,43,Gael Monfils,$2.519,Gael Monfils,Aug 18 2013,Winston-Salem,S,Alexandr Dolgopolov
61,22,Janko Tipsarevic,$1.806,Alexandr Dolgopolov,Sep 30 2013,Tokyo,R16,Alexandr Dolgopolov
48,27,Daniel Brands,$1.545,Alexandr Dolgopolov,Sep 30 2013,Tokyo,R32,Alexandr Dolgopolov
62,43,Juan Martin Del Potro,$4.879,Juan Martin Del Potro,Sep 30 2013,Tokyo,Q,Alexandr Dolgopolov
68,20,Kenny De Schepper,$1.344,Alexandr Dolgopolov,Oct 21 2013,Basel,R32,Alexandr Dolgopolov
51,23,Michael Russell,$1.272,Alexandr Dolgopolov,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,Alexandr Dolgopolov
77,39,Rafael Nadal,$8.289,Rafael Nadal,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Alexandr Dolgopolov
57,29,Richard Berankis,$1.466,Alexandr Dolgopolov,Jan 13 2014,Australian Open Slam,Round of 128,Alexandr Dolgopolov
58,21,Santiago Giraldo,$1.454,Alexandr Dolgopolov,Jun 24 2013,Wimbledon Slam,Round of 64,Alexandr Dolgopolov
68,39,Gael Monfils,$1.632,Gael Monfils,Jan 14 2013,Australian Open Slam,Round of 128,Alexandr Dolgopolov
80,45,Grigor Dimitrov,$3.046,Grigor Dimitrov,Oct 21 2013,Basel,R16,Alexandr Dolgopolov
74,44,Nicolas Mahut,$2.004,Nicolas Mahut,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,Alexandr Dolgopolov
66,42,Mikhail Kukushkin,$1.619,Mikhail Kukushkin,Oct 14 2013,Moscow,R16,Alexandr Dolgopolov
65,47,Mikhail Youzhny,$2.442,Mikhail Youzhny,Aug 26 2013,US Open Slam,Round of 64,Alexandr Dolgopolov
52,36,David Goffin,$1.571,Alexandr Dolgopolov,Aug 26 2013,US Open Slam,Round of 128,Alexandr Dolgopolov
64,38,Dmitry Tursunov,$1.218,Dmitry Tursunov,May 27 2013,French Open Slam,Round of 128,Alexandr Dolgopolov
59,46,David Ferrer,$5.059,David Ferrer,Dec 30 2013,Doha,R32,Alexandr Dolgopolov
65,37,Jeremy Chardy,$1.741,Jeremy Chardy,Jan 13 2014,Australian Open Slam,Round of 64,Alexandr Dolgopolov
56,23,Gastao Elias,$1.084,Alexandr Dolgopolov,Jun 24 2013,Wimbledon Slam,Round of 128,Alexandr Dolgopolov
50,17,Jerzy Janowicz,$1.764,Alexandr Dolgopolov,Jan 6 2014,Sydney,R16,Alexandr Dolgopolov
57,13,Edouard Roger-Vasselin,$1.529,Alexandr Dolgopolov,Jan 6 2014,Sydney,R32,Alexandr Dolgopolov
50,23,Guillermo Garcia-Lopez,$1.411,Alexandr Dolgopolov,Oct 1 2012,Beijing,R32,Alexandr Dolgopolov
61,40,Alejandro Falla,$1.308,Alejandro Falla,Sep 24 2012,Kuala Lumpur,R16,Alexandr Dolgopolov
55,30,Albert Ramos,$1.399,Alexandr Dolgopolov,May 21 2014,French Open Slam,Round of 128,Alexandr Dolgopolov
67,28,Daniel Gimeno-Traver,$1.570,Daniel Gimeno-Traver,Feb 3 2014,Vina del Mar,R32,Alexandr Dolgopolov
66,44,Bernard Tomic,$1.883,Bernard Tomic,Jan 6 2014,Sydney,Q,Alexandr Dolgopolov
40,35,Fabio Fognini,$2.662,Alexandr Dolgopolov,Feb 17 2014,Rio de Janeiro,Q,Alexandr Dolgopolov
65,33,Pablo Cuevas,$1.401,Alexandr Dolgopolov,Feb 10 2014,Buenos Aires,R32,Alexandr Dolgopolov
