date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Oct 6 2013,$1.182,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F324,Andreas Seppi,ATP World Tour Masters 1000 Shanghai,Roger Federer,Andreas Seppi,Roger Federer,R32,74,7,59,75,51,38,51,60,,,,,,,65,41,0,61,61,52,25,,20,,,,,,,58,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=F324
Aug 26 2013,$1.052,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634407,Tommy Robredo,US Open Slam,Roger Federer,Tommy Robredo,Tommy Robredo,Round of 16,144,5,60,73,47,31,47,13,45,43,32,52,178,143,63,38,6,70,69,46,27,53,57,31,26,11,17,170,143,62,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634407
Aug 26 2013,$1.021,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634313,Adrian Mannarino,US Open Slam,Roger Federer,Adrian Mannarino,Roger Federer,Round of 32,81,8,57,92,50,45,50,43,34,20,19,24,178,154,74,52,1,65,55,35,8,,0,8,14,9,18,183,146,48,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634313
Aug 26 2013,$1.030,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634225,Carlos Berlocq,US Open Slam,Roger Federer,Carlos Berlocq,Roger Federer,Round of 64,95,6,52,75,67,49,67,54,37,25,28,40,181,152,71,54,1,84,51,15,25,,33,17,17,7,17,164,138,46,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634225
May 21 2014,$1.016,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934148,Lukas Lacko,French Open Slam,Roger Federer,Lukas Lacko,Roger Federer,Round of 128,84,7,72,89,76,44,76,45,40,19,16,20,179,157,85,45,3,63,56,53,11,,0,13,21,7,14,182,149,55,15,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934148
May 12 2014,$1.128,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=CA12,Jeremy Chardy,ATP World Tour Masters 1000 Rome,Roger Federer,Jeremy Chardy,Jeremy Chardy,R32,127,9,68,68,50,19,50,42,,,,,,,62,34,2,56,80,45,31,,18,,,,,,,65,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=CA12
Aug 26 2013,$1.025,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634149,Grega Zemlja,US Open Slam,Roger Federer,Grega Zemlja,Roger Federer,Round of 128,93,12,60,85,66,33,66,45,35,16,20,21,181,148,78,47,9,49,67,40,15,,33,23,33,5,13,191,151,53,23,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634149
Aug 12 2013,$3.874,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=5&p=N409,Rafael Nadal,ATP World Tour Masters 1000 Cincinnati,Roger Federer,Rafael Nadal,Rafael Nadal,Q,134,4,63,67,62,26,62,50,,,,,,,65,29,3,73,73,60,32,,22,,,,,,,70,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=5&p=N409
Aug 12 2013,$1.423,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=F324,Tommy Haas,ATP World Tour Masters 1000 Cincinnati,Roger Federer,Tommy Haas,Roger Federer,R16,113,10,66,71,41,32,41,25,,,,,,,61,38,10,65,67,50,28,,33,,,,,,,61,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=F324
May 5 2014,$1.687,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=7&p=W367,Stan Wawrinka,ATP World Tour Masters 1000 Monte Carlo,Roger Federer,Stan Wawrinka,Stan Wawrinka,F,134,3,66,73,44,20,44,66,,,,,,,64,30,5,58,79,56,26,,42,,,,,,,69,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=7&p=W367
