p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
54,50,Gael Monfils,$1.939,Gael Monfils,May 21 2014,French Open Slam,Round of 32,Fabio Fognini
51,36,Andreas Beck,$1.138,Fabio Fognini,May 21 2014,French Open Slam,Round of 128,Fabio Fognini
71,43,Alexandr Dolgopolov,$2.752,Alexandr Dolgopolov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,Fabio Fognini
56,41,Joao Sousa,$1.158,Fabio Fognini,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Fabio Fognini
74,43,Lukas Rosol,$1.200,Lukas Rosol,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Fabio Fognini
58,34,Roberto Bautista Agut,$2.270,Fabio Fognini,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Fabio Fognini
64,21,Lukas Lacko,$1.424,Fabio Fognini,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Fabio Fognini
38,39,Lleyton Hewitt,$2.880,Fabio Fognini,Sep 30 2013,Beijing,R16,Fabio Fognini
91,45,Rafael Nadal,$13.446,Rafael Nadal,Mar 17 2014,ATP World Tour Masters 1000 Miami,R16,Fabio Fognini
83,51,Novak Djokovic,$15.802,Novak Djokovic,Jan 13 2014,Australian Open Slam,Round of 16,Fabio Fognini
61,37,Jarkko Nieminen,$1.868,Fabio Fognini,Jan 13 2014,Australian Open Slam,Round of 64,Fabio Fognini
62,32,Thomaz Bellucci,$1.228,Fabio Fognini,May 21 2014,French Open Slam,Round of 64,Fabio Fognini
70,54,Rajeev Ram,$1.178,Rajeev Ram,Aug 26 2013,US Open Slam,Round of 128,Fabio Fognini
56,28,Andy Murray,$3.212,Fabio Fognini,Apr 4 2014,Davis Cup,Reverse Singles,Fabio Fognini
46,40,Alex Bogomolov Jr.,$1.759,Fabio Fognini,Jan 13 2014,Australian Open Slam,Round of 128,Fabio Fognini
53,39,Aljaz Bedene,$1.876,Fabio Fognini,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R128,Fabio Fognini
62,35,Aljaz Bedene,$1.700,Fabio Fognini,Feb 25 2013,Acapulco,R16,Fabio Fognini
57,36,Santiago Giraldo,$1.687,Fabio Fognini,Feb 25 2013,Acapulco,Q,Fabio Fognini
63,43,David Ferrer,$14.400,David Ferrer,Mar 6 2013,Acapulco,S,Fabio Fognini
55,33,Stan Wawrinka,$4.960,Fabio Fognini,Feb 25 2013,Acapulco,R32,Fabio Fognini
67,49,Novak Djokovic,$35.456,Novak Djokovic,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,R64,Fabio Fognini
52,29,Michael Llodra,$2.369,Fabio Fognini,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Fabio Fognini
71,47,David Ferrer,$7.247,David Ferrer,Apr 5 2013,ATP World Tour Masters 1000 Miami,R32,Fabio Fognini
60,26,Sam Querrey,$2.755,Fabio Fognini,Jan 13 2014,Australian Open Slam,Round of 32,Fabio Fognini
53,39,James Ward,$1.051,Fabio Fognini,Apr 4 2014,Davis Cup,Singles,Fabio Fognini
51,32,Tomas Berdych,$4.290,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Fabio Fognini
80,55,Novak Djokovic,$6.217,Novak Djokovic,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,S,Fabio Fognini
53,47,Andreas Seppi,$2.312,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Fabio Fognini
55,47,Rafael Nadal,$12.872,Rafael Nadal,Sep 30 2013,Beijing,Q,Fabio Fognini
62,34,Paolo Lorenzi,$1.327,Fabio Fognini,Apr 29 2013,Oeiras,R16,Fabio Fognini
59,33,Albert Ramos,$1.957,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Fabio Fognini
57,38,Pablo Carreno Busta,$1.401,Pablo Carreno Busta,Apr 29 2013,Oeiras,Q,Fabio Fognini
51,32,Richard Gasquet,$3.447,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,Q,Fabio Fognini
74,56,Rafael Nadal,$26.725,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Fabio Fognini
57,32,Tommy Robredo,$2.350,Fabio Fognini,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Fabio Fognini
78,44,Novak Djokovic,$10.460,Novak Djokovic,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R16,Fabio Fognini
44,33,Andreas Seppi,$1.868,Fabio Fognini,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Fabio Fognini
62,36,Mikhail Youzhny,$1.636,Mikhail Youzhny,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Fabio Fognini
