date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$4.375,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934126,Carlos Berlocq,French Open Slam,Lleyton Hewitt,Carlos Berlocq,Carlos Berlocq,Round of 128,188,3,52,66,46,31,46,15,56,53,38,51,163,129,56,39,1,79,69,30,34,54,38,40,26,16,25,152,139,61,44,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934126
May 5 2014,$4.540,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=G725,Santiago Giraldo,ATP World Tour Masters 1000 Madrid,Lleyton Hewitt,Santiago Giraldo,Santiago Giraldo,R64,145,7,59,70,48,28,48,50,,,,,,,61,30,4,58,71,65,30,,28,,,,,,,69,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=G725
Apr 28 2014,$3.327,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=3&p=R772,Albert Ramos,Munich,Lleyton Hewitt,Albert Ramos,Albert Ramos,R32,137,6,53,67,35,30,35,25,,,,,,,52,35,4,68,69,55,32,,66,,,,,,,64,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=308&y=2014&r=3&p=R772
Apr 7 2014,$2.105,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=Q927,Sam Querrey,Houston,Lleyton Hewitt,Sam Querrey,Sam Querrey,R16,76,1,36,80,36,20,36,40,,,,,,,52,37,8,62,79,34,19,,80,,,,,,,62,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=Q927
Apr 7 2014,$1.393,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=3&p=H432,Peter Polansky,Houston,Lleyton Hewitt,Peter Polansky,Lleyton Hewitt,R32,124,1,58,50,45,37,45,61,,,,,,,48,51,3,63,62,24,49,,50,,,,,,,48,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=3&p=H432
Mar 17 2014,$11.919,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=N409,Rafael Nadal,ATP World Tour Masters 1000 Miami,Lleyton Hewitt,Rafael Nadal,Rafael Nadal,R64,69,3,74,51,53,20,53,0,,,,,,,52,17,1,62,80,86,48,,80,,,,,,,82,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=N409
Mar 17 2014,$1.538,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=1&p=H432,Robin Haase,ATP World Tour Masters 1000 Miami,Lleyton Hewitt,Robin Haase,Lleyton Hewitt,R128,117,3,56,75,58,34,58,50,,,,,,,67,42,7,53,65,48,25,,40,,,,,,,57,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=1&p=H432
Mar 3 2014,$3.444,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=A678,Kevin Anderson,ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,Kevin Anderson,Kevin Anderson,R64,110,2,53,73,58,21,58,0,,,,,,,66,30,7,63,78,53,26,,9,,,,,,,69,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=A678
Mar 3 2014,$1.329,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=1&p=H432,Matthew Ebden,ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,Matthew Ebden,Lleyton Hewitt,R128,133,4,55,63,42,36,42,46,,,,,,,53,47,4,51,64,39,36,,50,,,,,,,52,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=1&p=H432
Feb 17 2014,$1.619,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=ME05,Marinko Matosevic,Delray Beach,Lleyton Hewitt,Marinko Matosevic,Marinko Matosevic,R16,67,2,53,54,42,30,42,40,,,,,,,48,44,4,53,69,40,45,,66,,,,,,,55,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=ME05
