p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
80,31,Nicolas Almagro,$1.190,Nicolas Almagro,Jan 14 2013,Australian Open Slam,Round of 32,Jerzy Janowicz
62,22,Nicolas Almagro,$1.799,Jerzy Janowicz,Jun 24 2013,Wimbledon Slam,Round of 32,Jerzy Janowicz
69,30,Jurgen Melzer,$1.284,Jerzy Janowicz,Jun 24 2013,Wimbledon Slam,Round of 16,Jerzy Janowicz
61,22,Gilles Simon,$2.482,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,S,Jerzy Janowicz
55,26,Janko Tipsarevic,$2.685,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,Q,Jerzy Janowicz
56,34,Simone Bolelli,$1.370,Jerzy Janowicz,Jan 7 2013,Australian Open Slam,Round of 128,Jerzy Janowicz
73,36,Brian Baker,$1.705,Brian Baker,Oct 29 2012,Auckland,R32,Jerzy Janowicz
71,41,David Ferrer,$3.172,David Ferrer,Oct 29 2012,ATP World Tour Masters 1000 Paris,F,Jerzy Janowicz
63,33,Santiago Giraldo,$1.845,Jerzy Janowicz,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Jerzy Janowicz
67,36,Victor Hanescu,$1.308,Victor Hanescu,Feb 1 2013,Rotterdam,R32,Jerzy Janowicz
64,32,Andy Murray,$11.658,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,R16,Jerzy Janowicz
64,18,Marin Cilic,$3.598,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,Jerzy Janowicz
68,32,Dennis Novikov,$1.056,Dennis Novikov,Aug 20 2012,US Open Slam,Round of 128,Jerzy Janowicz
61,42,Philipp Kohlschreiber,$2.077,Philipp Kohlschreiber,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Jerzy Janowicz
56,40,Somdev Devvarman,$1.216,Jerzy Janowicz,Jan 14 2013,Australian Open Slam,Round of 64,Jerzy Janowicz
64,23,Julien Benneteau,$2.394,Jerzy Janowicz,Feb 18 2013,Marseille,R16,Jerzy Janowicz
69,42,Jo-Wilfried Tsonga,$4.960,Jo-Wilfried Tsonga,May 21 2014,French Open Slam,Round of 32,Jerzy Janowicz
58,25,Lukas Rosol,$1.478,Jerzy Janowicz,Feb 11 2013,Marseille,R32,Jerzy Janowicz
56,32,Santiago Giraldo,$1.283,Jerzy Janowicz,Oct 21 2013,ATP World Tour Masters 1000 Paris,R32,Jerzy Janowicz
71,25,Jo-Wilfried Tsonga,$3.629,Jerzy Janowicz,May 21 2014,ATP World Tour Masters 1000 Rome,R32,Jerzy Janowicz
63,31,Richard Gasquet,$3.297,Jerzy Janowicz,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Jerzy Janowicz
72,38,Roger Federer,$5.894,Roger Federer,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Jerzy Janowicz
73,23,Mirza Basic,$1.070,Mirza Basic,May 27 2013,Halle,R32,Jerzy Janowicz
61,36,Robin Haase,$1.397,Jerzy Janowicz,Jun 24 2013,Hamburg,R32,Jerzy Janowicz
74,50,Fernando Verdasco,$2.187,Fernando Verdasco,Jul 15 2013,Hamburg,R16,Jerzy Janowicz
47,20,Guillermo Garcia-Lopez,$1.651,Jerzy Janowicz,Aug 26 2013,Stockholm,R16,Jerzy Janowicz
59,39,Julien Benneteau,$1.669,Jerzy Janowicz,Jul 15 2013,ATP World Tour Masters 1000 Canada,R64,Jerzy Janowicz
68,33,Frank Dancevic,$1.370,Jerzy Janowicz,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Jerzy Janowicz
65,41,Rafael Nadal,$6.134,Rafael Nadal,Aug 5 2013,ATP World Tour Masters 1000 Canada,R16,Jerzy Janowicz
67,37,Ernests Gulbis,$2.370,Ernests Gulbis,Oct 14 2013,Stockholm,Q,Jerzy Janowicz
64,44,James Blake,$1.466,James Blake,Aug 5 2013,ATP World Tour Masters 1000 Cincinnati,R64,Jerzy Janowicz
82,50,Alexandr Dolgopolov,$2.221,Alexandr Dolgopolov,Oct 28 2013,Sydney,R16,Jerzy Janowicz
59,23,Joao Sousa,$1.454,Jerzy Janowicz,Oct 21 2013,Valencia,R16,Jerzy Janowicz
66,29,Pablo Carreno Busta,$1.331,Jerzy Janowicz,Oct 14 2013,Valencia,R32,Jerzy Janowicz
79,37,David Ferrer,$4.169,David Ferrer,Oct 21 2013,Valencia,Q,Jerzy Janowicz
65,37,Rafael Nadal,$5.894,Rafael Nadal,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,Jerzy Janowicz
58,25,Edouard Roger-Vasselin,$1.735,Jerzy Janowicz,Feb 3 2014,Montpellier,Q,Jerzy Janowicz
77,32,Richard Gasquet,$2.639,Richard Gasquet,Feb 3 2014,Montpellier,S,Jerzy Janowicz
70,19,Adrian Mannarino,$1.495,Jerzy Janowicz,Jan 31 2014,Montpellier,R16,Jerzy Janowicz
68,40,Tomas Berdych,$3.510,Tomas Berdych,Feb 10 2014,Rotterdam,Q,Jerzy Janowicz
59,22,Tommy Haas,$1.724,Jerzy Janowicz,Feb 10 2014,Rotterdam,R16,Jerzy Janowicz
62,36,Alejandro Falla,$1.443,Alejandro Falla,Feb 10 2014,ATP World Tour Masters 1000 Indian Wells,R64,Jerzy Janowicz
66,31,Julien Benneteau,$1.507,Jerzy Janowicz,Feb 3 2014,Rotterdam,R32,Jerzy Janowicz
70,48,Roberto Bautista Agut,$2.221,Roberto Bautista Agut,Mar 3 2014,ATP World Tour Masters 1000 Miami,R64,Jerzy Janowicz
54,25,Kyle Edmund,$1.207,Jerzy Janowicz,Jun 10 2013,Wimbledon Slam,Round of 128,Jerzy Janowicz
60,36,Robin Haase,$1.340,Jerzy Janowicz,May 27 2013,French Open Slam,Round of 64,Jerzy Janowicz
76,49,Michael Llodra,$1.724,Michael Llodra,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Jerzy Janowicz
58,53,Jurgen Melzer,$2.129,Jurgen Melzer,Apr 21 2014,Barcelona,R32,Jerzy Janowicz
55,21,Radek Stepanek,$1.837,Jerzy Janowicz,Jun 24 2013,Wimbledon Slam,Round of 64,Jerzy Janowicz
63,27,Albert Ramos,$1.706,Jerzy Janowicz,May 12 2013,French Open Slam,Round of 128,Jerzy Janowicz
65,36,Ernests Gulbis,$4.118,Ernests Gulbis,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Jerzy Janowicz
60,38,Jordan Thompson,$1.300,Jerzy Janowicz,Jan 6 2014,Australian Open Slam,Round of 128,Jerzy Janowicz
71,39,Stan Wawrinka,$3.326,Stan Wawrinka,May 27 2013,French Open Slam,Round of 32,Jerzy Janowicz
66,27,Piotr Gadomski,$1.050,Jerzy Janowicz,May 5 2013,Poznan,R32,Jerzy Janowicz
64,27,Lukasz Kubot,$1.245,Jerzy Janowicz,Jun 24 2013,Wimbledon Slam,Quarter Final,Jerzy Janowicz
74,38,Andy Murray,$5.145,Andy Murray,Jun 24 2013,Wimbledon Slam,Semi Final,Jerzy Janowicz
65,36,Pablo Andujar,$1.304,Jerzy Janowicz,Jan 13 2014,Australian Open Slam,Round of 64,Jerzy Janowicz
59,2,Arnau Brugues-Davi,$1.260,Jerzy Janowicz,Jul 16 2012,Poznan,Q,Jerzy Janowicz
