p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
60,42,Andy Murray,$3.075,Andy Murray,May 21 2014,French Open Slam,Round of 32,Philipp Kohlschreiber
55,29,Edouard Roger-Vasselin,$1.319,Philipp Kohlschreiber,Aug 26 2013,US Open Slam,Round of 64,Philipp Kohlschreiber
62,42,Santiago Giraldo,$1.671,Santiago Giraldo,Apr 21 2014,Barcelona,Q,Philipp Kohlschreiber
63,28,Edouard Roger-Vasselin,$1.489,Philipp Kohlschreiber,Apr 21 2014,Barcelona,R32,Philipp Kohlschreiber
58,29,Jurgen Melzer,$1.283,Philipp Kohlschreiber,Apr 21 2014,Barcelona,R16,Philipp Kohlschreiber
74,28,John Isner,$3.600,Philipp Kohlschreiber,Aug 26 2013,US Open Slam,Round of 32,Philipp Kohlschreiber
55,31,Pere Riba,$1.130,Philipp Kohlschreiber,May 21 2014,French Open Slam,Round of 128,Philipp Kohlschreiber
63,34,Denis Istomin,$1.304,Denis Istomin,Apr 28 2014,Munich,R32,Philipp Kohlschreiber
69,30,Marcos Baghdatis,$1.399,Marcos Baghdatis,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Philipp Kohlschreiber
66,36,Jo-Wilfried Tsonga,$2.628,Jo-Wilfried Tsonga,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Philipp Kohlschreiber
62,27,Simone Bolelli,$1.388,Philipp Kohlschreiber,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Philipp Kohlschreiber
83,43,Benoit Paire,$2.116,Benoit Paire,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Philipp Kohlschreiber
61,26,Rogerio Dutra Silva,$1.060,Philipp Kohlschreiber,Sep 13 2013,Davis Cup,Singles,Philipp Kohlschreiber
47,24,Collin Altamirano,$1.016,Philipp Kohlschreiber,Aug 26 2013,US Open Slam,Round of 128,Philipp Kohlschreiber
78,26,Jerzy Janowicz,$1.655,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,R64,Philipp Kohlschreiber
74,40,Rafael Nadal,$14.400,Rafael Nadal,Aug 26 2013,US Open Slam,Round of 16,Philipp Kohlschreiber
54,28,Denis Istomin,$1.340,Philipp Kohlschreiber,May 21 2014,French Open Slam,Round of 64,Philipp Kohlschreiber
77,40,Roger Federer,$4.940,Roger Federer,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,Philipp Kohlschreiber
76,33,Adrian Mannarino,$1.250,Adrian Mannarino,Sep 24 2012,Orleans,R32,Philipp Kohlschreiber
63,22,Ivan Dodig,$1.549,Philipp Kohlschreiber,Dec 31 2012,Doha,R32,Philipp Kohlschreiber
76,37,Feliciano Lopez,$1.564,Feliciano Lopez,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,Philipp Kohlschreiber
70,40,Ivan Dodig,$1.570,Ivan Dodig,Oct 21 2012,Valencia,R32,Philipp Kohlschreiber
62,24,Ryan Harrison,$1.505,Philipp Kohlschreiber,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R64,Philipp Kohlschreiber
61,34,Gael Monfils,$1.634,Gael Monfils,Dec 31 2012,Doha,R16,Philipp Kohlschreiber
64,42,David Ferrer,$5.170,David Ferrer,Jan 7 2013,Auckland,F,Philipp Kohlschreiber
63,30,Alejandro Falla,$1.403,Philipp Kohlschreiber,Jan 7 2013,Auckland,R16,Philipp Kohlschreiber
74,20,Xavier Malisse,$1.461,Philipp Kohlschreiber,Jan 7 2013,Auckland,Q,Philipp Kohlschreiber
66,26,Sam Querrey,$2.401,Philipp Kohlschreiber,Jan 7 2013,Auckland,S,Philipp Kohlschreiber
47,32,Thomaz Bellucci,$1.948,Philipp Kohlschreiber,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Philipp Kohlschreiber
62,35,Pablo Andujar,$1.443,Philipp Kohlschreiber,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Philipp Kohlschreiber
61,32,Andrey Kuznetsov,$1.583,Philipp Kohlschreiber,Apr 22 2013,Barcelona,R32,Philipp Kohlschreiber
76,54,Nicolas Almagro,$4.539,Nicolas Almagro,Apr 22 2013,Barcelona,S,Philipp Kohlschreiber
56,48,David Goffin,$1.636,David Goffin,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Philipp Kohlschreiber
80,43,Rafael Nadal,$26.377,Rafael Nadal,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Philipp Kohlschreiber
63,38,Martin Klizan,$1.837,Philipp Kohlschreiber,Apr 22 2013,Barcelona,R16,Philipp Kohlschreiber
0,0,Thomaz Bellucci,$1.735,Philipp Kohlschreiber,Apr 22 2013,Barcelona,Q,Philipp Kohlschreiber
70,33,Viktor Troicki,$1.437,Philipp Kohlschreiber,Apr 29 2013,Munich,Q,Philipp Kohlschreiber
54,11,Evgeny Korolev,$1.178,Philipp Kohlschreiber,Apr 29 2013,Munich,R16,Philipp Kohlschreiber
66,21,Milos Raonic,$2.737,Philipp Kohlschreiber,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Philipp Kohlschreiber
48,38,Albert Ramos,$1.759,Philipp Kohlschreiber,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Philipp Kohlschreiber
72,36,Tommy Haas,$2.610,Tommy Haas,Apr 29 2013,Munich,F,Philipp Kohlschreiber
67,28,Daniel Brands,$1.546,Philipp Kohlschreiber,Apr 29 2013,Munich,S,Philipp Kohlschreiber
0,0,David Ferrer,$4.328,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Philipp Kohlschreiber
62,24,Tobias Kamke,$1.176,Philipp Kohlschreiber,Jun 10 2013,Halle,R16,Philipp Kohlschreiber
69,30,Igor Sijsling,$1.233,Igor Sijsling,May 19 2013,Dusseldorf,R16,Philipp Kohlschreiber
52,11,Carlos Berlocq,$1.095,Philipp Kohlschreiber,Jun 10 2013,Halle,R32,Philipp Kohlschreiber
66,37,Mikhail Youzhny,$1.433,Mikhail Youzhny,Jun 10 2013,Halle,Q,Philipp Kohlschreiber
82,34,Carlos Berlocq,$1.314,Carlos Berlocq,Sep 16 2013,Metz,R16,Philipp Kohlschreiber
61,40,Fabio Fognini,$1.792,Fabio Fognini,Jul 8 2013,Stuttgart,F,Philipp Kohlschreiber
61,35,Albert Montanes,$1.205,Philipp Kohlschreiber,Sep 30 2013,Beijing,R32,Philipp Kohlschreiber
64,39,Rafael Nadal,$12.462,Rafael Nadal,Sep 30 2013,Beijing,R16,Philipp Kohlschreiber
66,38,Radek Stepanek,$1.827,Radek Stepanek,Jun 17 2013,Eastbourne,R16,Philipp Kohlschreiber
56,32,Nils Langer,$1.089,Philipp Kohlschreiber,Jul 8 2013,Stuttgart,R16,Philipp Kohlschreiber
51,33,Victor Hanescu,$1.330,Philipp Kohlschreiber,Jul 8 2013,Stuttgart,S,Philipp Kohlschreiber
56,33,Gael Monfils,$2.571,Philipp Kohlschreiber,Jul 8 2013,Stuttgart,Q,Philipp Kohlschreiber
71,33,Benoit Paire,$1.508,Benoit Paire,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Philipp Kohlschreiber
50,25,Mardy Fish,$2.129,Philipp Kohlschreiber,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Philipp Kohlschreiber
59,16,Mao-Xin Gong,$1.020,Philipp Kohlschreiber,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,Philipp Kohlschreiber
70,34,Juan Martin Del Potro,$4.493,Juan Martin Del Potro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Philipp Kohlschreiber
71,33,Leonardo Mayer,$1.397,Leonardo Mayer,Jul 28 2013,Kitzb��hel,R16,Philipp Kohlschreiber
65,19,Amir Weintraub,$1.064,Philipp Kohlschreiber,Jan 14 2013,Australian Open Slam,Round of 64,Philipp Kohlschreiber
58,35,Tommy Haas,$2.364,Philipp Kohlschreiber,Oct 21 2013,Valencia,R32,Philipp Kohlschreiber
71,37,Ruben Bemelmans,$1.359,Ruben Bemelmans,Oct 14 2013,Vienna,R16,Philipp Kohlschreiber
80,32,Milos Raonic,$2.401,Milos Raonic,Jan 14 2013,Australian Open Slam,Round of 32,Philipp Kohlschreiber
52,35,Tommy Haas,$2.322,Philipp Kohlschreiber,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,Philipp Kohlschreiber
59,31,Andreas Seppi,$1.799,Philipp Kohlschreiber,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,Philipp Kohlschreiber
69,33,Mikhail Youzhny,$1.884,Mikhail Youzhny,Oct 21 2013,Valencia,R16,Philipp Kohlschreiber
76,37,Roger Federer,$4.632,Roger Federer,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,Philipp Kohlschreiber
46,42,Pablo Andujar,$1.157,Philipp Kohlschreiber,Dec 30 2013,Doha,R32,Philipp Kohlschreiber
63,31,Jiri Vesely,$1.306,Philipp Kohlschreiber,May 27 2013,French Open Slam,Round of 128,Philipp Kohlschreiber
81,27,John Isner,$1.749,John Isner,Jan 13 2014,Auckland,Q,Philipp Kohlschreiber
60,24,Steve Darcis,$1.127,Philipp Kohlschreiber,Jan 14 2013,Australian Open Slam,Round of 128,Philipp Kohlschreiber
70,34,Peter Gojowczyk,$1.268,Peter Gojowczyk,Dec 30 2013,Doha,R16,Philipp Kohlschreiber
48,34,Victor Hanescu,$1.513,Philipp Kohlschreiber,May 27 2013,French Open Slam,Round of 32,Philipp Kohlschreiber
67,34,Novak Djokovic,$15.130,Novak Djokovic,May 27 2013,French Open Slam,Round of 16,Philipp Kohlschreiber
61,32,Pablo Carreno Busta,$1.226,Philipp Kohlschreiber,Jan 13 2014,Auckland,R32,Philipp Kohlschreiber
54,12,Horacio Zeballos,$1.192,Philipp Kohlschreiber,Jan 13 2014,Auckland,R16,Philipp Kohlschreiber
70,33,Ivan Dodig,$1.454,Ivan Dodig,Jun 24 2013,Wimbledon Slam,Round of 128,Philipp Kohlschreiber
60,35,Daniel Evans,$1.219,Daniel Evans,Feb 3 2014,Zagreb,Q,Philipp Kohlschreiber
