p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
73,38,Tommy Haas,$2.801,Tommy Haas,Jun 24 2013,Wimbledon Slam,Round of 32,Feliciano Lopez
69,40,Donald Young,$1.417,Donald Young,May 21 2014,French Open Slam,Round of 64,Feliciano Lopez
65,30,Andy Murray,$19.270,Andy Murray,Sep 24 2012,US Open Slam,Round of 32,Feliciano Lopez
53,32,Jack Sock,$1.692,Feliciano Lopez,Feb 25 2013,Memphis,Q,Feliciano Lopez
71,43,Radek Stepanek,$1.860,Radek Stepanek,Feb 25 2013,Australian Open Slam,Round of 64,Feliciano Lopez
0,0,Tommy Haas,$3.611,Feliciano Lopez,Feb 25 2013,Memphis,R16,Feliciano Lopez
70,45,Marcel Granollers,$2.077,Marcel Granollers,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Feliciano Lopez
69,33,Benjamin Becker,$1.793,Feliciano Lopez,Feb 25 2013,Memphis,R32,Feliciano Lopez
64,16,Jan Hernych,$1.266,Feliciano Lopez,Jul 22 2013,Gstaad,R32,Feliciano Lopez
63,22,Robin Haase,$1.812,Feliciano Lopez,Aug 27 2012,US Open Slam,Round of 128,Feliciano Lopez
70,37,Robin Haase,$1.735,Robin Haase,Jul 29 2013,Gstaad,S,Feliciano Lopez
60,21,Arnau Brugues-Davi,$1.211,Feliciano Lopez,Jan 14 2013,Australian Open Slam,Round of 128,Feliciano Lopez
59,37,Stan Wawrinka,$4.527,Feliciano Lopez,Jul 29 2013,Gstaad,Q,Feliciano Lopez
75,39,Ernests Gulbis,$2.808,Ernests Gulbis,Jul 29 2013,ATP World Tour Masters 1000 Canada,R64,Feliciano Lopez
64,39,Marcel Granollers,$3.178,Feliciano Lopez,May 27 2013,French Open Slam,Round of 128,Feliciano Lopez
64,15,Gilles Simon,$1.685,Feliciano Lopez,Jun 24 2013,Wimbledon Slam,Round of 128,Feliciano Lopez
61,27,Andrey Kuznetsov,$1.466,Feliciano Lopez,Jul 29 2013,Gstaad,R16,Feliciano Lopez
60,36,Juan Martin Del Potro,$4.879,Juan Martin Del Potro,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R16,Feliciano Lopez
67,51,David Ferrer,$14.400,David Ferrer,May 27 2013,French Open Slam,Round of 32,Feliciano Lopez
61,34,Jeremy Chardy,$1.806,Feliciano Lopez,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,Feliciano Lopez
55,20,Laslo Djere,$1.041,Feliciano Lopez,Aug 26 2013,Bangkok,R32,Feliciano Lopez
58,39,Pablo Andujar,$1.344,Feliciano Lopez,Aug 27 2012,US Open Slam,Round of 64,Feliciano Lopez
53,15,Paul-Henri Mathieu,$1.241,Feliciano Lopez,Jun 24 2013,Wimbledon Slam,Round of 64,Feliciano Lopez
64,28,Joao Sousa,$1.443,Feliciano Lopez,May 27 2013,French Open Slam,Round of 64,Feliciano Lopez
81,37,Milos Raonic,$2.834,Milos Raonic,Sep 23 2013,Bangkok,Q,Feliciano Lopez
66,35,Tatsuma Ito,$1.234,Feliciano Lopez,Sep 23 2013,Tokyo,R32,Feliciano Lopez
68,31,Go Soeda,$1.318,Feliciano Lopez,Sep 23 2013,Bangkok,R16,Feliciano Lopez
66,52,Kei Nishikori,$3.036,Kei Nishikori,Sep 30 2013,Tokyo,R16,Feliciano Lopez
65,37,Jarkko Nieminen,$1.730,Feliciano Lopez,Sep 30 2013,ATP World Tour Masters 1000 Shanghai,R64,Feliciano Lopez
77,39,Stan Wawrinka,$3.557,Stan Wawrinka,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,Feliciano Lopez
64,54,Julien Benneteau,$1.957,Julien Benneteau,Oct 6 2013,Valencia,R32,Feliciano Lopez
79,37,Tomas Berdych,$2.889,Tomas Berdych,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Feliciano Lopez
63,30,Bernard Tomic,$2.178,Feliciano Lopez,Oct 21 2013,ATP World Tour Masters 1000 Paris,R64,Feliciano Lopez
53,30,Mikhail Kukushkin,$1.771,Feliciano Lopez,Oct 28 2013,Brisbane,R32,Feliciano Lopez
66,38,Lleyton Hewitt,$2.690,Lleyton Hewitt,Dec 30 2013,Brisbane,R16,Feliciano Lopez
55,28,Sam Querrey,$2.263,Feliciano Lopez,Feb 17 2014,Delray Beach,R32,Feliciano Lopez
89,27,Ivo Karlovic,$1.786,Ivo Karlovic,Feb 10 2014,Memphis,R16,Feliciano Lopez
72,35,David Ferrer,$3.909,David Ferrer,Feb 24 2014,Acapulco,R16,Feliciano Lopez
53,31,Edouard Roger-Vasselin,$1.777,Feliciano Lopez,Feb 24 2014,Acapulco,R32,Feliciano Lopez
61,29,Adrian Mannarino,$1.417,Feliciano Lopez,Feb 17 2014,Delray Beach,R16,Feliciano Lopez
68,45,Steve Johnson,$1.598,Steve Johnson,Feb 17 2014,Delray Beach,Q,Feliciano Lopez
62,35,James Ward,$1.213,Feliciano Lopez,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Feliciano Lopez
61,32,Dudi Sela,$1.607,Feliciano Lopez,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R128,Feliciano Lopez
70,36,Mikhail Kukushkin,$1.609,Feliciano Lopez,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Feliciano Lopez
80,37,Julien Benneteau,$2.571,Julien Benneteau,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,Feliciano Lopez
64,30,Kei Nishikori,$3.151,Feliciano Lopez,Aug 5 2013,ATP World Tour Masters 1000 Cincinnati,R64,Feliciano Lopez
61,30,Jiri Vesely,$1.598,Feliciano Lopez,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Feliciano Lopez
58,30,Lukas Lacko,$1.314,Feliciano Lopez,Sep 24 2012,Kuala Lumpur,R32,Feliciano Lopez
50,35,Donald Young,$1.479,Feliciano Lopez,Aug 20 2012,Winston-Salem,R32,Feliciano Lopez
72,43,Sam Querrey,$3.487,Sam Querrey,Aug 27 2012,Winston-Salem,R16,Feliciano Lopez
61,31,Yen-Hsun Lu,$1.500,Feliciano Lopez,Oct 1 2012,Beijing,R16,Feliciano Lopez
75,32,Igor Sijsling,$1.470,Igor Sijsling,Oct 1 2012,Kuala Lumpur,R16,Feliciano Lopez
