date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.388,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934112,Stephane Robert,French Open Slam,Kevin Anderson,Stephane Robert,Kevin Anderson,Round of 128,110,11,61,88,59,34,59,22,39,27,14,15,193,165,77,39,3,48,66,56,12,,50,25,30,8,11,186,135,61,23,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934112
May 12 2014,$3.323,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=T786,Jo-Wilfried Tsonga,ATP World Tour Masters 1000 Rome,Kevin Anderson,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,R32,135,9,58,82,61,18,61,0,,,,,,,73,27,11,67,81,54,17,,0,,,,,,,72,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=T786
May 12 2014,$1.209,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=A678,Vasek Pospisil,ATP World Tour Masters 1000 Rome,Kevin Anderson,Vasek Pospisil,Kevin Anderson,R64,94,7,65,86,62,31,62,100,,,,,,,78,27,3,58,68,79,13,,0,,,,,,,72,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=A678
May 5 2014,$5.459,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=BA47,Tomas Berdych,ATP World Tour Masters 1000 Madrid,Kevin Anderson,Tomas Berdych,Tomas Berdych,R32,70,5,75,61,28,14,28,0,,,,,,,53,20,5,62,85,70,38,,30,,,,,,,80,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=BA47
May 5 2014,$1.681,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=A678,Radek Stepanek,ATP World Tour Masters 1000 Madrid,Kevin Anderson,Radek Stepanek,Kevin Anderson,R64,114,10,68,66,68,18,68,50,,,,,,,67,33,6,53,81,48,33,,66,,,,,,,66,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=A678
Apr 13 2014,$2.760,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=MC65,Gael Monfils,ATP World Tour Masters 1000 Monte Carlo,Kevin Anderson,Gael Monfils,Gael Monfils,R64,92,6,65,64,64,13,64,0,,,,,,,64,19,7,59,86,72,35,,14,,,,,,,80,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=MC65
Apr 7 2014,$1.351,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=360&y=2014&r=4&p=H528,Victor Hanescu,Casablanca,Kevin Anderson,Victor Hanescu,Victor Hanescu,R16,86,4,54,80,52,25,52,0,,,,,,,67,32,0,67,75,52,20,,40,,,,,,,67,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=360&y=2014&r=4&p=H528
Jun 24 2013,$1.149,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604207,Michal Przysiezny,Wimbledon Slam,Kevin Anderson,Michal Przysiezny,Kevin Anderson,Round of 64,111,15,69,83,69,29,69,50,33,10,,,,,79,36,6,60,71,54,17,,100,28,20,,,,,64,21,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604207
Jun 24 2013,$1.156,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604113,Olivier Rochus,Wimbledon Slam,Kevin Anderson,Olivier Rochus,Kevin Anderson,Round of 128,78,28,72,91,82,48,82,50,68,19,,,,,88,49,0,62,52,49,9,,0,17,14,,,,,51,12,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604113
Mar 17 2014,$2.087,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=G628,Richard Gasquet,ATP World Tour Masters 1000 Miami,Kevin Anderson,Richard Gasquet,Richard Gasquet,R32,91,8,67,66,50,27,50,0,,,,,,,61,30,6,66,72,63,33,,25,,,,,,,69,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=G628
