date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.408,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934163,Daniel Gimeno-Traver,French Open Slam,Jeremy Chardy,Daniel Gimeno-Traver,Jeremy Chardy,Round of 128,97,10,66,80,64,39,64,75,29,32,10,13,186,148,74,46,1,59,61,44,20,,33,13,38,5,10,167,146,54,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934163
May 12 2014,$3.555,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=R975,Milos Raonic,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Milos Raonic,Milos Raonic,Q,122,8,61,74,41,12,41,28,,,,,,,61,30,14,63,87,38,25,,44,,,,,,,69,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=R975
May 12 2014,$2.077,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=CA12,Ivan Dodig,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Ivan Dodig,Jeremy Chardy,R16,72,3,65,83,56,40,56,66,,,,,,,73,48,2,70,60,33,16,,0,,,,,,,52,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=CA12
May 12 2014,$7.670,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=CA12,Roger Federer,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Roger Federer,Jeremy Chardy,R32,127,2,56,80,45,31,45,18,,,,,,,65,37,9,68,68,50,19,,42,,,,,,,62,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=CA12
May 12 2014,$1.884,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=CA12,Robin Haase,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Robin Haase,Jeremy Chardy,R64,85,9,61,85,57,33,57,33,,,,,,,74,42,1,52,66,48,14,,0,,,,,,,57,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=CA12
May 5 2014,$3.693,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=R975,Milos Raonic,ATP World Tour Masters 1000 Madrid,Jeremy Chardy,Milos Raonic,Milos Raonic,R32,62,5,54,77,39,14,39,0,,,,,,,60,20,11,62,85,70,22,,60,,,,,,,80,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=R975
May 5 2014,$2.360,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=CA12,Lukas Rosol,ATP World Tour Masters 1000 Madrid,Jeremy Chardy,Lukas Rosol,Jeremy Chardy,R64,100,12,58,87,60,31,60,22,,,,,,,76,36,7,64,68,54,12,,20,,,,,,,63,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=CA12
Apr 21 2014,$1.853,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=3&p=V708,Jiri Vesely,Bucharest,Jeremy Chardy,Jiri Vesely,Jiri Vesely,R32,89,2,61,56,50,15,50,0,,,,,,,54,24,4,70,84,56,43,,30,,,,,,,75,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=3&p=V708
Jun 24 2013,$1.681,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604104,Ryan Harrison,Wimbledon Slam,Jeremy Chardy,Ryan Harrison,Jeremy Chardy,Round of 128,170,10,66,85,54,30,54,18,60,30,,,164,136,74,35,18,65,70,55,15,,33,43,17,,,157,133,65,26,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604104
Jun 16 2013,$3.106,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=5&p=W367,Stan Wawrinka,s-Hertogenbosch,Jeremy Chardy,Stan Wawrinka,Stan Wawrinka,Q,75,10,72,81,29,21,29,50,,,,,,,67,25,7,61,78,66,18,,66,,,,,,,74,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=5&p=W367
