date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.006,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934164,Joao Sousa,French Open Slam,Novak Djokovic,Joao Sousa,Novak Djokovic,Round of 128,110,9,70,66,56,38,56,53,40,33,13,18,181,146,63,54,0,60,62,23,34,,30,16,23,12,21,173,143,46,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934164
May 12 2014,$2.236,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=7&p=D643,Rafael Nadal,ATP World Tour Masters 1000 Rome,Novak Djokovic,Rafael Nadal,Novak Djokovic,F,139,7,62,71,55,45,55,42,,,,,,,65,48,0,75,54,43,28,,66,,,,,,,51,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=7&p=D643
May 12 2014,$1.160,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=6&p=D643,Milos Raonic,ATP World Tour Masters 1000 Rome,Novak Djokovic,Milos Raonic,Novak Djokovic,S,181,3,71,70,65,24,65,30,,,,,,,69,34,17,66,75,45,29,,12,,,,,,,65,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=6&p=D643
May 12 2014,$1.370,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=D643,David Ferrer,ATP World Tour Masters 1000 Rome,Novak Djokovic,David Ferrer,Novak Djokovic,Q,152,3,61,68,54,35,54,33,,,,,,,62,40,2,64,64,51,31,,50,,,,,,,59,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=D643
May 12 2014,$1.135,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=D643,Philipp Kohlschreiber,ATP World Tour Masters 1000 Rome,Novak Djokovic,Philipp Kohlschreiber,Novak Djokovic,R16,96,2,75,70,50,35,50,60,,,,,,,65,50,2,60,64,28,29,,75,,,,,,,50,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=D643
May 12 2014,$1.057,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=D643,Radek Stepanek,ATP World Tour Masters 1000 Rome,Novak Djokovic,Radek Stepanek,Novak Djokovic,R32,97,2,67,66,63,34,63,45,,,,,,,65,49,4,62,65,26,33,,60,,,,,,,50,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=D643
May 5 2014,$1.334,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=6&p=F324,Roger Federer,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Roger Federer,Roger Federer,S,75,2,67,60,63,17,63,0,,,,,,,61,24,3,70,82,58,40,,60,,,,,,,75,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=6&p=F324
May 5 2014,$1.028,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=D643,Guillermo Garcia-Lopez,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Guillermo Garcia-Lopez,Novak Djokovic,Q,132,6,63,74,50,40,50,45,,,,,,,65,45,0,59,60,47,25,,40,,,,,,,54,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=D643
Oct 6 2013,$1.018,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=D643,Marcel Granollers,ATP World Tour Masters 1000 Shanghai,Novak Djokovic,Marcel Granollers,Novak Djokovic,R32,71,6,57,80,52,52,52,50,,,,,,,68,57,0,48,47,37,19,,0,,,,,,,42,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=D643
May 5 2014,$1.018,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=D643,Pablo Carreno Busta,ATP World Tour Masters 1000 Monte Carlo,Novak Djokovic,Pablo Carreno Busta,Novak Djokovic,R16,48,2,73,76,100,63,100,71,,,,,,,82,63,0,57,36,37,24,,0,,,,,,,36,17,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=D643
