date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.105,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934140,Pierre-Hugues Herbert,French Open Slam,John Isner,Pierre-Hugues Herbert,John Isner,Round of 128,153,23,61,84,65,19,65,100,49,36,26,34,202,170,76,28,11,49,81,63,16,,0,37,16,17,24,185,143,72,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934140
May 19 2014,$1.939,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2014&r=5&p=D874,Federico Delbonis,Nice,John Isner,Federico Delbonis,Federico Delbonis,Q,133,16,69,76,60,21,60,50,,,,,,,71,29,5,56,78,61,23,,50,,,,,,,71,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2014&r=5&p=D874
May 19 2014,$1.752,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2014&r=4&p=I186,Jack Sock,Nice,John Isner,Jack Sock,John Isner,R16,78,8,66,82,66,35,66,33,,,,,,,77,40,2,69,64,50,17,,0,,,,,,,60,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2014&r=4&p=I186
May 12 2014,$1.551,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=M762,Jurgen Melzer,ATP World Tour Masters 1000 Rome,John Isner,Jurgen Melzer,Jurgen Melzer,R64,87,13,70,69,47,28,47,12,,,,,,,62,28,4,78,71,75,30,,66,,,,,,,72,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=M762
May 5 2014,$3.860,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=F401,David Ferrer,ATP World Tour Masters 1000 Madrid,John Isner,David Ferrer,David Ferrer,R16,78,6,78,60,64,10,64,0,,,,,,,60,19,2,71,89,60,40,,28,,,,,,,80,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=F401
May 5 2014,$1.351,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=I186,Marinko Matosevic,ATP World Tour Masters 1000 Madrid,John Isner,Marinko Matosevic,John Isner,R32,158,23,70,79,56,23,56,16,,,,,,,72,27,4,74,76,58,20,,0,,,,,,,72,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=I186
May 5 2014,$1.691,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=I186,Teymuraz Gabashvili,ATP World Tour Masters 1000 Madrid,John Isner,Teymuraz Gabashvili,John Isner,R64,106,14,78,80,71,30,71,14,,,,,,,78,38,1,68,69,44,19,,0,,,,,,,61,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=I186
Apr 7 2014,$1.240,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=BA65,Dustin Brown,Houston,John Isner,Dustin Brown,Dustin Brown,R16,139,13,58,73,60,18,60,0,,,,,,,68,30,12,61,81,50,26,,33,,,,,,,69,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=BA65
Mar 17 2014,$3.237,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=BA47,Tomas Berdych,ATP World Tour Masters 1000 Miami,John Isner,Tomas Berdych,Tomas Berdych,R16,91,9,64,63,50,11,50,0,,,,,,,58,23,7,57,88,60,36,,25,,,,,,,76,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=BA47
Mar 17 2014,$1.708,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=I186,Nicolas Almagro,ATP World Tour Masters 1000 Miami,John Isner,Nicolas Almagro,John Isner,R32,71,17,70,79,61,22,61,40,,,,,,,73,31,7,68,77,50,20,,0,,,,,,,68,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=I186
