date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.200,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934121,Victor Hanescu,French Open Slam,Gael Monfils,Victor Hanescu,Gael Monfils,Round of 128,151,10,61,68,53,41,53,47,58,47,23,28,189,151,62,47,1,75,59,34,32,,33,28,28,13,26,176,143,53,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934121
Apr 28 2014,$2.380,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=6&p=D875,Grigor Dimitrov,Bucharest,Gael Monfils,Grigor Dimitrov,Grigor Dimitrov,S,16,0,73,45,25,0,25,0,,,,,,,40,20,2,73,100,25,54,,100,,,,,,,80,60,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=6&p=D875
Apr 28 2014,$1.337,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=5&p=MC65,Paul-Henri Mathieu,Bucharest,Gael Monfils,Paul-Henri Mathieu,Gael Monfils,Q,141,5,66,72,47,33,47,23,,,,,,,64,39,1,72,66,44,27,,28,,,,,,,60,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=5&p=MC65
Apr 28 2014,$1.185,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=4&p=MC65,Richard Berankis,Bucharest,Gael Monfils,Ricardas Berankis,Gael Monfils,R16,59,7,70,74,50,52,50,80,,,,,,,67,52,0,54,47,47,25,,0,,,,,,,47,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=773&y=2014&r=4&p=MC65
Apr 28 2014,$1.255,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=CD85,Pablo Carreno Busta,ATP World Tour Masters 1000 Monte Carlo,Gael Monfils,Pablo Carreno Busta,Pablo Carreno Busta,R32,98,5,63,59,52,32,52,22,,,,,,,56,38,2,63,67,51,40,,57,,,,,,,61,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=CD85
Apr 13 2014,$1.527,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=MC65,Kevin Anderson,ATP World Tour Masters 1000 Monte Carlo,Gael Monfils,Kevin Anderson,Gael Monfils,R64,92,7,59,86,72,35,72,14,,,,,,,80,35,6,65,64,64,13,,0,,,,,,,64,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=MC65
Apr 7 2014,$1.205,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=G476,Guillermo Garcia-Lopez,ATP World Tour Masters 1000 Miami,Gael Monfils,Guillermo Garcia-Lopez,Guillermo Garcia-Lopez,R64,73,2,59,57,29,18,29,100,,,,,,,45,35,2,43,81,51,42,,60,,,,,,,64,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=G476
Mar 17 2014,$1.419,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F510,Fabio Fognini,ATP World Tour Masters 1000 Indian Wells,Gael Monfils,Fabio Fognini,Fabio Fognini,R32,110,8,51,62,36,33,36,45,,,,,,,50,41,1,48,66,50,37,,53,,,,,,,58,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F510
Mar 3 2014,$1.265,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=MC65,Sergiy Stakhovsky,ATP World Tour Masters 1000 Indian Wells,Gael Monfils,Sergiy Stakhovsky,Gael Monfils,R64,61,8,71,68,46,46,46,62,,,,,,,62,52,3,64,53,38,31,,50,,,,,,,48,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=MC65
Mar 3 2014,$2.593,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=D683,Juan Martin del Potro,Rotterdam,Gael Monfils,Juan Martin Del Potro,Juan Martin Del Potro,R32,101,7,59,77,44,26,44,40,,,,,,,63,33,2,67,73,52,22,,75,,,,,,,66,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=D683
Feb 10 2014,$2.096,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=7&p=MC65,Richard Gasquet,Montpellier,Gael Monfils,Richard Gasquet,Gael Monfils,F,85,9,56,92,63,38,63,40,,,,,,,80,38,0,75,61,61,7,,0,,,,,,,61,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=375&y=2014&r=7&p=MC65
