date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Jun 24 2013,$1.047,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604316,Tommy Robredo,Wimbledon Slam,Andy Murray,Tommy Robredo,Andy Murray,Round of 32,121,9,65,85,57,30,57,71,40,14,,,181,138,75,41,6,67,70,36,15,,33,34,25,,,188,152,59,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604316
Jun 24 2013,$1.011,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604232,Yen-Hsun Lu,Wimbledon Slam,Andy Murray,Yen-Hsun Lu,Andy Murray,Round of 64,121,11,63,85,67,31,67,27,41,14,,,185,133,78,43,1,66,69,35,15,,0,29,27,,,177,154,57,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604232
Jun 24 2013,$1.011,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604164,Benjamin Becker,Wimbledon Slam,Andy Murray,Benjamin Becker,Andy Murray,Round of 128,113,11,57,80,54,38,54,50,38,16,,,188,133,69,46,5,59,62,44,20,,20,26,18,,,193,154,54,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604164
Jun 10 2013,$1.224,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=7&p=MC10,Marin Cilic,London / Queen's Club,Andy Murray,Marin Cilic,Andy Murray,F,153,4,61,75,61,19,61,18,,,,,,,70,36,4,58,80,40,24,,25,,,,,,,63,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=7&p=MC10
Jun 10 2013,$1.445,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=6&p=MC10,Jo-Wilfried Tsonga,London / Queen's Club,Andy Murray,Jo-Wilfried Tsonga,Andy Murray,S,109,5,60,80,53,32,53,27,,,,,,,69,38,10,64,67,50,20,,16,,,,,,,61,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=6&p=MC10
Jun 10 2013,$1.054,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=MC10,Benjamin Becker,London / Queen's Club,Andy Murray,Benjamin Becker,Andy Murray,Q,90,8,63,75,45,38,45,50,,,,,,,64,43,2,80,61,35,24,,50,,,,,,,56,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=MC10
Jun 10 2013,$1.034,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=MC10,Marinko Matosevic,London / Queen's Club,Andy Murray,Marinko Matosevic,Andy Murray,R16,57,3,71,71,61,42,61,50,,,,,,,68,51,2,63,57,31,28,,50,,,,,,,48,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=MC10
May 21 2014,$1.089,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934132,Andrey Golubev,French Open Slam,Andy Murray,Andrey Golubev,Andy Murray,Round of 128,155,5,51,62,53,43,53,62,19,34,5,7,180,133,57,46,2,56,57,50,38,,50,35,59,17,26,174,156,54,43,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934132
May 12 2014,$6.361,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=N409,Rafael Nadal,ATP World Tour Masters 1000 Rome,Andy Murray,Rafael Nadal,Rafael Nadal,Q,161,5,64,69,31,32,31,40,,,,,,,56,37,6,70,67,52,30,,33,,,,,,,62,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=N409
May 12 2014,$1.219,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=MC10,Jurgen Melzer,ATP World Tour Masters 1000 Rome,Andy Murray,Jurgen Melzer,Andy Murray,R16,102,6,61,67,58,40,58,60,,,,,,,63,43,4,73,59,47,32,,20,,,,,,,56,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=MC10
