date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.340,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934128,Michael Llodra,French Open Slam,Fernando Verdasco,Michael Llodra,Fernando Verdasco,Round of 128,152,3,76,73,73,34,73,23,42,18,11,21,171,147,73,39,6,68,66,51,27,,17,38,36,33,61,182,141,61,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934128
May 12 2014,$1.340,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=G806,Andrey Golubev,ATP World Tour Masters 1000 Rome,Fernando Verdasco,Andrey Golubev,Andrey Golubev,R64,94,0,69,54,36,34,36,80,,,,,,,49,41,2,67,65,45,45,,75,,,,,,,58,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=G806
May 5 2014,$1.876,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=BD06,Roberto Bautista Agut,ATP World Tour Masters 1000 Madrid,Fernando Verdasco,Roberto Bautista Agut,Roberto Bautista Agut,R32,121,1,76,63,66,30,66,42,,,,,,,64,34,5,72,69,54,36,,100,,,,,,,65,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=BD06
May 5 2014,$1.429,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=V306,Andreas Seppi,ATP World Tour Masters 1000 Madrid,Fernando Verdasco,Andreas Seppi,Fernando Verdasco,R64,99,2,79,67,66,32,66,30,,,,,,,67,41,4,62,67,42,32,,28,,,,,,,58,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=V306
Apr 21 2014,$1.976,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=A479,Nicolas Almagro,Barcelona,Fernando Verdasco,Nicolas Almagro,Nicolas Almagro,R16,73,2,78,54,50,13,50,25,,,,,,,53,27,4,47,86,60,46,,44,,,,,,,72,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=A479
Apr 21 2014,$1.130,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=V306,Kenny De Schepper,Barcelona,Fernando Verdasco,Kenny De Schepper,Fernando Verdasco,R32,79,1,74,70,64,34,64,57,,,,,,,68,43,3,67,65,38,30,,12,,,,,,,56,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=V306
Apr 13 2014,$2.720,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=7&p=V306,Nicolas Almagro,Houston,Fernando Verdasco,Nicolas Almagro,Fernando Verdasco,F,112,4,79,65,50,27,50,22,,,,,,,62,36,8,54,72,53,34,,14,,,,,,,63,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=7&p=V306
Apr 13 2014,$1.530,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=6&p=V306,Santiago Giraldo,Houston,Fernando Verdasco,Santiago Giraldo,Fernando Verdasco,S,92,1,73,68,52,42,52,83,,,,,,,64,46,1,56,57,48,31,,50,,,,,,,53,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=6&p=V306
Apr 13 2014,$1.377,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=5&p=V306,Donald Young,Houston,Fernando Verdasco,Donald Young,Fernando Verdasco,Q,83,5,78,68,71,35,71,100,,,,,,,68,46,0,65,64,33,32,,20,,,,,,,53,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=5&p=V306
Apr 13 2014,$1.471,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=V306,Steve Johnson,Houston,Fernando Verdasco,Steve Johnson,Fernando Verdasco,R16,95,3,65,84,54,19,54,80,,,,,,,73,41,1,49,80,37,15,,25,,,,,,,58,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=V306
Apr 13 2014,$1.377,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=D776,Thiemo de Bakker,ATP World Tour Masters 1000 Miami,Fernando Verdasco,Thiemo de Bakker,Thiemo de Bakker,R64,139,6,68,71,41,21,41,28,,,,,,,61,32,16,56,78,53,28,,36,,,,,,,67,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=D776
Mar 17 2014,$2.480,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=I186,John Isner,ATP World Tour Masters 1000 Indian Wells,Fernando Verdasco,John Isner,John Isner,R16,112,4,67,77,57,25,57,100,,,,,,,70,26,10,70,74,73,22,,33,,,,,,,73,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=I186
Mar 3 2014,$3.156,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=V306,Richard Gasquet,ATP World Tour Masters 1000 Indian Wells,Fernando Verdasco,Richard Gasquet,Fernando Verdasco,R32,98,5,78,71,56,37,56,20,,,,,,,68,41,2,64,62,50,28,,0,,,,,,,58,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=V306
Mar 3 2014,$1.218,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=V306,Horacio Zeballos,ATP World Tour Masters 1000 Indian Wells,Fernando Verdasco,Horacio Zeballos,Fernando Verdasco,R64,101,2,56,73,46,42,46,55,,,,,,,61,47,0,47,57,48,26,,75,,,,,,,52,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=V306
Mar 3 2014,$2.095,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=H355,Tommy Haas,Rotterdam,Fernando Verdasco,Tommy Haas,Tommy Haas,R32,150,10,63,69,48,29,48,57,,,,,,,62,31,2,70,70,64,30,,50,,,,,,,68,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=H355
Feb 10 2014,$1.152,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704215,Teymuraz Gabashvili,Australian Open Slam,Fernando Verdasco,Teymuraz Gabashvili,Teymuraz Gabashvili,Round of 64,211,12,60,70,54,36,54,60,56,71,15,26,181,154,64,38,2,68,64,57,30,46,29,24,51,6,10,172,141,62,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704215
Jan 13 2014,$1.112,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704129,Ze Zhang,Australian Open Slam,Fernando Verdasco,Ze Zhang,Fernando Verdasco,Round of 128,146,20,61,84,53,31,53,36,44,40,7,11,188,160,72,38,7,58,69,53,16,,20,20,48,10,17,188,155,62,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704129
Jan 7 2014,$1.245,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=H528,Victor Hanescu,Doha,Fernando Verdasco,Victor Hanescu,Victor Hanescu,R16,117,4,70,70,64,25,64,25,,,,,,,68,29,3,79,75,55,30,,66,,,,,,,70,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=H528
Dec 30 2013,$1.104,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=V306,Filippo Volandri,Doha,Fernando Verdasco,Filippo Volandri,Fernando Verdasco,R32,67,3,73,78,40,47,40,57,,,,,,,68,49,0,69,52,47,21,,16,,,,,,,50,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=V306
Dec 30 2013,$3.654,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=G628,Richard Gasquet,ATP World Tour Masters 1000 Paris,Fernando Verdasco,Richard Gasquet,Richard Gasquet,R32,161,4,71,62,47,34,47,16,,,,,,,58,30,5,67,65,78,37,,22,,,,,,,69,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=G628
Oct 28 2013,$2.690,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=V306,Ernests Gulbis,ATP World Tour Masters 1000 Paris,Fernando Verdasco,Ernests Gulbis,Fernando Verdasco,R64,114,3,58,81,55,31,55,9,,,,,,,70,39,8,59,68,48,18,,16,,,,,,,60,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=V306
Oct 28 2013,$1.273,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=P701,Michal Przysiezny,Valencia,Fernando Verdasco,Michal Przysiezny,Michal Przysiezny,R32,84,5,58,75,57,12,57,0,,,,,,,67,22,9,62,87,60,25,,50,,,,,,,77,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=P701
Oct 21 2013,$2.270,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=5&p=F401,David Ferrer,Stockholm,Fernando Verdasco,David Ferrer,David Ferrer,Q,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,,,,,,,0,0,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=5&p=F401
Oct 14 2013,$1.651,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=4&p=V306,Jarkko Nieminen,Stockholm,Fernando Verdasco,Jarkko Nieminen,Fernando Verdasco,R16,109,7,53,73,43,30,43,55,,,,,,,59,43,2,58,69,36,26,,27,,,,,,,56,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=2013&r=4&p=V306
