date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.081,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934137,James Ward,French Open Slam,Tommy Robredo,James Ward,Tommy Robredo,Round of 128,173,3,63,71,56,38,56,38,38,34,13,21,170,143,65,42,1,67,62,49,29,,30,39,46,19,30,175,135,58,35,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934137
May 12 2014,$1.636,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=K435,Philipp Kohlschreiber,ATP World Tour Masters 1000 Rome,Tommy Robredo,Philipp Kohlschreiber,Philipp Kohlschreiber,R32,79,2,76,58,35,35,35,33,,,,,,,53,34,0,68,65,66,41,,40,,,,,,,65,46,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=K435
May 12 2014,$1.443,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=R419,Juan Monaco,ATP World Tour Masters 1000 Rome,Tommy Robredo,Juan Monaco,Tommy Robredo,R64,93,1,63,60,65,42,65,100,,,,,,,61,46,1,75,57,43,40,,75,,,,,,,53,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=2&p=R419
May 5 2014,$1.711,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=BD06,Roberto Bautista Agut,ATP World Tour Masters 1000 Madrid,Tommy Robredo,Roberto Bautista Agut,Roberto Bautista Agut,R64,87,1,48,80,51,25,51,0,,,,,,,65,32,0,66,74,54,20,,50,,,,,,,67,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=BD06
Apr 21 2014,$1.752,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=C977,Marin Cilic,Barcelona,Tommy Robredo,Marin Cilic,Marin Cilic,R16,167,2,71,72,56,24,56,16,,,,,,,68,31,8,52,75,60,27,,40,,,,,,,68,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=C977
Apr 21 2014,$1.142,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=R419,Marinko Matosevic,Barcelona,Tommy Robredo,Marinko Matosevic,Tommy Robredo,R32,82,1,69,69,47,36,47,44,,,,,,,62,47,1,59,63,36,30,,40,,,,,,,52,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=R419
Apr 13 2014,$1.837,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=R975,Milos Raonic,ATP World Tour Masters 1000 Monte Carlo,Tommy Robredo,Milos Raonic,Milos Raonic,R16,73,1,67,54,87,6,87,0,,,,,,,65,22,7,54,93,58,45,,33,,,,,,,77,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=R975
Apr 13 2014,$1.241,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=R419,Julien Benneteau,ATP World Tour Masters 1000 Monte Carlo,Tommy Robredo,Julien Benneteau,Tommy Robredo,R32,92,4,70,69,73,49,73,50,,,,,,,70,51,1,81,50,38,30,,28,,,,,,,48,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=R419
Apr 13 2014,$1.329,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=R419,David Goffin,ATP World Tour Masters 1000 Monte Carlo,Tommy Robredo,David Goffin,Tommy Robredo,R64,83,3,64,67,58,36,58,36,,,,,,,64,48,1,61,63,31,32,,11,,,,,,,51,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=R419
Apr 7 2014,$1.391,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=G725,Santiago Giraldo,Houston,Tommy Robredo,Santiago Giraldo,Santiago Giraldo,R16,80,3,58,67,45,30,45,0,,,,,,,58,30,5,55,69,68,32,,50,,,,,,,69,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2014&r=4&p=G725
