p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
49,33,Pablo Cuevas,$1.123,Gilles Simon,May 27 2013,French Open Slam,Round of 64,Gilles Simon
49,58,Roberto Bautista Agut,$1.259,Roberto Bautista Agut,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Gilles Simon
54,33,Filippo Volandri,$1.050,Gilles Simon,Jan 14 2013,Australian Open Slam,Round of 128,Gilles Simon
50,43,Lleyton Hewitt,$1.155,Gilles Simon,May 27 2013,French Open Slam,Round of 128,Gilles Simon
68,39,Pablo Andujar,$1.438,Pablo Andujar,May 19 2013,Nice,Q,Gilles Simon
48,35,Lleyton Hewitt,$1.544,Gilles Simon,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Gilles Simon
68,40,Kevin Anderson,$2.809,Kevin Anderson,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Gilles Simon
53,38,Grega Zemlja,$1.240,Gilles Simon,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Gilles Simon
78,48,Tommy Haas,$2.628,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,Gilles Simon
59,45,Gael Monfils,$1.583,Gilles Simon,Jan 14 2013,Australian Open Slam,Round of 32,Gilles Simon
60,35,Jesse Levine,$1.438,Gilles Simon,Jan 14 2013,Australian Open Slam,Round of 64,Gilles Simon
52,42,Janko Tipsarevic,$1.948,Gilles Simon,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Gilles Simon
55,42,Jarkko Nieminen,$1.845,Gilles Simon,Apr 22 2013,Bucharest,R16,Gilles Simon
51,49,Benoit Paire,$1.633,Gilles Simon,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Gilles Simon
70,52,Andy Murray,$24.940,Andy Murray,Jan 14 2013,Australian Open Slam,Round of 16,Gilles Simon
68,41,Feliciano Lopez,$2.288,Feliciano Lopez,Jul 29 2013,Eastbourne,F,Gilles Simon
62,38,Milos Raonic,$3.024,Milos Raonic,May 21 2014,French Open Slam,Round of 32,Gilles Simon
68,36,Nicolas Mahut,$1.685,Gilles Simon,Oct 28 2013,ATP World Tour Masters 1000 Paris,R32,Gilles Simon
71,45,David Ferrer,$3.467,David Ferrer,Dec 30 2013,ATP World Tour Masters 1000 Paris,R16,Gilles Simon
