date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
May 21 2014,$1.116,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934117,Guillermo Garcia-Lopez,French Open Slam,Stan Wawrinka,Guillermo Garcia-Lopez,Guillermo Garcia-Lopez,Round of 128,143,5,57,54,55,25,55,43,37,62,12,25,185,144,54,37,2,50,75,51,46,45,67,23,28,10,19,181,140,63,46,http://www.tennisinsight.com/match_stats_popup.php?matchID=185934117
May 12 2014,$1.183,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=H355,Tommy Haas,ATP World Tour Masters 1000 Rome,Stan Wawrinka,Tommy Haas,Tommy Haas,R16,120,8,50,61,47,24,47,100,,,,,,,54,29,7,66,75,59,38,,35,,,,,,,70,45,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=H355
May 12 2014,$1.072,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=W367,Pere Riba,ATP World Tour Masters 1000 Rome,Stan Wawrinka,Pere Riba,Stan Wawrinka,R32,51,3,60,96,56,47,56,44,,,,,,,80,51,2,75,52,36,4,,0,,,,,,,48,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=W367
May 5 2014,$1.170,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=TB69,Dominic Thiem,ATP World Tour Masters 1000 Madrid,Stan Wawrinka,Dominic Thiem,Dominic Thiem,R32,105,7,66,68,58,21,58,18,,,,,,,64,36,1,60,78,41,31,,50,,,,,,,63,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=TB69
Apr 13 2014,$2.357,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=7&p=W367,Roger Federer,ATP World Tour Masters 1000 Monte Carlo,Stan Wawrinka,Roger Federer,Stan Wawrinka,F,134,5,58,79,56,26,56,42,,,,,,,69,35,3,66,73,44,20,,66,,,,,,,64,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=7&p=W367
Apr 13 2014,$2.347,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=6&p=W367,David Ferrer,ATP World Tour Masters 1000 Monte Carlo,Stan Wawrinka,David Ferrer,Stan Wawrinka,S,90,6,51,85,56,30,56,33,,,,,,,71,38,1,60,69,50,14,,0,,,,,,,61,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=6&p=W367
Apr 13 2014,$1.391,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=W367,Milos Raonic,ATP World Tour Masters 1000 Monte Carlo,Stan Wawrinka,Milos Raonic,Stan Wawrinka,Q,91,5,47,80,66,26,66,66,,,,,,,73,32,6,61,73,58,20,,0,,,,,,,67,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=W367
Apr 13 2014,$1.355,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=W367,Nicolas Almagro,ATP World Tour Masters 1000 Monte Carlo,Stan Wawrinka,Nicolas Almagro,Stan Wawrinka,R16,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,,,,,,,0,0,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=W367
Aug 26 2013,$4.080,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634502,Andy Murray,US Open Slam,Stan Wawrinka,Andy Murray,Stan Wawrinka,Quarter Final,135,4,55,88,59,46,59,36,45,37,31,42,189,156,75,46,5,63,54,55,12,,0,15,30,10,22,177,135,54,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634502
Aug 26 2013,$3.467,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634404,Tomas Berdych,US Open Slam,Stan Wawrinka,Tomas Berdych,Stan Wawrinka,Round of 16,167,14,58,77,53,24,53,55,36,28,11,15,175,148,67,39,3,58,76,40,23,,50,32,45,29,42,188,144,61,33,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634404
