winner,loser,tournament,winner_market_odds,loser_market_odds,winnings
Andy Murray,Roger Federer,Australian Open Slam,1.716,2.304,-1
Jeremy Chardy,Juan Martin del Potro,Australian Open Slam,16.225,1.045,-1
John Isner,Kevin Anderson,Delray Beach,1.985,1.948,0.985
Juan Martin Del Potro,Andy Murray,ATP World Tour Masters 1000 Indian Wells,2.71,1.543,-1
Andy Murray,Grigor Dimitrov,ATP World Tour Masters 1000 Miami,1.111,8.55,0.111
Richard Gasquet,Mikhail Youzhny,ATP World Tour Masters 1000 Miami,1.272,4.328,0.272
Jo-Wilfried Tsonga,Stan Wawrinka,ATP World Tour Masters 1000 Monte Carlo,2.125,1.83,-1
Ernests Gulbis,Fernando Verdasco,Barcelona,1.4,2.85,-1
Tommy Haas,Ernests Gulbis,Munich,2.139,1.82,1.139
Tomas Berdych,Kevin Anderson,ATP World Tour Masters 1000 Madrid,1.366,3.51,0.366
Tomas Berdych,Jerzy Janowicz,ATP World Tour Masters 1000 Madrid,1.351,3.611,0.351
David Ferrer,Tommy Haas,ATP World Tour Masters 1000 Madrid,1.404,3.284,0.404
Stan Wawrinka,Jo-Wilfried Tsonga,ATP World Tour Masters 1000 Madrid,1.653,2.428,0.653
Andy Murray,Gilles Simon,ATP World Tour Masters 1000 Madrid,1.212,5.209,0.212
Jeremy Chardy,Feliciano Lopez,ATP World Tour Masters 1000 Rome,1.632,2.474,-1
Kevin Anderson,Marin Cilic,ATP World Tour Masters 1000 Rome,2.757,1.528,-1
Jerzy Janowicz,Richard Gasquet,ATP World Tour Masters 1000 Rome,3.297,1.401,-1
Mikhail Youzhny,Tommy Haas,ATP World Tour Masters 1000 Rome,3.084,1.444,-1
Rafael Nadal,David Ferrer,ATP World Tour Masters 1000 Rome,1.158,6.52,0.158
Fabio Fognini,Andreas Seppi,ATP World Tour Masters 1000 Rome,1.868,2.077,-1
Philipp Kohlschreiber,Milos Raonic,ATP World Tour Masters 1000 Rome,2.737,1.535,-1
Tomas Berdych,Andy Murray,ATP World Tour Masters 1000 Madrid,2.058,1.883,-1
Novak Djokovic,Grigor Dimitrov,French Open Slam,1.093,9.817,0.093
Roger Federer,Gilles Simon,French Open Slam,1.055,14.4,0.055
Tommy Haas,Mikhail Youzhny,French Open Slam,1.823,2.135,-1
Tommy Haas,John Isner,French Open Slam,1.373,3.467,0.373
Gilles Simon,Lleyton Hewitt,French Open Slam,1.155,6.612,0.155
Rafael Nadal,Fabio Fognini,French Open Slam,1.015,31.008,0.015
Tommy Robredo,Nicolas Almagro,French Open Slam,5.047,1.221,-1
David Ferrer,Jo-Wilfried Tsonga,French Open Slam,1.682,2.367,0.682
Jo-Wilfried Tsonga,Jeremy Chardy,French Open Slam,1.276,4.29,-1
Andy Murray,Marin Cilic,London / Queen's Club,1.224,4.996,0.224
Marin Cilic,Feliciano Lopez,London / Queen's Club,1.42,2.81,0.42
Mikhail Youzhny,Richard Gasquet,Halle,2.662,1.559,-1
Roger Federer,Tommy Haas,Halle,1.367,3.501,0.367
Tommy Haas,Gael Monfils,Halle,1.426,3.166,0.426
Gael Monfils,Milos Raonic,Halle,2.73,1.51,1.73
Mikhail Youzhny,Philipp Kohlschreiber,Halle,3.131,1.433,2.131
Tomas Berdych,Kevin Anderson,Wimbledon Slam,1.208,5.287,0.208
Marin Cilic,Tomas Berdych,London / Queen's Club,3.326,1.396,2.326
Novak Djokovic,Juan Martin del Potro,Wimbledon Slam,1.155,6.625,0.155
Tommy Haas,Feliciano Lopez,Wimbledon Slam,1.515,2.801,-1
Andreas Seppi,Kei Nishikori,Wimbledon Slam,3.467,1.373,-1
Fernando Verdasco,Ernests Gulbis,Wimbledon Slam,2.447,1.644,-1
Lleyton Hewitt,Stan Wawrinka,Wimbledon Slam,2.38,1.676,-1
Andy Murray,Jerzy Janowicz,Wimbledon Slam,1.216,5.145,-1
Jerzy Janowicz,Nicolas Almagro,Wimbledon Slam,1.799,2.169,-1
Tommy Haas,Ernests Gulbis,Stuttgart,1.669,2.394,0.669
Lleyton Hewitt,John Isner,Newport,2.188,1.786,1.188
