winner,loser,winner_market_odds,loser_market_odds,winnings,
Alexandr Dolgopolov,David Ferrer,4.792,1.237,-1,
Alexandr Dolgopolov,Rafael Nadal,7.624,1.129,-1,
Alexandr Dolgopolov,Milos Raonic,2.159,1.806,-1,
Andreas Seppi,Kei Nishikori,3.467,1.373,-1,
Andreas Seppi,Mikhail Youzhny,1.948,1.985,-1,
Andy Murray,Roger Federer,1.716,2.304,-1,
Andy Murray,Jerzy Janowicz,1.216,5.145,-1,CHECK
David Ferrer,Tomas Berdych,1.976,1.958,-1,
David Ferrer,Rafael Nadal,6.609,1.155,-1,
Ernests Gulbis,Fernando Verdasco,1.4,2.85,-1,
Ernests Gulbis,Juan Martin Del Potro,3.447,1.376,-1,
Ernests Gulbis,Alexandr Dolgopolov,1.876,2.067,-1,
Ernests Gulbis,Jerzy Janowicz,1.292,4.118,-1,CHECK
Fabio Fognini,Andreas Seppi,1.868,2.077,-1,
Fabio Fognini,Gael Monfils,1.559,2.662,-1,
Fabio Fognini,Nicolas Almagro,1.806,2.159,-1,
Feliciano Lopez,Jeremy Chardy,1.806,2.159,-1,
Feliciano Lopez,Kei Nishikori,3.151,1.429,-1,
Fernando Verdasco,Ernests Gulbis,2.447,1.644,-1,
Fernando Verdasco,Jerzy Janowicz,1.786,2.187,-1,
Fernando Verdasco,Richard Gasquet,3.156,1.428,-1,
Gael Monfils,Tommy Robredo,1.611,2.523,-1,
Gael Monfils,Richard Gasquet,1.636,2.465,-1,
Gilles Simon,Jo-Wilfried Tsonga,3.222,1.415,-1,
Grigor Dimitrov,Milos Raonic,2.125,1.726,-1,
Grigor Dimitrov,Roberto Bautista Agut,1.63,2.51,-1,
Grigor Dimitrov,Andy Murray,2.861,1.498,-1,
Grigor Dimitrov,Ernests Gulbis,1.83,2.125,-1,
Grigor Dimitrov,Tomas Berdych,2.409,1.661,-1,
Grigor Dimitrov,Tommy Haas,1.467,2.98,-1,
Jeremy Chardy,Juan Martin del Potro,16.225,1.045,-1,
Jeremy Chardy,Feliciano Lopez,1.632,2.474,-1,CHECK
Jeremy Chardy,John Isner,3.151,1.429,-1,
Jeremy Chardy,Alexandr Dolgopolov,2.26,1.741,-1,
Jeremy Chardy,Alexandr Dolgopolov,1.73,2.279,-1,
Jeremy Chardy,Roger Federer,7.67,1.128,-1,
Jerzy Janowicz,Richard Gasquet,3.297,1.401,-1,
Jerzy Janowicz,Nicolas Almagro,1.799,2.169,-1,
Jerzy Janowicz,Tommy Haas,1.724,2.288,-1,
John Isner,Lleyton Hewitt,1.816,2.144,-1,
John Isner,Juan Martin Del Potro,2.962,1.472,-1,
John Isner,Milos Raonic,1.724,2.289,-1,
John Isner,Gael Monfils,1.424,3.178,-1,
John Isner,Ernests Gulbis,2.364,1.683,-1,
John Isner,Ernests Gulbis,2.27,1.735,-1,
John Isner,Fernando Verdasco,1.629,2.48,-1,
Jo-Wilfried Tsonga,Stan Wawrinka,2.125,1.83,-1,
Jo-Wilfried Tsonga,Jeremy Chardy,1.276,4.29,-1,
Jo-Wilfried Tsonga,Gael Monfils,1.543,2.712,-1,
Jo-Wilfried Tsonga,Kevin Anderson,1.397,3.323,-1,
Juan Martin Del Potro,Andy Murray,2.71,1.543,-1,
Juan Martin Del Potro,Alexandr Dolgopolov,1.231,4.879,-1,
Juan Martin Del Potro,Milos Raonic,1.724,2.289,-1,
Juan Martin Del Potro,Rafael Nadal,3.814,1.325,-1,
Juan Martin Del Potro,Philipp Kohlschreiber,1.259,4.493,-1,
Juan Martin Del Potro,Roger Federer,1.773,2.207,-1,
Kei Nishikori,Andreas Seppi,1.535,2.737,-1,
Kei Nishikori,Jo-Wilfried Tsonga,3.026,1.456,-1,
Kei Nishikori,Roger Federer,5.973,1.177,-1,
Kevin Anderson,Marin Cilic,2.757,1.528,-1,
Kevin Anderson,Mikhail Youzhny,2.727,1.538,-1,
Kevin Anderson,Alexandr Dolgopolov,2.752,1.53,-1,
Kevin Anderson,David Ferrer,3.555,1.359,-1,
Kevin Anderson,Lleyton Hewitt,1.376,3.444,-1,
Kevin Anderson,Stan Wawrinka,4.426,1.264,-1,
Lleyton Hewitt,Stan Wawrinka,2.38,1.676,-1,
Lleyton Hewitt,Tommy Haas,2.579,1.589,-1,
Lleyton Hewitt,Feliciano Lopez,1.55,2.69,-1,
Lleyton Hewitt,Roger Federer,6.053,1.174,-1,
Marin Cilic,Andy Murray,2.752,1.53,-1,
Mikhail Youzhny,Tommy Haas,3.084,1.444,-1,
Mikhail Youzhny,Richard Gasquet,2.662,1.559,-1,
Mikhail Youzhny,Lleyton Hewitt,1.594,2.567,-1,
Mikhail Youzhny,Alexandr Dolgopolov,1.646,2.442,-1,
Milos Raonic,Jeremy Chardy,1.272,4.33,-1,
Nicolas Almagro,Fabio Fognini,1.445,3.075,-1,
Nicolas Almagro,Rafael Nadal,7.041,1.143,-1,
Philipp Kohlschreiber,Milos Raonic,2.737,1.535,-1,
Philipp Kohlschreiber,Tommy Haas,2.364,1.683,-1,
Philipp Kohlschreiber,Andreas Seppi,1.799,2.168,-1,
Philipp Kohlschreiber,Tommy Haas,2.322,1.706,-1,
Philipp Kohlschreiber,Jerzy Janowicz,1.868,2.077,-1,
Rafael Nadal,Ernests Gulbis,1.237,4.792,-1,
Richard Gasquet,Kei Nishikori,1.479,2.933,-1,
Richard Gasquet,Fernando Verdasco,1.345,3.654,-1,
Richard Gasquet,Kevin Anderson,1.859,2.087,-1,
Roberto Bautista Agut,Grigor Dimitrov,2.407,1.663,-1,
Roberto Bautista Agut,Tomas Berdych,6.888,1.147,-1,
Roberto Bautista Agut,Jerzy Janowicz,1.764,2.221,-1,
Roberto Bautista Agut,Tommy Robredo,2.312,1.711,-1,
Roberto Bautista Agut,Fernando Verdasco,2.067,1.876,-1,
Roger Federer,Tomas Berdych,1.719,2.298,-1,
Roger Federer,Novak Djokovic,3.738,1.334,-1,
Stan Wawrinka,Tomas Berdych,3.467,1.373,-1,
Stan Wawrinka,Feliciano Lopez,1.359,3.557,-1,
Stan Wawrinka,Tommy Robredo,1.358,3.191,-1,
Stan Wawrinka,Novak Djokovic,7.979,1.081,-1,
Stan Wawrinka,Roger Federer,2.357,1.687,-1,
Tomas Berdych,Andy Murray,2.058,1.883,-1,
Tomas Berdych,Tommy Robredo,1.224,4.996,-1,
Tomas Berdych,David Ferrer,1.554,2.46,-1,CHECK
Tomas Berdych,Jerzy Janowicz,1.366,3.51,-1,
Tommy Haas,Mikhail Youzhny,1.823,2.135,-1,CHECK
Tommy Haas,Feliciano Lopez,1.515,2.801,-1,
Tommy Haas,Kei Nishikori,2.828,1.507,-1,
Tommy Haas,Jeremy Chardy,2.014,1.922,-1,
