player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Grigor Dimitrov,Andy Murray,Andy Murray,Dec 31 2012,Brisbane,F,$6.349,$1.165,0,-0.02,0,1
Gael Monfils,Philipp Kohlschreiber,Gael Monfils,Dec 31 2012,Doha,R16,$2.462,$1.634,-0.05,-0.04,10,1
Andy Murray,Kei Nishikori,Andy Murray,Dec 31 2012,Brisbane,S,$1.260,$4.522,0,0,0,0
Kei Nishikori,Andy Murray,Andy Murray,Dec 31 2012,Brisbane,S,$4.522,$1.260,0,0,0,0
Kei Nishikori,Alexandr Dolgopolov,Kei Nishikori,Dec 31 2012,Brisbane,Q,$1.715,$2.330,0,0,0,0
Kei Nishikori,Tommy Robredo,Kei Nishikori,Dec 31 2012,Brisbane,R16,$1.278,$4.228,0,-0.74,0,5
Tommy Robredo,Kei Nishikori,Kei Nishikori,Dec 31 2012,Brisbane,R16,$4.228,$1.278,-0.74,0,5,0
Alexandr Dolgopolov,Kei Nishikori,Kei Nishikori,Dec 31 2012,Brisbane,Q,$2.330,$1.715,0,0,0,0
Philipp Kohlschreiber,Gael Monfils,Gael Monfils,Dec 31 2012,Doha,R16,$1.634,$2.462,-0.04,-0.05,1,10
Kevin Anderson,Feliciano Lopez,Kevin Anderson,Jan 7 2013,Sydney,R16,$1.406,$3.253,0,0.09,0,1
Jeremy Chardy,Feliciano Lopez,Feliciano Lopez,Jan 7 2013,Sydney,R32,$1.995,$1.923,0.26,0,2,0
Tommy Haas,Gael Monfils,Gael Monfils,Jan 7 2013,Auckland,Q,$1.686,$2.380,0,-0.05,0,1
Gael Monfils,Tommy Haas,Gael Monfils,Jan 7 2013,Auckland,Q,$2.380,$1.686,-0.05,0,1,0
Feliciano Lopez,Jeremy Chardy,Feliciano Lopez,Jan 7 2013,Sydney,R32,$1.923,$1.995,0,0.26,0,2
