p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
67.0,38.0,Andy Murray,$6.349,Andy Murray,Dec 31 2012,Brisbane,F,Grigor Dimitrov,false,83.0,cluster_1,0,0
74.0,21.0,Milos Raonic,$2.868,Grigor Dimitrov,Dec 31 2012,Brisbane,R16,Grigor Dimitrov,false,86.0,cluster_0,0,0
65.0,38.0,Philipp Kohlschreiber,$2.462,Gael Monfils,Dec 31 2012,Doha,R16,Gael Monfils,false,78.0,cluster_4,-0.05,10
50.0,26.0,Kei Nishikori,$1.260,Andy Murray,Dec 31 2012,Brisbane,S,Andy Murray,false,59.0,cluster_4,0,0
73.0,50.0,Andy Murray,$4.522,Andy Murray,Dec 31 2012,Brisbane,S,Kei Nishikori,false,80.0,cluster_1,0,0
65.0,25.0,Alexandr Dolgopolov,$1.715,Kei Nishikori,Dec 31 2012,Brisbane,Q,Kei Nishikori,false,81.0,cluster_0,0,0
56.0,28.0,Tommy Robredo,$1.278,Kei Nishikori,Dec 31 2012,Brisbane,R16,Kei Nishikori,false,82.0,cluster_2,0,0
71.0,43.0,Kei Nishikori,$4.228,Kei Nishikori,Dec 31 2012,Brisbane,R16,Tommy Robredo,false,78.0,cluster_4,-0.74,5
58.0,41.0,Tomas Berdych,$11.404,Roberto Bautista Agut,Dec 31 2012,Chennai,Q,Roberto Bautista Agut,false,27.0,cluster_2,0,0
74.0,34.0,Kei Nishikori,$2.330,Kei Nishikori,Dec 31 2012,Brisbane,Q,Alexandr Dolgopolov,false,63.0,cluster_2,0,0
61.0,34.0,Gael Monfils,$1.634,Gael Monfils,Dec 31 2012,Doha,R16,Philipp Kohlschreiber,false,24.0,cluster_0,-0.04,1
61,23,Feliciano Lopez,$1.406,Kevin Anderson,Jan 7 2013,Sydney,R16,Kevin Anderson,FALSE,78,cluster_2,0,0
70,37,Feliciano Lopez,$1.995,Feliciano Lopez,Jan 7 2013,Sydney,R32,Jeremy Chardy,FALSE,53,cluster_3,0.26,2
77.0,48.0,Fabio Fognini,$1.288,Fabio Fognini,Jan 7 2013,Sydney,R32,Grigor Dimitrov,false,82.0,cluster_3,0,0
62.0,32.0,Gael Monfils,$1.686,Gael Monfils,Jan 7 2013,Auckland,Q,Tommy Haas,false,90.0,cluster_4,0,0
67.0,37.0,Tommy Haas,$2.380,Gael Monfils,Jan 7 2013,Auckland,Q,Gael Monfils,false,74.0,cluster_4,-0.05,1
