player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Grigor Dimitrov,Andy Murray,Andy Murray,Dec 31 2012,Brisbane,F,$6.349,$1.165,0,-0.02,0,1
Kei Nishikori,Andy Murray,Andy Murray,Dec 31 2012,Brisbane,S,$4.522,$1.260,0,0,0,0
Kei Nishikori,Alexandr Dolgopolov,Kei Nishikori,Dec 31 2012,Brisbane,Q,$1.715,$2.330,0,0,0,0
Tommy Robredo,Kei Nishikori,Kei Nishikori,Dec 31 2012,Brisbane,R16,$4.228,$1.278,-0.74,0,5,0
Philipp Kohlschreiber,Gael Monfils,Gael Monfils,Dec 31 2012,Doha,R16,$1.634,$2.462,-0.04,-0.05,1,10
Kevin Anderson,Feliciano Lopez,Kevin Anderson,Jan 7 2013,Sydney,R16,$1.406,$3.253,0,0.09,0,1
Jeremy Chardy,Feliciano Lopez,Feliciano Lopez,Jan 7 2013,Sydney,R32,$1.995,$1.923,0.26,0,2,0
Tommy Haas,Gael Monfils,Gael Monfils,Jan 7 2013,Auckland,Q,$1.686,$2.380,0,-0.05,0,1
Kevin Anderson,Fernando Verdasco,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 32,$1.812,$2.167,0.16,-0.32,1,2
Jeremy Chardy,Andy Murray,Andy Murray,Jan 14 2013,Australian Open Slam,Quarter Final,$12.323,$1.069,0.99,-0.03,7,1
Jeremy Chardy,Andreas Seppi,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 16,$2.590,$1.585,0.19,0.01,3,1
Marin Cilic,Andreas Seppi,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,$1.437,$3.114,0.35,0,2,0
Roger Federer,Andy Murray,Andy Murray,Jan 14 2013,Australian Open Slam,Semi Final,$2.304,$1.716,0.16,0.4,2,10
Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,$1.200,$5.448,0,-0.1,0,1
Roger Federer,Milos Raonic,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,$1.139,$7.186,0,0,0,0
Richard Gasquet,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,$2.837,$1.515,0.1,0,1,0
Gael Monfils,Alexandr Dolgopolov,Gael Monfils,Jan 14 2013,Australian Open Slam,Round of 128,$2.474,$1.632,0,0.16,0,1
