p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
59,29,Sam Querrey,$2.076,Nicolas Almagro,Oct 21 2012,Valencia,R16,Nicolas Almagro,FALSE,86,cluster_4
53,41,Juan Carlos Ferrero,$1.181,Nicolas Almagro,Oct 21 2012,Valencia,R32,Nicolas Almagro,FALSE,88,cluster_4
70,42,Tomas Berdych,$4.350,Tomas Berdych,Oct 21 2012,Stockholm,S,Nicolas Almagro,FALSE,89,cluster_3
61,30,Albert Ramos,$1.277,Nicolas Almagro,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,Nicolas Almagro,FALSE,82,cluster_4
74,34,David Ferrer,$3.710,David Ferrer,Oct 29 2012,Valencia,Q,Nicolas Almagro,FALSE,85,cluster_1
76,27,Jo-Wilfried Tsonga,$5.111,Jo-Wilfried Tsonga,Nov 16 2012,ATP World Tour Masters 1000 Paris,R16,Nicolas Almagro,FALSE,81,cluster_1
65,41,David Ferrer,$5.608,David Ferrer,Feb 1 2013,Australian Open Slam,Quarter Final,Nicolas Almagro,FALSE,69,cluster_3
46,26,Janko Tipsarevic,$1.775,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 16,Nicolas Almagro,FALSE,73,cluster_0
69,20,Jerzy Janowicz,$1.406,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 32,Nicolas Almagro,FALSE,74,cluster_2
54,31,Daniel Gimeno-Traver,$1.096,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 64,Nicolas Almagro,FALSE,77,cluster_4
62,27,Steve Johnson,$1.184,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 128,Nicolas Almagro,FALSE,78,cluster_4
70,28,David Nalbandian,$1.349,David Nalbandian,Feb 11 2013,Sao Paulo,Q,Nicolas Almagro,FALSE,64,cluster_1
58,31,Paul Capdeville,$1.138,Nicolas Almagro,Feb 11 2013,Sao Paulo,R16,Nicolas Almagro,FALSE,65,cluster_4
78,32,Stan Wawrinka,$1.755,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,Nicolas Almagro,FALSE,55,cluster_1
65,15,Federico Delbonis,$1.244,Nicolas Almagro,Feb 18 2013,Buenos Aires,Q,Nicolas Almagro,FALSE,58,cluster_2
59,30,Andrey Kuznetsov,$1.130,Nicolas Almagro,Feb 18 2013,Buenos Aires,R16,Nicolas Almagro,FALSE,59,cluster_4
50,25,Guido Pella,$1.137,Nicolas Almagro,Feb 18 2013,Buenos Aires,R32,Nicolas Almagro,FALSE,60,cluster_0
65,35,Rafael Nadal,$5.047,Rafael Nadal,Feb 25 2013,Acapulco,S,Nicolas Almagro,FALSE,50,cluster_1
61,16,Horacio Zeballos,$1.255,Nicolas Almagro,Feb 25 2013,Acapulco,Q,Nicolas Almagro,FALSE,53,cluster_2
58,31,Tommy Robredo,$1.160,Nicolas Almagro,Feb 25 2013,Acapulco,R16,Nicolas Almagro,FALSE,54,cluster_4
68,36,Tommy Haas,$1.653,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Nicolas Almagro,FALSE,47,cluster_1
56,31,Daniel Gimeno-Traver,$1.123,Nicolas Almagro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Nicolas Almagro,FALSE,48,cluster_4
69,40,Richard Gasquet,$2.106,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Nicolas Almagro,FALSE,40,cluster_3
58,35,David Goffin,$1.192,Nicolas Almagro,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Nicolas Almagro,FALSE,43,cluster_4
48,20,Guido Pella,$1.089,Nicolas Almagro,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Nicolas Almagro,FALSE,44,cluster_0
68,37,John Isner,$1.279,John Isner,Apr 8 2013,Houston,F,Nicolas Almagro,FALSE,32,cluster_1
59,30,Paolo Lorenzi,$1.119,Nicolas Almagro,Apr 8 2013,Houston,Q,Nicolas Almagro,FALSE,35,cluster_4
54,32,Gael Monfils,$1.228,Nicolas Almagro,Apr 8 2013,Houston,R16,Nicolas Almagro,FALSE,39,cluster_4
67,35,Jurgen Melzer,$1.166,Jurgen Melzer,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Nicolas Almagro,FALSE,30,cluster_1
54,33,David Goffin,$1.183,Nicolas Almagro,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Nicolas Almagro,FALSE,31,cluster_4
64,44,Rafael Nadal,$8.289,Rafael Nadal,Apr 22 2013,Barcelona,F,Nicolas Almagro,FALSE,22,cluster_3
45,23,Philipp Kohlschreiber,$1.255,Nicolas Almagro,Apr 22 2013,Barcelona,S,Nicolas Almagro,FALSE,23,cluster_0
64,35,Juan Monaco,$1.639,Nicolas Almagro,Apr 22 2013,Barcelona,Q,Nicolas Almagro,FALSE,25,cluster_4
58,38,Marcel Granollers,$1.209,Nicolas Almagro,Apr 22 2013,Barcelona,R16,Nicolas Almagro,FALSE,26,cluster_4
55,29,Ivan Dodig,$1.116,Nicolas Almagro,Apr 22 2013,Barcelona,R32,Nicolas Almagro,FALSE,29,cluster_4
72,31,Julien Benneteau,$0,Julien Benneteau,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Nicolas Almagro,FALSE,16,cluster_1
59,34,Mikhail Youzhny,$1.238,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Madrid,R32,Nicolas Almagro,FALSE,17,cluster_4
57,20,Tobias Kamke,$1.068,Nicolas Almagro,May 12 2013,ATP World Tour Masters 1000 Madrid,R64,Nicolas Almagro,FALSE,18,cluster_2
62,39,Tommy Robredo,$1.221,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,Nicolas Almagro,FALSE,10,cluster_3
54,26,Andreas Seppi,$1.219,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,Nicolas Almagro,FALSE,11,cluster_0
61,35,Edouard Roger-Vasselin,$1.207,Nicolas Almagro,May 27 2013,French Open Slam,Round of 64,Nicolas Almagro,FALSE,14,cluster_4
67,27,Andreas Haider-Maurer,$1.064,Nicolas Almagro,May 27 2013,French Open Slam,Round of 128,Nicolas Almagro,FALSE,15,cluster_1
66,27,Guillaume Rufin,$1.185,Nicolas Almagro,Jun 24 2013,Wimbledon Slam,Round of 64,Nicolas Almagro,FALSE,7,cluster_1
63,13,Jurgen Zopp,$1.070,Nicolas Almagro,Jun 24 2013,Wimbledon Slam,Round of 128,Nicolas Almagro,FALSE,8,cluster_2
78,38,Jerzy Janowicz,$2.169,Jerzy Janowicz,Jul 8 2013,Wimbledon Slam,Round of 32,Nicolas Almagro,FALSE,87,cluster_1
53,41,Juan Monaco,$1.513,Nicolas Almagro,Jul 15 2013,Hamburg,Q,Nicolas Almagro,FALSE,79,cluster_4
54,26,Guillermo Garcia-Lopez,$1.224,Nicolas Almagro,Jul 15 2013,Hamburg,R16,Nicolas Almagro,FALSE,80,cluster_0
50,19,Tobias Kamke,$1.192,Nicolas Almagro,Jul 15 2013,Hamburg,R32,Nicolas Almagro,FALSE,83,cluster_0
60,42,Fernando Verdasco,$1.724,Fernando Verdasco,Jul 15 2013,Bastad,Q,Nicolas Almagro,FALSE,84,cluster_3
63,43,Fabio Fognini,$1.773,Fabio Fognini,Aug 5 2013,Hamburg,S,Nicolas Almagro,FALSE,76,cluster_3
64,40,Radek Stepanek,$1.695,Radek Stepanek,Aug 12 2013,ATP World Tour Masters 1000 Canada,R64,Nicolas Almagro,FALSE,75,cluster_3
67,37,Grigor Dimitrov,$1.860,Grigor Dimitrov,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R64,Nicolas Almagro,FALSE,72,cluster_3
68,44,Denis Istomin,$1.528,Denis Istomin,Sep 23 2013,US Open Slam,Round of 128,Nicolas Almagro,FALSE,71,cluster_3
60,36,Kei Nishikori,$2.691,Nicolas Almagro,Sep 30 2013,Tokyo,Q,Nicolas Almagro,FALSE,66,cluster_4
57,14,Horacio Zeballos,$1.192,Nicolas Almagro,Sep 30 2013,Tokyo,R16,Nicolas Almagro,FALSE,67,cluster_2
67,12,Benjamin Becker,$1.589,Nicolas Almagro,Sep 30 2013,Tokyo,R32,Nicolas Almagro,FALSE,68,cluster_2
64,45,Adrian Mannarino,$1.464,Adrian Mannarino,Sep 30 2013,Kuala Lumpur,R16,Nicolas Almagro,FALSE,70,cluster_3
70,26,Tomas Berdych,$3.334,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R16,Nicolas Almagro,FALSE,57,cluster_1
62,21,Jeremy Chardy,$1.417,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Nicolas Almagro,FALSE,61,cluster_2
58,16,Go Soeda,$1.255,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,Nicolas Almagro,FALSE,62,cluster_2
75,29,Juan Martin Del Potro,$4.033,Juan Martin Del Potro,Oct 6 2013,Tokyo,S,Nicolas Almagro,FALSE,63,cluster_1
53,34,Fabio Fognini,$1.445,Nicolas Almagro,Oct 21 2013,Valencia,Q,Nicolas Almagro,FALSE,49,cluster_4
60,25,Michal Przysiezny,$1.216,Nicolas Almagro,Oct 21 2013,Valencia,R16,Nicolas Almagro,FALSE,51,cluster_4
48,23,Pablo Andujar,$1.095,Nicolas Almagro,Oct 21 2013,Valencia,R32,Nicolas Almagro,FALSE,52,cluster_0
76,40,Juan Martin Del Potro,$3.014,Juan Martin Del Potro,Oct 21 2013,ATP World Tour Masters 1000 Shanghai,Q,Nicolas Almagro,FALSE,56,cluster_1
66,51,Stan Wawrinka,$2.528,Stan Wawrinka,Jan 13 2014,ATP World Tour Masters 1000 Paris,R16,Nicolas Almagro,FALSE,45,cluster_3
62,27,Ivan Dodig,$1.845,Nicolas Almagro,Jan 13 2014,ATP World Tour Masters 1000 Paris,R32,Nicolas Almagro,FALSE,46,cluster_4
58,34,Fabio Fognini,$2.159,Fabio Fognini,Feb 3 2014,Vina del Mar,S,Nicolas Almagro,FALSE,38,cluster_4
54,19,Taro Daniel,$1.113,Nicolas Almagro,Feb 3 2014,Vina del Mar,Q,Nicolas Almagro,FALSE,41,cluster_0
65,18,Martin Alund,$1.217,Nicolas Almagro,Feb 3 2014,Vina del Mar,R16,Nicolas Almagro,FALSE,42,cluster_2
63,45,David Ferrer,$3.571,David Ferrer,Feb 10 2014,Buenos Aires,S,Nicolas Almagro,FALSE,33,cluster_3
59,35,Jeremy Chardy,$1.424,Nicolas Almagro,Feb 10 2014,Buenos Aires,Q,Nicolas Almagro,FALSE,34,cluster_4
66,39,Daniel Gimeno-Traver,$1.199,Nicolas Almagro,Feb 10 2014,Buenos Aires,R16,Nicolas Almagro,FALSE,36,cluster_3
57,29,Horacio Zeballos,$1.183,Nicolas Almagro,Feb 10 2014,Buenos Aires,R32,Nicolas Almagro,FALSE,37,cluster_4
64,44,Alexandr Dolgopolov,$1.334,Alexandr Dolgopolov,Feb 17 2014,Rio de Janeiro,R32,Nicolas Almagro,FALSE,28,cluster_3
68,34,Federico Delbonis,$1.388,Federico Delbonis,Feb 24 2014,Sao Paulo,R16,Nicolas Almagro,FALSE,27,cluster_1
73,31,John Isner,$2.317,John Isner,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Nicolas Almagro,FALSE,21,cluster_1
64,20,Sam Querrey,$1.780,Nicolas Almagro,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Nicolas Almagro,FALSE,24,cluster_2
62,36,Fernando Verdasco,$1.540,Fernando Verdasco,Apr 7 2014,Houston,F,Nicolas Almagro,FALSE,13,cluster_4
57,12,Jack Sock,$1.258,Nicolas Almagro,Apr 7 2014,Houston,Q,Nicolas Almagro,FALSE,19,cluster_2
51,30,Michael Russell,$1.096,Nicolas Almagro,Apr 7 2014,Houston,R16,Nicolas Almagro,FALSE,20,cluster_0
63,31,Nicolas Mahut,$1.128,Nicolas Almagro,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Nicolas Almagro,FALSE,9,cluster_4
52,28,Paul-Henri Mathieu,$1.351,Nicolas Almagro,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Nicolas Almagro,FALSE,12,cluster_0
68,37,Santiago Giraldo,$1.244,Santiago Giraldo,Apr 21 2014,Barcelona,S,Nicolas Almagro,FALSE,3,cluster_1
62,43,Rafael Nadal,$7.041,Nicolas Almagro,Apr 21 2014,Barcelona,Q,Nicolas Almagro,FALSE,4,cluster_3
53,27,Fernando Verdasco,$1.957,Nicolas Almagro,Apr 21 2014,Barcelona,R16,Nicolas Almagro,FALSE,5,cluster_0
59,28,Martin Klizan,$1.261,Nicolas Almagro,Apr 21 2014,Barcelona,R32,Nicolas Almagro,FALSE,6,cluster_4
63,37,Andy Murray,$2.014,Andy Murray,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Nicolas Almagro,FALSE,1,cluster_3
66,28,Andrey Golubev,$1.165,Nicolas Almagro,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Nicolas Almagro,FALSE,2,cluster_1
