p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
66,36,Alejandro Falla,$1.069,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Tomas Berdych,FALSE,83,cluster_4
64,31,Daniel Gimeno-Traver,$1.042,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Tomas Berdych,FALSE,84,cluster_1
65,40,Rafael Nadal,$2.809,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,S,Tomas Berdych,FALSE,85,cluster_4
62,30,Kevin Anderson,$1.229,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Tomas Berdych,FALSE,86,cluster_1
70,39,Richard Gasquet,$1.446,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,Tomas Berdych,FALSE,81,cluster_4
45,28,Sam Querrey,$1.335,Tomas Berdych,Apr 15 2013,ATP World Tour Masters 1000 Miami,R16,Tomas Berdych,FALSE,82,cluster_0
67,48,Fabio Fognini,$1.276,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Tomas Berdych,FALSE,79,cluster_4
54,39,Marcel Granollers,$1.136,Tomas Berdych,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Tomas Berdych,FALSE,80,cluster_3
60,36,Kevin Anderson,$1.366,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Tomas Berdych,FALSE,75,cluster_3
64,38,Jerzy Janowicz,$1.351,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Tomas Berdych,FALSE,76,cluster_4
62,36,Tommy Robredo,$1.469,Tommy Robredo,May 5 2013,Barcelona,R16,Tomas Berdych,FALSE,77,cluster_4
56,45,Nikolay Davydenko,$1.454,Tomas Berdych,May 5 2013,Barcelona,R32,Tomas Berdych,FALSE,78,cluster_3
64,36,Novak Djokovic,$5.701,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,Tomas Berdych,FALSE,70,cluster_4
58,30,Kevin Anderson,$1.325,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,Tomas Berdych,FALSE,71,cluster_1
50,23,Denis Istomin,$1.138,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R32,Tomas Berdych,FALSE,72,cluster_2
63,31,Stan Wawrinka,$1.939,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,Tomas Berdych,FALSE,73,cluster_1
58,37,Andy Murray,$2.058,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Madrid,Q,Tomas Berdych,FALSE,74,cluster_3
57,21,Grega Zemlja,$1.096,Tomas Berdych,Jun 10 2013,London / Queen's Club,R16,Tomas Berdych,FALSE,67,cluster_2
54,28,Thiemo de Bakker,$1.129,Tomas Berdych,Jun 10 2013,London / Queen's Club,R32,Tomas Berdych,FALSE,68,cluster_2
