p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
59,31,Julian Reister,$1.453,Jeremy Chardy,Jul 16 2012,Hamburg,R16,Jeremy Chardy,FALSE,91,cluster_4
57,27,Albert Montanes,$1.677,Jeremy Chardy,Jul 16 2012,Hamburg,R32,Jeremy Chardy,FALSE,92,cluster_4
68,32,Edouard Roger-Vasselin,$1.483,Jeremy Chardy,Jul 30 2012,Washington,R32,Jeremy Chardy,FALSE,89,cluster_3
67,48,Juan Monaco,$3.862,Juan Monaco,Jul 30 2012,Hamburg,Q,Jeremy Chardy,FALSE,90,cluster_0
72,28,Jo-Wilfried Tsonga,$6.349,Jeremy Chardy,Aug 6 2012,ATP World Tour Masters 1000 Canada,R32,Jeremy Chardy,FALSE,85,cluster_1
52,37,Donald Young,$1.423,Jeremy Chardy,Aug 6 2012,ATP World Tour Masters 1000 Canada,R64,Jeremy Chardy,FALSE,86,cluster_2
78,44,Xavier Malisse,$2.583,Xavier Malisse,Aug 6 2012,Washington,R16,Jeremy Chardy,FALSE,88,cluster_1
56,40,Andy Murray,$14.195,Jeremy Chardy,Aug 13 2012,ATP World Tour Masters 1000 Cincinnati,R16,Jeremy Chardy,FALSE,77,cluster_2
56,30,Denis Istomin,$2.827,Jeremy Chardy,Aug 13 2012,ATP World Tour Masters 1000 Cincinnati,R32,Jeremy Chardy,FALSE,78,cluster_4
60,24,Andy Roddick,$4.705,Jeremy Chardy,Aug 13 2012,ATP World Tour Masters 1000 Cincinnati,R64,Jeremy Chardy,FALSE,79,cluster_4
61,50,Marcel Granollers,$2.157,Marcel Granollers,Aug 13 2012,ATP World Tour Masters 1000 Canada,R16,Jeremy Chardy,FALSE,84,cluster_0
54,28,Matthew Ebden,$1.376,Jeremy Chardy,Aug 27 2012,US Open Slam,Round of 64,Jeremy Chardy,FALSE,70,cluster_4
60,20,Filippo Volandri,$1.051,Jeremy Chardy,Aug 27 2012,US Open Slam,Round of 128,Jeremy Chardy,FALSE,73,cluster_4
74,48,Juan Martin Del Potro,$3.395,Juan Martin Del Potro,Aug 27 2012,ATP World Tour Masters 1000 Cincinnati,Q,Jeremy Chardy,FALSE,74,cluster_0
59,22,Yuichi Sugita,$1.300,Jeremy Chardy,Oct 1 2012,Tokyo,R32,Jeremy Chardy,FALSE,67,cluster_4
70,38,Martin Klizan,$1.677,Martin Klizan,Oct 1 2012,US Open Slam,Round of 32,Jeremy Chardy,FALSE,69,cluster_3
71,43,Alexandr Dolgopolov,$2.391,Alexandr Dolgopolov,Oct 22 2012,ATP World Tour Masters 1000 Shanghai,R64,Jeremy Chardy,FALSE,63,cluster_0
74,26,Stan Wawrinka,$3.172,Stan Wawrinka,Oct 22 2012,Tokyo,R16,Jeremy Chardy,FALSE,66,cluster_1
