p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
70,42,Janko Tipsarevic,$1.769,Janko Tipsarevic,Aug 6 2012,ATP World Tour Masters 1000 Canada,R16,Marin Cilic,FALSE,87,cluster_2
56,35,Marcos Baghdatis,$1.580,Marin Cilic,Aug 6 2012,ATP World Tour Masters 1000 Canada,R32,Marin Cilic,FALSE,88,cluster_1
74,48,Novak Djokovic,$7.892,Novak Djokovic,Aug 13 2012,ATP World Tour Masters 1000 Cincinnati,Q,Marin Cilic,FALSE,83,cluster_2
48,39,Pablo Andujar,$1.162,Marin Cilic,Aug 13 2012,ATP World Tour Masters 1000 Cincinnati,R16,Marin Cilic,FALSE,84,cluster_1
61,32,Jesse Levine,$1.162,Marin Cilic,Aug 13 2012,ATP World Tour Masters 1000 Cincinnati,R32,Marin Cilic,FALSE,85,cluster_1
60,32,Sergiy Stakhovsky,$1.231,Marin Cilic,Aug 13 2012,ATP World Tour Masters 1000 Cincinnati,R64,Marin Cilic,FALSE,86,cluster_1
61,48,Andy Murray,$6.430,Andy Murray,Aug 27 2012,US Open Slam,Quarter Final,Marin Cilic,FALSE,78,cluster_2
53,36,Martin Klizan,$1.289,Marin Cilic,Aug 27 2012,US Open Slam,Round of 16,Marin Cilic,FALSE,79,cluster_1
63,30,Kei Nishikori,$2.238,Marin Cilic,Aug 27 2012,US Open Slam,Round of 32,Marin Cilic,FALSE,80,cluster_4
61,25,Daniel Brands,$1.053,Marin Cilic,Aug 27 2012,US Open Slam,Round of 64,Marin Cilic,FALSE,81,cluster_4
60,35,Marinko Matosevic,$1.085,Marin Cilic,Aug 27 2012,US Open Slam,Round of 128,Marin Cilic,FALSE,82,cluster_1
59,39,Marius Copil,$1.048,Marius Copil,Oct 1 2012,Beijing,R32,Marin Cilic,FALSE,77,cluster_1
61,51,Roger Federer,$6.968,Roger Federer,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,Q,Marin Cilic,FALSE,73,cluster_2
59,31,Fernando Verdasco,$1.705,Marin Cilic,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R16,Marin Cilic,FALSE,74,cluster_1
50,37,Martin Klizan,$1.343,Marin Cilic,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,Marin Cilic,FALSE,75,cluster_1
55,35,Lukasz Kubot,$1.203,Marin Cilic,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R64,Marin Cilic,FALSE,76,cluster_1
61,45,Ivan Dodig,$1.264,Ivan Dodig,Oct 21 2012,Valencia,Q,Marin Cilic,FALSE,70,cluster_2
51,24,Fernando Verdasco,$1.623,Marin Cilic,Oct 21 2012,Valencia,R16,Marin Cilic,FALSE,71,cluster_3
53,38,Martin Klizan,$1.257,Marin Cilic,Oct 21 2012,Valencia,R32,Marin Cilic,FALSE,72,cluster_1
81,35,Jerzy Janowicz,$1.350,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,Marin Cilic,FALSE,69,cluster_0
59,37,Benoit Paire,$1.369,Benoit Paire,Dec 31 2012,Chennai,Q,Marin Cilic,FALSE,67,cluster_1
61,26,Sergiy Stakhovsky,$1.231,Marin Cilic,Dec 31 2012,Chennai,R16,Marin Cilic,FALSE,68,cluster_4
