p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
76.0,20.0,Kevin Anderson,$1.577,John Isner,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,John Isner,false,86.0,cluster_0
61.0,24.0,Fabio Fognini,$1.199,John Isner,Oct 21 2012,Valencia,R32,John Isner,false,84.0,cluster_4
75.0,33.0,Radek Stepanek,$1.611,Radek Stepanek,Oct 21 2012,ATP World Tour Masters 1000 Shanghai,R16,John Isner,false,85.0,cluster_1
70.0,31.0,David Goffin,$1.369,David Goffin,Oct 29 2012,Valencia,R16,John Isner,false,83.0,cluster_3
77.0,33.0,Michael Llodra,$1.634,Michael Llodra,Dec 31 2012,ATP World Tour Masters 1000 Paris,R32,John Isner,false,82.0,cluster_1
74.0,34.0,Ryan Harrison,$1.720,Ryan Harrison,Jan 14 2013,Sydney,R16,John Isner,false,81.0,cluster_1
80.0,35.0,Tommy Haas,$2.207,Tommy Haas,Feb 11 2013,San Jose,S,John Isner,false,78.0,cluster_1
70.0,22.0,Xavier Malisse,$1.426,John Isner,Feb 11 2013,San Jose,Q,John Isner,false,79.0,cluster_0
69.0,27.0,Vasek Pospisil,$1.367,John Isner,Feb 11 2013,San Jose,R16,John Isner,false,80.0,cluster_0
66.0,41.0,Edouard Roger-Vasselin,$1.237,Edouard Roger-Vasselin,Feb 25 2013,Delray Beach,S,John Isner,false,74.0,cluster_2
60.0,23.0,Kevin Anderson,$1.985,John Isner,Feb 25 2013,Delray Beach,Q,John Isner,false,75.0,cluster_4
63.0,14.0,Go Soeda,$1.294,John Isner,Feb 25 2013,Delray Beach,R16,John Isner,false,76.0,cluster_4
68.0,33.0,Jesse Levine,$1.447,John Isner,Feb 25 2013,Delray Beach,R32,John Isner,false,77.0,cluster_3
69.0,33.0,Lleyton Hewitt,$1.479,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,John Isner,false,73.0,cluster_3
77.0,38.0,Marin Cilic,$2.557,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,John Isner,false,71.0,cluster_2
66.0,29.0,Ivan Dodig,$1.571,John Isner,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,John Isner,false,72.0,cluster_3
