p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
59.0,32.0,Stan Wawrinka,$1.154,Andy Murray,Oct 1 2012,Tokyo,Q,Andy Murray,false,83.0,cluster_2
37.0,26.0,Lukas Lacko,$1.031,Andy Murray,Oct 1 2012,Tokyo,R16,Andy Murray,false,86.0,cluster_4
53.0,33.0,Roger Federer,$2.066,Andy Murray,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,S,Andy Murray,false,77.0,cluster_1
58.0,31.0,Radek Stepanek,$1.092,Andy Murray,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,Q,Andy Murray,false,80.0,cluster_2
50.0,25.0,Alexandr Dolgopolov,$1.119,Andy Murray,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R16,Andy Murray,false,81.0,cluster_4
69.0,33.0,Milos Raonic,$1.288,Milos Raonic,Oct 7 2012,Tokyo,S,Andy Murray,false,82.0,cluster_3
58.0,33.0,Paul-Henri Mathieu,$1.081,Andy Murray,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,Andy Murray,false,72.0,cluster_2
60.0,43.0,Novak Djokovic,$2.634,Novak Djokovic,Oct 29 2012,ATP World Tour Masters 1000 Shanghai,F,Andy Murray,false,76.0,cluster_0
67.0,36.0,Jerzy Janowicz,$1.070,Jerzy Janowicz,Nov 5 2012,ATP World Tour Masters 1000 Paris,R16,Andy Murray,false,71.0,cluster_3
74.0,39.0,Roger Federer,$1.710,Roger Federer,Dec 24 2012,Barclays ATP World Tour Finals,S,Andy Murray,false,65.0,cluster_3
50.0,26.0,Kei Nishikori,$1.260,Andy Murray,Dec 31 2012,Brisbane,S,Andy Murray,false,59.0,cluster_4
65.0,23.0,Denis Istomin,$1.122,Andy Murray,Dec 31 2012,Brisbane,Q,Andy Murray,false,60.0,cluster_2
58.0,36.0,John Millman,$1.031,Andy Murray,Dec 31 2012,Brisbane,R16,Andy Murray,false,64.0,cluster_0
61.0,29.0,Roger Federer,$1.716,Andy Murray,Jan 14 2013,Australian Open Slam,Semi Final,Andy Murray,false,45.0,cluster_2
47.0,36.0,Jeremy Chardy,$1.069,Andy Murray,Jan 14 2013,Australian Open Slam,Quarter Final,Andy Murray,false,49.0,cluster_1
48.0,30.0,Gilles Simon,$1.024,Andy Murray,Jan 14 2013,Australian Open Slam,Round of 16,Andy Murray,false,53.0,cluster_4
