p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
55.0,35.0,Nicolas Almagro,$1.116,Rafael Nadal,Apr 22 2013,Barcelona,F,Rafael Nadal,false,88.0,cluster_2
47.0,30.0,Milos Raonic,$1.093,Rafael Nadal,Apr 22 2013,Barcelona,S,Rafael Nadal,false,89.0,cluster_4
59.0,15.0,Stan Wawrinka,$1.158,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,F,Rafael Nadal,false,82.0,cluster_0
51.0,23.0,Pablo Andujar,$1.028,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,S,Rafael Nadal,false,83.0,cluster_4
47.0,44.0,David Ferrer,$1.124,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,Rafael Nadal,false,84.0,cluster_1
50.0,29.0,Mikhail Youzhny,$1.021,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Rafael Nadal,false,86.0,cluster_4
60.0,25.0,Benoit Paire,$1.020,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Rafael Nadal,false,87.0,cluster_0
45.0,28.0,Roger Federer,$1.224,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,F,Rafael Nadal,false,75.0,cluster_4
58.0,17.0,Tomas Berdych,$1.185,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,S,Rafael Nadal,false,76.0,cluster_0
55.0,43.0,David Ferrer,$1.158,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Rafael Nadal,false,77.0,cluster_1
59.0,41.0,Ernests Gulbis,$1.073,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,Rafael Nadal,false,78.0,cluster_3
43.0,25.0,Fabio Fognini,$1.042,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Rafael Nadal,false,81.0,cluster_4
46.0,38.0,David Ferrer,$1.114,Rafael Nadal,May 27 2013,French Open Slam,Final,Rafael Nadal,false,64.0,cluster_1
61.0,33.0,Novak Djokovic,$1.588,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,Rafael Nadal,false,65.0,cluster_2
48.0,30.0,Stan Wawrinka,$1.065,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,Rafael Nadal,false,66.0,cluster_4
54.0,29.0,Kei Nishikori,$1.041,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,Rafael Nadal,false,69.0,cluster_2
57.0,37.0,Fabio Fognini,$1.015,Rafael Nadal,May 27 2013,French Open Slam,Round of 32,Rafael Nadal,false,70.0,cluster_2
53.0,35.0,Martin Klizan,$1.002,Rafael Nadal,May 27 2013,French Open Slam,Round of 64,Rafael Nadal,false,71.0,cluster_2
