p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
70.0,35.0,Xavier Malisse,$2.269,Xavier Malisse,Jun 25 2012,Wimbledon Slam,Round of 32,Fernando Verdasco,false,84.0,cluster_3
66.0,27.0,Grega Zemlja,$1.198,Fernando Verdasco,Jun 25 2012,Wimbledon Slam,Round of 64,Fernando Verdasco,false,85.0,cluster_2
60.0,32.0,Jimmy Wang,$1.130,Fernando Verdasco,Jun 25 2012,Wimbledon Slam,Round of 128,Fernando Verdasco,false,86.0,cluster_2
63.0,45.0,Marcel Granollers,$1.404,Marcel Granollers,Jul 9 2012,Umag,S,Fernando Verdasco,false,81.0,cluster_0
50.0,31.0,Andrey Kuznetsov,$1.280,Fernando Verdasco,Jul 9 2012,Umag,Q,Fernando Verdasco,false,82.0,cluster_1
54.0,32.0,Ernests Gulbis,$1.453,Fernando Verdasco,Jul 9 2012,Umag,R16,Fernando Verdasco,false,83.0,cluster_1
77.0,46.0,Julian Reister,$1.883,Julian Reister,Jul 16 2012,Hamburg,R32,Fernando Verdasco,false,80.0,cluster_4
79.0,39.0,Roger Federer,$24.345,Roger Federer,Aug 27 2012,US Open Slam,Round of 32,Fernando Verdasco,false,77.0,cluster_4
61.0,34.0,Albert Ramos,$1.299,Fernando Verdasco,Aug 27 2012,US Open Slam,Round of 64,Fernando Verdasco,false,78.0,cluster_0
50.0,28.0,Rui Machado,$1.113,Fernando Verdasco,Aug 27 2012,US Open Slam,Round of 128,Fernando Verdasco,false,79.0,cluster_1
67.0,35.0,Janko Tipsarevic,$3.588,Janko Tipsarevic,Sep 24 2012,Bangkok,Q,Fernando Verdasco,false,75.0,cluster_3
63.0,30.0,Donald Young,$1.274,Fernando Verdasco,Sep 24 2012,Bangkok,R16,Fernando Verdasco,false,76.0,cluster_2
70.0,27.0,Sam Querrey,$2.177,Sam Querrey,Oct 1 2012,Beijing,R32,Fernando Verdasco,false,74.0,cluster_3
68.0,40.0,Marin Cilic,$2.350,Marin Cilic,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R16,Fernando Verdasco,false,71.0,cluster_4
60.0,29.0,Juan Monaco,$2.421,Fernando Verdasco,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,Fernando Verdasco,false,72.0,cluster_2
50.0,36.0,Go Soeda,$1.327,Fernando Verdasco,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R64,Fernando Verdasco,false,73.0,cluster_1
76.0,48.0,Marin Cilic,$2.492,Marin Cilic,Oct 21 2012,Valencia,R16,Fernando Verdasco,false,69.0,cluster_4
51.0,36.0,Tommy Robredo,$1.316,Fernando Verdasco,Oct 21 2012,Valencia,R32,Fernando Verdasco,false,70.0,cluster_1
45.0,34.0,Xavier Malisse,$1.611,Fernando Verdasco,Jan 14 2013,Australian Open Slam,Round of 64,Fernando Verdasco,false,66.0,cluster_1
60.0,35.0,David Goffin,$1.730,Fernando Verdasco,Jan 14 2013,Australian Open Slam,Round of 128,Fernando Verdasco,false,67.0,cluster_0
74.0,42.0,Denis Istomin,$1.875,Denis Istomin,Jan 14 2013,Sydney,R16,Fernando Verdasco,false,68.0,cluster_4
72.0,40.0,Tim Smyczek,$1.451,Tim Smyczek,Feb 18 2013,San Jose,R32,Fernando Verdasco,false,64.0,cluster_4
69.0,36.0,Kevin Anderson,$2.167,Kevin Anderson,Feb 18 2013,Australian Open Slam,Round of 32,Fernando Verdasco,false,65.0,cluster_3
60.0,44.0,Alejandro Falla,$1.669,Alejandro Falla,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Fernando Verdasco,false,63.0,cluster_0
72.0,46.0,Ruben Ramirez Hidalgo,$1.244,Ruben Ramirez Hidalgo,Apr 8 2013,Houston,R16,Fernando Verdasco,false,61.0,cluster_4
59.0,31.0,Steve Johnson,$1.269,Fernando Verdasco,Apr 8 2013,Houston,R32,Fernando Verdasco,false,62.0,cluster_2
57.0,49.0,Marinko Matosevic,$1.454,Marinko Matosevic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Fernando Verdasco,false,60.0,cluster_0
73.0,36.0,Ernests Gulbis,$2.850,Ernests Gulbis,Apr 22 2013,Barcelona,R32,Fernando Verdasco,false,59.0,cluster_3
68.0,36.0,Jo-Wilfried Tsonga,$3.364,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Fernando Verdasco,false,56.0,cluster_3
65.0,34.0,Milos Raonic,$3.375,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Fernando Verdasco,false,57.0,cluster_3
56.0,32.0,David Goffin,$1.642,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Fernando Verdasco,false,58.0,cluster_1
62.0,38.0,David Ferrer,$5.624,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Fernando Verdasco,false,54.0,cluster_0
70.0,28.0,Horacio Zeballos,$1.521,Fernando Verdasco,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Fernando Verdasco,false,55.0,cluster_3
63.0,39.0,Janko Tipsarevic,$1.764,Janko Tipsarevic,May 27 2013,French Open Slam,Round of 64,Fernando Verdasco,false,52.0,cluster_0
47.0,31.0,Marc Gicquel,$1.209,Fernando Verdasco,May 27 2013,French Open Slam,Round of 128,Fernando Verdasco,false,53.0,cluster_1
78.0,29.0,Feliciano Lopez,$2.279,Feliciano Lopez,Jun 17 2013,Eastbourne,Q,Fernando Verdasco,false,49.0,cluster_3
