player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Kevin Anderson,Fernando Verdasco,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 32,$1.812,$2.167,0.04,-0.36,21,20
Jeremy Chardy,Andreas Seppi,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 16,$2.590,$1.585,0.38,-2.02,9,17
Marin Cilic,Andreas Seppi,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,$1.437,$3.114,0.13,-0.16,13,16
Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,$1.200,$5.448,0.49,0.16,21,21
Roger Federer,Milos Raonic,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,$1.139,$7.186,3.32,-1.39,28,14
Richard Gasquet,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,$2.837,$1.515,-0.7,0.68,17,18
Richard Gasquet,Gael Monfils,Richard Gasquet,Feb 4 2013,Montpellier,R16,$1.630,$2.472,1.04,-0.24,30,20
Mikhail Youzhny,Marin Cilic,Marin Cilic,Feb 4 2013,Zagreb,S,$2.528,$1.609,-0.42,1.47,15,15
Juan Martin Del Potro,Grigor Dimitrov,Juan Martin Del Potro,Feb 11 2013,Rotterdam,S,$1.248,$4.632,0.24,0.28,7,21
Juan Martin Del Potro,Gael Monfils,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R32,$1.263,$2.593,0.42,0.17,10,1
Juan Martin Del Potro,Gael Monfils,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R32,$1.263,$4.446,0.42,-0.44,10,16
Juan Martin del Potro,Jeremy Chardy,Jeremy Chardy,Feb 11 2013,Australian Open Slam,Round of 32,$1.045,$16.225,-0.52,-0.41,11,13
Tommy Haas,Milos Raonic,Milos Raonic,Feb 11 2013,San Jose,F,$2.710,$1.543,-1.31,2.04,21,15
Tommy Haas,John Isner,Tommy Haas,Feb 11 2013,San Jose,S,$1.773,$2.207,1.15,-0.32,21,13
Marin Cilic,Kei Nishikori,Kei Nishikori,Feb 18 2013,Memphis,Q,$1.799,$2.169,-0.4,3.18,7,18
Stan Wawrinka,Nicolas Almagro,Stan Wawrinka,Feb 18 2013,Buenos Aires,S,$2.236,$1.755,2.52,-0.31,24,13
Tommy Robredo,Nicolas Almagro,Nicolas Almagro,Feb 25 2013,Acapulco,R16,$6.453,$1.160,-1.36,2.04,19,24
Kevin Anderson,John Isner,John Isner,Mar 6 2013,Delray Beach,Q,$1.948,$1.985,-1.76,2.26,15,26
Novak Djokovic,Juan Martin Del Potro,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,S,$1.183,$5.821,1.27,-0.17,26,5
