p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
67,37,Tommy Haas,$2.380,Gael Monfils,Jan 7 2013,Auckland,Q,Gael Monfils,FALSE,74,cluster_4,-0.31,22
67,40,Novak Djokovic,$4.898,Novak Djokovic,Jan 9 2013,Barclays ATP World Tour Finals,S,Juan Martin Del Potro,FALSE,44,cluster_4,-0.82,12
64,31,Fernando Verdasco,$1.812,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 32,Kevin Anderson,FALSE,66,cluster_1,0.04,21
57,34,Andreas Seppi,$2.590,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 16,Jeremy Chardy,FALSE,48,cluster_2,0.38,9
66,33,Juan Martin del Potro,$16.225,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 32,Jeremy Chardy,FALSE,50,cluster_3,-0.41,13
59,42,Andreas Seppi,$1.437,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,Marin Cilic,FALSE,64,cluster_2,0.13,13
66,31,Jo-Wilfried Tsonga,$1.200,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,Roger Federer,FALSE,77,cluster_2,0.49,21
64,15,Milos Raonic,$1.139,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,Roger Federer,FALSE,81,cluster_0,3.32,28
70,34,Jo-Wilfried Tsonga,$2.837,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,Richard Gasquet,FALSE,77,cluster_3,-0.7,17
85,36,Roger Federer,$7.186,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,Milos Raonic,FALSE,60,cluster_3,-1.39,14
58,41,Marin Cilic,$3.114,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,Andreas Seppi,FALSE,74,cluster_4,-0.16,16
69,34,Roger Federer,$5.448,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,Jo-Wilfried Tsonga,FALSE,59,cluster_1,0.16,21
66,30,Richard Gasquet,$1.515,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,Jo-Wilfried Tsonga,FALSE,60,cluster_1,0.68,18
65,41,David Ferrer,$5.608,David Ferrer,Feb 1 2013,Australian Open Slam,Quarter Final,Nicolas Almagro,FALSE,69,cluster_3,-0.71,10
73,47,Rafael Nadal,$7.727,Rafael Nadal,Feb 4 2013,Vina del Mar,S,Jeremy Chardy,FALSE,39,cluster_0,-0.48,8
56,37,Mikhail Youzhny,$1.609,Marin Cilic,Feb 4 2013,Zagreb,S,Marin Cilic,FALSE,61,cluster_1,1.47,15
58,36,Gael Monfils,$1.630,Richard Gasquet,Feb 4 2013,Montpellier,R16,Richard Gasquet,FALSE,76,cluster_2,1.04,30
66,43,Jeremy Chardy,$1.585,Jeremy Chardy,Feb 4 2013,Australian Open Slam,Round of 16,Andreas Seppi,FALSE,73,cluster_3,-2.02,17
62,43,Marin Cilic,$2.528,Marin Cilic,Feb 4 2013,Zagreb,S,Mikhail Youzhny,FALSE,70,cluster_4,-0.42,15
64,26,Grigor Dimitrov,$1.248,Juan Martin Del Potro,Feb 11 2013,Rotterdam,S,Juan Martin Del Potro,FALSE,31,cluster_3,0.24,7
65,32,Ernests Gulbis,$1.256,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R16,Juan Martin Del Potro,FALSE,35,cluster_3,0.39,9
