player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Kevin Anderson,Fernando Verdasco,Kevin Anderson,Jan 14 2013,Australian Open Slam,Round of 32,$1.812,$2.167,0.04,-0.36,21,20
Jeremy Chardy,Andreas Seppi,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 16,$2.590,$1.585,0.38,-2.02,9,17
Jeremy Chardy,Juan Martin del Potro,Jeremy Chardy,Jan 14 2013,Australian Open Slam,Round of 32,$16.225,$1.045,-0.41,-0.52,13,11
Marin Cilic,Andreas Seppi,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,$1.437,$3.114,0.13,-0.16,13,16
Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,$1.200,$5.448,0.49,0.16,21,21
Roger Federer,Milos Raonic,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,$1.139,$7.186,3.32,-1.39,28,14
Richard Gasquet,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,$2.837,$1.515,-0.7,0.68,17,18
Milos Raonic,Roger Federer,Roger Federer,Jan 14 2013,Australian Open Slam,Round of 16,$7.186,$1.139,-1.39,3.32,14,28
Andreas Seppi,Marin Cilic,Andreas Seppi,Jan 14 2013,Australian Open Slam,Round of 32,$3.114,$1.437,-0.16,0.13,16,13
Jo-Wilfried Tsonga,Roger Federer,Roger Federer,Jan 14 2013,Australian Open Slam,Quarter Final,$5.448,$1.200,0.16,0.49,21,21
Jo-Wilfried Tsonga,Richard Gasquet,Jo-Wilfried Tsonga,Jan 14 2013,Australian Open Slam,Round of 16,$1.515,$2.837,0.68,-0.7,18,17
Marin Cilic,Mikhail Youzhny,Marin Cilic,Feb 4 2013,Zagreb,S,$1.609,$2.528,1.47,-0.42,15,15
Richard Gasquet,Gael Monfils,Richard Gasquet,Feb 4 2013,Montpellier,R16,$1.630,$2.472,1.04,-0.24,30,20
Andreas Seppi,Jeremy Chardy,Jeremy Chardy,Feb 4 2013,Australian Open Slam,Round of 16,$1.585,$2.590,-2.02,0.38,17,9
Mikhail Youzhny,Marin Cilic,Marin Cilic,Feb 4 2013,Zagreb,S,$2.528,$1.609,-0.42,1.47,15,15
Juan Martin Del Potro,Grigor Dimitrov,Juan Martin Del Potro,Feb 11 2013,Rotterdam,S,$1.248,$4.632,0.24,0.28,7,21
Juan Martin Del Potro,Gael Monfils,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R32,$1.263,$2.593,0.42,0.17,10,1
Juan Martin Del Potro,Gael Monfils,Juan Martin Del Potro,Feb 11 2013,Rotterdam,R32,$1.263,$4.446,0.42,-0.44,10,16
