player,Hard Court (Past year),Clay Court (Past year),Grass (Past year) or Last 10 if unavailable,vs Top 10 Rank (Last 50),vs Top 10 Rank (Last 10),vs Top 20 Rank (Last 10),vs Left Handers (Last 10),vs Big Servers (Last 10),Service Points Won (Past year),Return Points Won (Past year),vs Higher Rank (Last 10),First Serve Speed,Average Net Approaches,Current Ranking,Age,Height
Rafael Nadal,0.88,0.9,0.6,0.76,0.5,0.6,0.8,0.8,0.67,0.43,0.8,0.260869565,0.556420233,0,0.307692308,0.322580645
Kei Nishikori,0.63,0.87,0.5,0.36,0.5,0.6,0.6,0.9,0.63,0.42,0.8,0.111413043,0.420233463,0.209302326,0.076923077,0.096774194
Andy Murray,0.68,0.73,1,0.5,0.3,0.2,0.9,0.7,0.66,0.41,0.4,0.391304348,0.548638132,0.162790698,0.307692308,0.483870968
John Isner,0.73,0.56,0.57,0.3,0.3,0.3,0.5,0.5,0.72,0.32,0.7,0.885869565,0.700389105,0.23255814,0.461538462,1
Roger Federer,0.79,0.69,0.83,0.52,0.6,0.7,0.5,0.8,0.69,0.41,0.5,0.456521739,1,0.069767442,0.692307692,0.322580645
Novak Djokovic,0.9,0.88,0.86,0.82,0.7,0.8,0.7,0.9,0.7,0.43,0.9,0.4375,0.73151751,0.023255814,0.307692308,0.419354839
Stanislas Wawrinka,0.71,0.73,0.67,0.36,0.6,0.8,0.5,0.8,0.67,0.38,0.5,0.557065217,0.73540856,0.046511628,0.461538462,0.258064516
David Ferrer,0.66,0.79,0.67,0.4,0.4,0.7,0.9,0.8,0.64,0.43,0.4,0.301630435,0.743190661,0.093023256,0.692307692,0
Tomas Berdych,0.7,0.57,0.75,0.34,0.4,0.5,0.5,0.9,0.68,0.39,0.3,0.733695652,0.692607004,0.11627907,0.384615385,0.677419355
Juan Martin del Potro,0.8,0.7,0.78,0.36,0.4,0.6,0.7,1,0.68,0.37,0.4,0.672554348,0.789883268,0.139534884,0.153846154,0.741935484
Milos Raonic,0.71,0.63,0.4,0.33,0.3,0.3,0.5,0.8,0.71,0.34,0.3,0.883152174,0.972762646,0.186046512,0,0.677419355
Grigor Dimitrov,0.57,0.77,0.5,0.19,0.3,0.5,0.5,0.9,0.68,0.37,0.5,0.676630435,0.661478599,0.255813953,0,0.483870968
