Hard Court (Past year),Clay Court (Past year),Grass (Past year) or Last 10 if unavailable,vs Top 10 Rank (Last 50),vs Top 10 Rank (Last 10),vs Top 20 Rank (Last 10),vs Left Handers (Last 10),vs Big Servers (Last 10),Service Points Won (Past year),Return Points Won (Past year),vs Higher Rank (Last 10),First Serve Speed,Average Net Approaches,Current Ranking,Age,Height,player,id,cluster
0.88,0.9,0.6,0.76,0.5,0.6,0.8,0.8,0.67,0.43,0.8,0.17,0.56,0.0,0.307692308,0.322580645,Rafael Nadal,1.0,cluster_0
0.63,0.87,0.5,0.36,0.5,0.6,0.6,0.9,0.63,0.42,0.8,0.0,0.42,0.209302326,0.076923077,0.096774194,Kei Nishikori,2.0,cluster_0
0.68,0.73,1.0,0.5,0.3,0.2,0.9,0.7,0.66,0.41,0.4,0.31,0.55,0.162790698,0.307692308,0.483870968,Andy Murray,3.0,cluster_2
0.73,0.56,0.57,0.3,0.3,0.3,0.5,0.5,0.72,0.32,0.7,0.87,0.7,0.23255814,0.461538462,1.0,John Isner,4.0,cluster_2
0.79,0.69,0.83,0.52,0.6,0.7,0.5,0.8,0.69,0.41,0.5,0.39,1.0,0.069767442,0.692307692,0.322580645,Roger Federer,5.0,cluster_1
0.9,0.88,0.86,0.82,0.7,0.8,0.7,0.9,0.7,0.43,0.9,0.37,0.73,0.023255814,0.307692308,0.419354839,Novak Djokovic,6.0,cluster_0
0.71,0.73,0.67,0.36,0.6,0.8,0.5,0.8,0.67,0.38,0.5,0.5,0.74,0.046511628,0.461538462,0.258064516,Stanislas Wawrinka,7.0,cluster_1
0.66,0.79,0.67,0.4,0.4,0.7,0.9,0.8,0.64,0.43,0.4,0.21,0.74,0.093023256,0.692307692,0.0,David Ferrer,8.0,cluster_1
0.7,0.57,0.75,0.34,0.4,0.5,0.5,0.9,0.68,0.39,0.3,0.7,0.69,0.11627907,0.384615385,0.677419355,Tomas Berdych,9.0,cluster_2
0.8,0.7,0.78,0.36,0.4,0.6,0.7,1.0,0.68,0.37,0.4,0.63,0.79,0.139534884,0.153846154,0.741935484,Juan Martin del Potro,10.0,cluster_2
0.71,0.63,0.4,0.33,0.3,0.3,0.5,0.8,0.71,0.34,0.3,0.87,0.97,0.186046512,0.0,0.677419355,Milos Raonic,11.0,cluster_2
0.57,0.77,0.5,0.19,0.3,0.5,0.5,0.9,0.68,0.37,0.5,0.64,0.66,0.255813953,0.0,0.483870968,Grigor Dimitrov,12.0,cluster_2
0.67,0.67,0.67,0.24,0.2,0.3,0.5,0.7,0.66,0.38,0.2,0.24,0.83,0.279069767,0.307692308,0.322580645,Richard Gasquet,13.0,cluster_4
0.67,0.73,0.67,0.26,0.1,0.4,0.8,0.7,0.68,0.35,0.1,0.52,0.58,0.302325581,0.461538462,0.419354839,Jo-Wilfried Tsonga,14.0,cluster_4
0.56,0.61,0.78,0.28,0.2,0.2,0.3,0.7,0.64,0.39,0.3,0.17,0.52,0.348837209,0.615384615,0.258064516,Mikhail Youzhny,15.0,cluster_4
0.57,0.67,0.71,0.32,0.1,0.2,0.6,0.6,0.66,0.37,0.1,0.4,0.54,0.372093023,1.0,0.419354839,Tommy Haas,16.0,cluster_4
0.64,0.62,0.67,0.26,0.4,0.2,0.3,0.6,0.65,0.38,0.4,0.31,0.51,0.395348837,0.692307692,0.161290323,Tommy Robredo,17.0,cluster_4
0.55,0.52,0.6,0.22,0.1,0.1,0.4,0.3,0.65,0.35,0.3,0.74,0.63,0.906976744,0.307692308,0.419354839,Jeremy Chardy,18.0,cluster_4
0.65,0.67,0.7,0.3,0.4,0.3,0.7,0.8,0.65,0.39,0.3,0.33,0.46,0.534883721,0.307692308,0.580645161,Gael Monfils,19.0,cluster_2
0.4,0.5,0.75,0.02,0.0,0.1,0.5,0.2,0.61,0.38,0.2,0.24,0.53,0.744186047,0.538461538,0.483870968,Andreas Seppi,20.0,cluster_4
0.69,0.62,0.71,0.26,0.3,0.5,0.8,0.8,0.67,0.38,0.5,0.51,0.82,0.581395349,0.153846154,0.741935484,Marin Cilic,21.0,cluster_2
0.58,0.61,0.6,0.26,0.5,0.5,0.6,0.7,0.66,0.38,0.4,1.0,0.43,0.418604651,0.153846154,0.483870968,Ernests Gulbis,22.0,cluster_2
0.63,0.5,0.5,0.13,0.2,0.3,0.9,0.5,0.69,0.34,0.3,0.71,0.51,0.441860465,0.384615385,0.903225806,Kevin Anderson,23.0,cluster_2
0.54,0.66,0.67,0.22,0.2,0.2,0.5,0.6,0.67,0.37,0.2,0.78,0.0,0.488372093,0.384615385,0.258064516,Nicolas Almagro,24.0,cluster_4
0.53,0.7,0.75,0.22,0.1,0.2,0.8,0.6,0.66,0.38,0.4,0.45,0.48,0.558139535,0.538461538,0.419354839,Fernando Verdasco,25.0,cluster_4
0.64,0.29,0.75,0.28,0.7,0.6,0.6,0.5,0.61,0.4,0.4,0.01,0.89,1.0,0.769230769,0.161290323,Lleyton Hewitt,26.0,cluster_3
