tournament,surface
Brisbane,Hard
Doha,Hard
Sydney,Hard
Auckland,Hard
Australian Open Slam,Hard
Montpellier,Hard
Zagreb,Hard
Rotterdam,Hard
San Jose,Hard
Memphis,Hard
Marseille,Hard
Acapulco,Clay
Buenos Aires,Clay
ATP World Tour Masters 1000 Indian Wells,Hard
Delray Beach,Hard
ATP World Tour Masters 1000 Miami,Hard
Dubai,Hard
Houston,Clay
Casablanca,Clay
ATP World Tour Masters 1000 Monte Carlo,Clay
Barcelona,Clay
Oeiras,Clay
Munich,Clay
ATP World Tour Masters 1000 Madrid,Clay
ATP World Tour Masters 1000 Rome,Clay
Nice,Clay
French Open Slam,Clay
London / Queen's Club,Grass
Halle,Grass
s-Hertogenbosch,Grass
Eastbourne,Grass
Wimbledon Slam,Grass
Bastad,Clay
Stuttgart,Clay
Newport,Grass
Hamburg,Clay
Atlanta,Hard
Umag,Clay
Gstaad,Clay
Washington,Hard
ATP World Tour Masters 1000 Canada,Hard
ATP World Tour Masters 1000 Cincinnati,Hard
US Open Slam,Hard
Winston-Salem,Hard
Davis Cup,Hard
Metz,Hard
Bangkok,Hard
Tokyo,Hard
Beijing,Hard
ATP World Tour Masters 1000 Shanghai,Hard
Stockholm,Hard
Valencia,Hard
Basel,Hard
ATP World Tour Masters 1000 Paris,Hard
Barclays ATP World Tour Finals,Hard
Vina del Mar,Clay
Rio de Janeiro,Clay
